time,layout,data
2026/01/30 14:34:41.252530788,"{'dim': [], 'data_offset': 0}","[1.274459719657898, 0.8051535487174988, 0.7715238332748413, 1.2794541120529175, 0.8160296082496643, 0.7788828015327454]"
2026/01/30 14:34:41.252572547,"{'dim': [], 'data_offset': 0}","[0.8349904417991638, 0.7259215712547302, 0.7671258449554443, 0.8499338626861572, 0.7391495108604431, 0.770809531211853]"
2026/01/30 14:34:41.252608204,"{'dim': [], 'data_offset': 0}","[0.7480819821357727, 0.7532547116279602, 1.3133436441421509, 0.7371583580970764, 0.7652321457862854, 1.3156472444534302]"
2026/01/30 14:34:41.252638451,"{'dim': [], 'data_offset': 0}","[0.8840530514717102, 0.8481521606445312, 0.805416464805603, 0.9167224764823914, 0.8602094650268555, 0.8128827214241028]"
2026/01/30 14:34:41.252671684,"{'dim': [], 'data_offset': 0}","[1.1730678081512451, 0.877289891242981, 0.9709125757217407, 1.15777587890625, 0.8865564465522766, 1.3110713958740234]"
2026/01/30 14:34:41.252704857,"{'dim': [], 'data_offset': 0}","[1.2682108879089355, 0.7259870767593384, 0.7790730595588684, 1.249022126197815, 0.739198625087738, 0.8033862113952637]"
2026/01/30 14:34:41.252738009,"{'dim': [], 'data_offset': 0}","[1.3864041566848755, 0.7014557719230652, 0.7769855260848999, 1.3696110248565674, 0.7148944735527039, 0.7899748682975769]"
2026/01/30 14:34:41.252769128,"{'dim': [], 'data_offset': 0}","[0.7622923851013184, 0.740557849407196, 0.8004204034805298, 0.7523713707923889, 0.7527927160263062, 1.3186315298080444]"
2026/01/30 14:34:41.255410241,"{'dim': [], 'data_offset': 0}","[0.8895292282104492, 0.8330641388893127, 1.3272974491119385, 0.9197821617126465, 0.8419545292854309, 0.8109248876571655]"
2026/01/30 14:34:41.260604852,"{'dim': [], 'data_offset': 0}","[1.2200205326080322, 0.8632152080535889, 1.3386023044586182, 1.2100918292999268, 0.8700459003448486, 0.7912382483482361]"
2026/01/30 14:34:41.265615304,"{'dim': [], 'data_offset': 0}","[1.3069459199905396, 0.7270949482917786, 0.8072313070297241, 1.29318368434906, 0.7416673302650452, 1.3405276536941528]"
2026/01/30 14:34:41.270585811,"{'dim': [], 'data_offset': 0}","[0.7933771014213562, 0.7399835586547852, 0.797399640083313, 0.794963002204895, 0.7531638741493225, 0.8078087568283081]"
2026/01/30 14:34:41.275731769,"{'dim': [], 'data_offset': 0}","[0.7303010821342468, 0.8043918609619141, 0.7769308090209961, 1.2805908918380737, 0.816920280456543, 0.7878450751304626]"
2026/01/30 14:34:41.281072546,"{'dim': [], 'data_offset': 0}","[1.3776440620422363, 0.7345157861709595, 0.7760341763496399, 0.8511561155319214, 0.7402645945549011, 0.7767563462257385]"
2026/01/30 14:34:41.285844698,"{'dim': [], 'data_offset': 0}","[0.7565590739250183, 0.7565957307815552, 0.7974870800971985, 0.7341791391372681, 0.7625517845153809, 1.3177183866500854]"
2026/01/30 14:34:41.291229648,"{'dim': [], 'data_offset': 0}","[0.8957981467247009, 0.8551300764083862, 0.7678033709526062, 0.9155292510986328, 0.8592182397842407, 0.8169713020324707]"
2026/01/30 14:34:41.296136194,"{'dim': [], 'data_offset': 0}","[1.1766164302825928, 0.8819280862808228, 1.2848089933395386, 1.1512197256088257, 0.8838608264923096, 1.3060897588729858]"
2026/01/30 14:34:41.301725010,"{'dim': [], 'data_offset': 0}","[1.268007755279541, 0.7281106114387512, 1.3545727729797363, 1.2442821264266968, 0.7353128790855408, 0.8032143115997314]"
2026/01/30 14:34:41.305872901,"{'dim': [], 'data_offset': 0}","[1.3843506574630737, 0.7002296447753906, 0.8176807761192322, 1.3678159713745117, 0.7114100456237793, 0.7879456281661987]"
2026/01/30 14:34:41.311699206,"{'dim': [], 'data_offset': 0}","[0.7642092704772949, 0.7396485805511475, 0.8225505352020264, 0.7511357069015503, 0.7510310411453247, 1.3181214332580566]"
2026/01/30 14:34:41.316381608,"{'dim': [], 'data_offset': 0}","[0.8900309205055237, 0.8326293230056763, 0.7703174352645874, 0.9194315671920776, 0.8415071964263916, 0.8102166056632996]"
2026/01/30 14:34:41.321436224,"{'dim': [], 'data_offset': 0}","[1.2100456953048706, 0.8641963601112366, 1.3067198991775513, 1.2092766761779785, 0.8702934980392456, 0.8061736822128296]"
2026/01/30 14:34:41.326630384,"{'dim': [], 'data_offset': 0}","[1.2974933385849, 0.7276139259338379, 0.7902884483337402, 1.2927639484405518, 0.7423340678215027, 1.3432133197784424]"
2026/01/30 14:34:41.331737699,"{'dim': [], 'data_offset': 0}","[1.245395541191101, 0.7397965788841248, 0.7876289486885071, 0.7950302958488464, 0.7534552216529846, 0.8062232136726379]"
2026/01/30 14:34:41.336661718,"{'dim': [], 'data_offset': 0}","[1.3025057315826416, 0.8026918768882751, 0.7700310349464417, 1.2809122800827026, 0.8165686726570129, 0.7874857783317566]"
2026/01/30 14:34:41.342057619,"{'dim': [], 'data_offset': 0}","[0.849855363368988, 0.7241343259811401, 0.7659078240394592, 0.8507264256477356, 0.7403141260147095, 0.7774222493171692]"
2026/01/30 14:34:41.346835782,"{'dim': [], 'data_offset': 0}","[0.755548357963562, 0.7519429326057434, 0.7928137183189392, 0.738292932510376, 0.7666285037994385, 1.322256326675415]"
2026/01/30 14:34:41.351858708,"{'dim': [], 'data_offset': 0}","[0.8898329138755798, 0.8507053256034851, 1.3235838413238525, 0.9173831939697266, 0.8615542054176331, 1.1169933080673218]"
2026/01/30 14:34:41.357013053,"{'dim': [], 'data_offset': 0}","[1.181848406791687, 0.8767535090446472, 1.3277136087417603, 1.1570764780044556, 0.8820173144340515, 0.8442212343215942]"
2026/01/30 14:34:41.362027322,"{'dim': [], 'data_offset': 0}","[1.27122163772583, 0.7263514399528503, 0.8075713515281677, 1.2485032081604004, 0.7416484355926514, 1.3509198427200317]"
2026/01/30 14:34:41.367748809,"{'dim': [], 'data_offset': 0}","[1.3884276151657104, 0.6999821662902832, 0.7922198176383972, 1.3696744441986084, 0.7147646546363831, 0.8079543113708496]"
2026/01/30 14:34:41.372774069,"{'dim': [], 'data_offset': 0}","[0.760562539100647, 0.7397162914276123, 0.8090976476669312, 0.752606213092804, 0.7527754306793213, 1.0636014938354492]"
2026/01/30 14:34:41.377785213,"{'dim': [], 'data_offset': 0}","[0.888375997543335, 0.8327732682228088, 0.7628239989280701, 0.920242190361023, 0.8425646424293518, 0.8045586943626404]"
2026/01/30 14:34:41.382973692,"{'dim': [], 'data_offset': 0}","[1.220947504043579, 0.8639624118804932, 1.299052357673645, 1.2087271213531494, 0.8711597323417664, 1.3137320280075073]"
2026/01/30 14:34:41.387832257,"{'dim': [], 'data_offset': 0}","[1.3097110986709595, 0.7273779511451721, 0.7874829769134521, 1.2919425964355469, 0.7382287979125977, 0.7996239066123962]"
2026/01/30 14:34:41.393079226,"{'dim': [], 'data_offset': 0}","[0.7936227321624756, 0.7416545748710632, 0.7875012159347534, 0.7941082715988159, 0.7522830963134766, 0.7919569611549377]"
2026/01/30 14:34:41.397984720,"{'dim': [], 'data_offset': 0}","[0.9259624481201172, 0.8055776357650757, 0.771773099899292, 1.279526710510254, 0.8162816166877747, 0.777316689491272]"
2026/01/30 14:34:41.402834599,"{'dim': [], 'data_offset': 0}","[1.4027148485183716, 0.7370201349258423, 0.7745339274406433, 0.8507446646690369, 0.7395133972167969, 0.7695805430412292]"
2026/01/30 14:34:41.407974536,"{'dim': [], 'data_offset': 0}","[0.7603021264076233, 0.7587795853614807, 1.3156403303146362, 0.7329667210578918, 0.7611880302429199, 1.3091051578521729]"
2026/01/30 14:34:41.412904787,"{'dim': [], 'data_offset': 0}","[0.8977482914924622, 0.8529991507530212, 0.8087875247001648, 0.9148788452148438, 0.8577626943588257, 0.8153734803199768]"
2026/01/30 14:34:41.418426976,"{'dim': [], 'data_offset': 0}","[1.180240511894226, 0.8809022307395935, 1.3052107095718384, 1.1521927118301392, 0.8838561773300171, 1.30483078956604]"
2026/01/30 14:34:41.423023666,"{'dim': [], 'data_offset': 0}","[1.2696906328201294, 0.7267060875892639, 0.7986707091331482, 1.2454990148544312, 0.7358534932136536, 0.8030005693435669]"
2026/01/30 14:34:41.428700218,"{'dim': [], 'data_offset': 0}","[1.3845160007476807, 0.7014144062995911, 0.7872685194015503, 1.367709755897522, 0.7124691009521484, 0.7885326743125916]"
2026/01/30 14:34:41.433205405,"{'dim': [], 'data_offset': 0}","[0.7644271850585938, 0.7401573657989502, 0.805728018283844, 0.7512145638465881, 0.7512156963348389, 1.0484737157821655]"
2026/01/30 14:34:41.437920409,"{'dim': [], 'data_offset': 0}","[0.8902386426925659, 0.8332204222679138, 1.0981881618499756, 0.9195827841758728, 0.8417472243309021, 0.7967698574066162]"
2026/01/30 14:34:41.443575921,"{'dim': [], 'data_offset': 0}","[1.2072535753250122, 0.8620632886886597, 1.3195654153823853, 1.210039496421814, 0.8702765703201294, 1.308234453201294]"
2026/01/30 14:34:41.448494419,"{'dim': [], 'data_offset': 0}","[1.2973542213439941, 0.7250086069107056, 0.8011763691902161, 1.294087529182434, 0.7382354736328125, 0.7973088026046753]"
2026/01/30 14:34:41.453731821,"{'dim': [], 'data_offset': 0}","[1.413450002670288, 0.7398445010185242, 0.7930746078491211, 0.7945579290390015, 0.752652108669281, 0.7915224432945251]"
2026/01/30 14:34:41.459323462,"{'dim': [], 'data_offset': 0}","[1.3184645175933838, 0.8041225075721741, 0.773859441280365, 1.2808588743209839, 0.8163608312606812, 0.7779268026351929]"
2026/01/30 14:34:41.464085795,"{'dim': [], 'data_offset': 0}","[0.8537530899047852, 0.7249563932418823, 0.7675772905349731, 0.8504132032394409, 0.7396606802940369, 0.7707006931304932]"
2026/01/30 14:34:41.469197208,"{'dim': [], 'data_offset': 0}","[0.7582420706748962, 0.7524511814117432, 0.7934722900390625, 0.7379112839698792, 0.7660818099975586, 1.3172550201416016]"
2026/01/30 14:34:41.473787085,"{'dim': [], 'data_offset': 0}","[0.8918765187263489, 0.851530909538269, 0.7651144862174988, 0.9174608588218689, 0.8618088960647583, 0.8143290281295776]"
2026/01/30 14:34:41.479582412,"{'dim': [], 'data_offset': 0}","[1.1778111457824707, 0.8793351650238037, 1.2846603393554688, 1.1556955575942993, 0.8866885900497437, 1.3106609582901]"
2026/01/30 14:34:41.483764939,"{'dim': [], 'data_offset': 0}","[1.2699260711669922, 0.7268019914627075, 1.0945663452148438, 1.247341513633728, 0.7383778691291809, 0.8030617237091064]"
2026/01/30 14:34:41.488821709,"{'dim': [], 'data_offset': 0}","[1.3863234519958496, 0.6991266012191772, 0.8073884844779968, 1.3698936700820923, 0.7139202952384949, 0.789544403553009]"
2026/01/30 14:34:41.494676577,"{'dim': [], 'data_offset': 0}","[0.7599934935569763, 0.7392976880073547, 0.8156871795654297, 0.7525430917739868, 0.7528941035270691, 1.0507214069366455]"
2026/01/30 14:34:41.499768013,"{'dim': [], 'data_offset': 0}","[0.8876218795776367, 0.8324447274208069, 0.7659868001937866, 0.9203341007232666, 0.8429135680198669, 0.7981796264648438]"
2026/01/30 14:34:41.504814994,"{'dim': [], 'data_offset': 0}","[1.2178765535354614, 0.8636889457702637, 1.3015787601470947, 1.209470510482788, 0.8714868426322937, 1.3082354068756104]"
2026/01/30 14:34:41.510951385,"{'dim': [], 'data_offset': 0}","[1.3070615530014038, 0.7272040247917175, 0.7885833382606506, 1.2925912141799927, 0.7387105822563171, 0.798370897769928]"
2026/01/30 14:34:41.514718096,"{'dim': [], 'data_offset': 0}","[0.7931175827980042, 0.7414580583572388, 0.7881883382797241, 0.7943444848060608, 0.7527168393135071, 0.79192054271698]"
2026/01/30 14:34:41.519728749,"{'dim': [], 'data_offset': 0}","[0.9254137277603149, 0.8053435683250427, 0.7721362113952637, 1.280076503753662, 0.8165852427482605, 0.7777955532073975]"
2026/01/30 14:34:41.524947625,"{'dim': [], 'data_offset': 0}","[1.4013460874557495, 0.7369190454483032, 0.7748662233352661, 0.8509102463722229, 0.7398711442947388, 0.7704191207885742]"
2026/01/30 14:34:41.529886773,"{'dim': [], 'data_offset': 0}","[0.7598971724510193, 0.7585533857345581, 0.7974615097045898, 0.7332724332809448, 0.7616913914680481, 1.3107572793960571]"
2026/01/30 14:34:41.534654326,"{'dim': [], 'data_offset': 0}","[0.8004710674285889, 0.8569781184196472, 1.3266451358795166, 0.9150234460830688, 0.8585543632507324, 0.8111314177513123]"
