time,layout,data
2026/01/30 15:16:38.508836139,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.529038837,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.548495545,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.570011757,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.589197944,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.608971391,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.629159121,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.650324740,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.669751942,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.688626520,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.709012776,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.729227948,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.748381443,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.769462662,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.789327302,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.809136807,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.828984124,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.848579304,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.869694317,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.889129144,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.909079425,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.929649708,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.948959559,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.969316149,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:38.989733563,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:39.8959335,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:39.30036807,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:39.49411270,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:39.68946096,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:39.89527189,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026/01/30 15:16:39.108263987,"{'dim': [], 'data_offset': 0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
