time,layout,data
2026/01/30 15:16:36.549812137,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.569104735,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.588216301,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.608050613,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.628392645,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.650117922,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.669217425,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.688365941,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.709597113,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.728786557,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.749608616,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.769212152,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.788863518,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.809332440,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.830133460,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/01/30 15:16:36.849659239,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
