time,layout,data
2026/01/30 15:24:31.527482010,"{'dim': [], 'data_offset': 0}","[1.2586111552082002e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119325790787116e-05, -0.015958493575453758, -0.006048306357115507, 6.881727131258231e-06, -0.014544591307640076, -0.004564644303172827, 6.047077931725653e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123111107735895e-05, -0.015975534915924072, -0.006065611261874437, 7.409879344777437e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527518810,"{'dim': [], 'data_offset': 0}","[1.2583235729834996e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119325790787116e-05, -0.015958493575453758, -0.006048306357115507, 6.884224148961948e-06, -0.014544591307640076, -0.004564644303172827, 6.044899691914907e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123111107735895e-05, -0.015975534915924072, -0.006065611261874437, 7.411683782265754e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527545130,"{'dim': [], 'data_offset': 0}","[1.2580361726577394e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119326700281817e-05, -0.015958493575453758, -0.006048306357115507, 6.886719347676262e-06, -0.014544591307640076, -0.004564644303172827, 6.042722816346213e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123111107735895e-05, -0.015975534915924072, -0.006065611261874437, 7.413486855512019e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527573944,"{'dim': [], 'data_offset': 0}","[1.2577491361298598e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119326700281817e-05, -0.015958493575453758, -0.006048306357115507, 6.889212272653822e-06, -0.014544591307640076, -0.004564644303172827, 6.040548214514274e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123111107735895e-05, -0.015975534915924072, -0.006065611261874437, 7.4152881097688805e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527601456,"{'dim': [], 'data_offset': 0}","[1.2574622815009207e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119326700281817e-05, -0.015958493575453758, -0.006048306357115507, 6.891702469147276e-06, -0.014544591307640076, -0.004564644303172827, 6.0383758864190895e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123111107735895e-05, -0.015975534915924072, -0.006065611261874437, 7.417087545036338e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527628868,"{'dim': [], 'data_offset': 0}","[1.2571757906698622e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119326700281817e-05, -0.015958493575453758, -0.006048306357115507, 6.894190391903976e-06, -0.014544591307640076, -0.004564644303172827, 6.036205377313308e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123112017230596e-05, -0.015975534915924072, -0.006065611261874437, 7.418885616061743e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527652172,"{'dim': [], 'data_offset': 0}","[1.256889481737744e-05, -0.01442488469183445, -0.0030454318039119244, 1.1119326700281817e-05, -0.015958493575453758, -0.006048306357115507, 6.896676040923921e-06, -0.014544591307640076, -0.004564644303172827, 6.034037141944282e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123112017230596e-05, -0.015975534915924072, -0.006065611261874437, 7.420681868097745e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.527680195,"{'dim': [], 'data_offset': 0}","[1.2566035366035067e-05, -0.01442488469183445, -0.0030454318039119244, 1.111932760977652e-05, -0.015958493575453758, -0.006048306357115507, 6.899159416207112e-06, -0.014544591307640076, -0.004564644303172827, 6.031870725564659e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123112017230596e-05, -0.015975534915924072, -0.006065611261874437, 7.422476755891694e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.530516164,"{'dim': [], 'data_offset': 0}","[1.2563177733682096e-05, -0.01442488469183445, -0.0030454318039119244, 1.111932760977652e-05, -0.015958493575453758, -0.006048306357115507, 6.901640517753549e-06, -0.014544591307640076, -0.004564644303172827, 6.029706128174439e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123112017230596e-05, -0.015975534915924072, -0.006065611261874437, 7.424269824696239e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.535674451,"{'dim': [], 'data_offset': 0}","[1.256032282981323e-05, -0.01442488469183445, -0.0030454318039119244, 1.111932760977652e-05, -0.015958493575453758, -0.006048306357115507, 6.904119345563231e-06, -0.014544591307640076, -0.004564644303172827, 6.027543804520974e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123112017230596e-05, -0.015975534915924072, -0.006065611261874437, 7.426061074511381e-06, -0.014268225058913231, -0.00439459877088666]"
2026/01/30 15:24:31.540279734,"{'dim': [], 'data_offset': 0}","[1.2557471563923173e-05, -0.01442488469183445, -0.0030454318039119244, 1.111932760977652e-05, -0.015958493575453758, -0.006048306357115507, 6.906595444888808e-06, -0.014544591307640076, -0.004564644303172827, 6.025383299856912e-06, -0.014129051938652992, -0.0028830186929553747, 1.1123112926725298e-05, -0.015975534915924072, -0.006065611261874437, 7.42785096008447e-06, -0.014268225058913231, -0.00439459877088666]"
