time,layout,data
2026/01/30 15:24:31.527478524,"{'dim': [], 'data_offset': 0}","[6.294495688052848e-05, -0.07219946384429932, -0.015227864496409893, 5.559662895393558e-05, -0.0798940658569336, -0.03024706244468689, 3.439613647060469e-05, -0.07279987633228302, -0.02282560057938099, 3.024629404535517e-05, -0.0707157701253891, -0.014415692538022995, 5.561555371969007e-05, -0.07997960597276688, -0.030333634465932846, 3.704036498675123e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527516756,"{'dim': [], 'data_offset': 0}","[6.293055776041001e-05, -0.07219946384429932, -0.015227864496409893, 5.559662895393558e-05, -0.0798940658569336, -0.03024706244468689, 3.4408636565785855e-05, -0.07279987633228302, -0.02282560057938099, 3.0235391022870317e-05, -0.0707157701253891, -0.014415692538022995, 5.561555371969007e-05, -0.07997960597276688, -0.030333634465932846, 3.704939445015043e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527543176,"{'dim': [], 'data_offset': 0}","[6.291618046816438e-05, -0.07219946384429932, -0.015227864496409893, 5.5596632591914386e-05, -0.0798940658569336, -0.03024706244468689, 3.4421122109051794e-05, -0.07279987633228302, -0.02282560057938099, 3.022449709533248e-05, -0.0707157701253891, -0.014415692538022995, 5.561555371969007e-05, -0.07997960597276688, -0.030333634465932846, 3.7058420275570825e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527572020,"{'dim': [], 'data_offset': 0}","[6.290181045187637e-05, -0.07219946384429932, -0.015227864496409893, 5.5596632591914386e-05, -0.0798940658569336, -0.03024706244468689, 3.443359673838131e-05, -0.07279987633228302, -0.02282560057938099, 3.0213614081731066e-05, -0.0707157701253891, -0.014415692538022995, 5.561555371969007e-05, -0.07997960597276688, -0.030333634465932846, 3.70674351870548e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527599512,"{'dim': [], 'data_offset': 0}","[6.288745498750359e-05, -0.07219946384429932, -0.015227864496409893, 5.5596632591914386e-05, -0.0798940658569336, -0.03024706244468689, 3.444606045377441e-05, -0.07279987633228302, -0.02282560057938099, 3.0202741982066073e-05, -0.0707157701253891, -0.014415692538022995, 5.561555735766888e-05, -0.07997960597276688, -0.030333634465932846, 3.707643918460235e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527626914,"{'dim': [], 'data_offset': 0}","[6.287311407504603e-05, -0.07219946384429932, -0.015227864496409893, 5.5596632591914386e-05, -0.0798940658569336, -0.03024706244468689, 3.445851325523108e-05, -0.07279987633228302, -0.02282560057938099, 3.0191878977348097e-05, -0.0707157701253891, -0.014415692538022995, 5.561555735766888e-05, -0.07997960597276688, -0.030333634465932846, 3.7085439544171095e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527650248,"{'dim': [], 'data_offset': 0}","[6.28587877145037e-05, -0.07219946384429932, -0.015227864496409893, 5.559663622989319e-05, -0.0798940658569336, -0.03024706244468689, 3.447095150477253e-05, -0.07279987633228302, -0.02282560057938099, 3.0181026886566542e-05, -0.0707157701253891, -0.014415692538022995, 5.561555735766888e-05, -0.07997960597276688, -0.030333634465932846, 3.709442898980342e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527677770,"{'dim': [], 'data_offset': 0}","[6.28444759058766e-05, -0.07219946384429932, -0.015227864496409893, 5.559663622989319e-05, -0.0798940658569336, -0.03024706244468689, 3.4483378840377554e-05, -0.07279987633228302, -0.02282560057938099, 3.017018570972141e-05, -0.0707157701253891, -0.014415692538022995, 5.561555735766888e-05, -0.07997960597276688, -0.030333634465932846, 3.710341115947813e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.527703058,"{'dim': [], 'data_offset': 0}","[6.283017864916474e-05, -0.07219946384429932, -0.015227864496409893, 5.559663622989319e-05, -0.0798940658569336, -0.03024706244468689, 3.4495798900024965e-05, -0.07279987633228302, -0.02282560057938099, 3.0159353627823293e-05, -0.0707157701253891, -0.014415692538022995, 5.5615560995647684e-05, -0.07997960597276688, -0.030333634465932846, 3.7112382415216416e-05, -0.07141374796628952, -0.021975116804242134]"
2026/01/30 15:24:31.530697386,"{'dim': [], 'data_offset': 0}","[6.281588866841048e-05, -0.07219946384429932, -0.015227864496409893, 5.559663622989319e-05, -0.0798940658569336, -0.03024706244468689, 3.450820076977834e-05, -0.07279987633228302, -0.02282560057938099, 3.0148530640872195e-05, -0.0707157701253891, -0.014415692538022995, 5.5615560995647684e-05, -0.07997960597276688, -0.030333634465932846, 3.71213500329759e-05, -0.07141374796628952, -0.021975116804242134]"
