time,layout,data
2026/01/30 15:24:31.527464768,"{'dim': [], 'data_offset': 0}","[-5.763332637798158e-07, -2.7897914534058543e-10, -1.5870502134696096e-10, 3.5696175182398093e-11, 5.2689918265047195e-14, 1.4237575216556088e-14, 5.00408930292906e-07, 2.0845755677179056e-10, 1.237494551276086e-10, -4.365256245364435e-07, -7.25484949892774e-11, -3.453495475702617e-11, 3.485474756037554e-11, 2.857486653979474e-14, -8.397321161720313e-15, 3.615872685713839e-07, 1.678459038423341e-10, 1.0793040072787363e-10]"
2026/01/30 15:24:31.527514271,"{'dim': [], 'data_offset': 0}","[-5.757895564784121e-07, -2.787107489243823e-10, -1.585541559157022e-10, 3.565988476728066e-11, 5.84498473384619e-14, 1.9497997102513667e-14, 4.999398584004666e-07, 2.0826569635534753e-10, 1.2363393642189635e-10, -4.361196204172302e-07, -7.247810684951617e-11, -3.450419464035015e-11, 3.4819855332379746e-11, 3.448996866101464e-14, -3.1275266444431285e-15, 3.6125479141446704e-07, 1.67694053088141e-10, 1.0783109821721482e-10]"
2026/01/30 15:24:31.527541152,"{'dim': [], 'data_offset': 0}","[-5.752463039243594e-07, -2.784466823779752e-10, -1.5839725364674706e-10, 3.562362210773884e-11, 5.676510897076846e-14, 2.5986261008152135e-14, 4.994712412553781e-07, 2.080715461039162e-10, 1.2352457945397077e-10, -4.3571398578023945e-07, -7.240941873876139e-11, -3.4466835635571513e-11, 3.478503249332299e-11, 3.283100381184026e-14, 3.5244632241854387e-15, 3.609226268963539e-07, 1.6753858023133006e-10, 1.077376521330109e-10]"
2026/01/30 15:24:31.527570057,"{'dim': [], 'data_offset': 0}","[-5.747036198044952e-07, -2.7818533587797845e-10, -1.5823971299955275e-10, 3.558746353160558e-11, 5.220937275714731e-14, 3.0252333976668946e-14, 4.990030788576405e-07, 2.0787556398449425e-10, 1.234154028972867e-10, -4.353087206254713e-07, -7.234316617976688e-11, -3.442783211293765e-11, 3.4750327615462595e-11, 2.8161677091860515e-14, 7.896379100450542e-15, 3.605907750170445e-07, 1.6738303798558007e-10, 1.0764445584898752e-10]"
2026/01/30 15:24:31.527597559,"{'dim': [], 'data_offset': 0}","[-5.741614472754009e-07, -2.7792573797924547e-10, -1.580833380865343e-10, 3.555137781385831e-11, 4.5671328725198704e-14, 3.2483276458201635e-14, 4.985353712072538e-07, 2.0767698671875223e-10, 1.2330474141730718e-10, -4.349038533746352e-07, -7.227918263907895e-11, -3.438952247969418e-11, 3.471564008483696e-11, 2.1567678063416293e-14, 1.0000966289109518e-14, 3.602592073548294e-07, 1.6722549733838576e-10, 1.0755052404221033e-10]"
2026/01/30 15:24:31.527625031,"{'dim': [], 'data_offset': 0}","[-5.736197294936574e-07, -2.776656404801514e-10, -1.5792983587559206e-10, 3.5515354546156175e-11, 3.951840346931232e-14, 3.2317630695036584e-14, 4.980680614607991e-07, 2.0748024132100085e-10, 1.2319242848057854e-10, -4.344993556060217e-07, -7.221573339322163e-11, -3.435414799857206e-11, 3.468091092084791e-11, 1.55801698717992e-14, 9.940629591177752e-15, 3.5992795233141806e-07, 1.6706727667958887e-10, 1.0745394157796184e-10]"
2026/01/30 15:24:31.527648315,"{'dim': [], 'data_offset': 0}","[-5.730785801461025e-07, -2.774081242495896e-10, -1.5777619488677175e-10, 3.547940413684003e-11, 3.168370446104789e-14, 3.153338321796456e-14, 4.976011496182764e-07, 2.0728281591164688e-10, 1.2307954655454978e-10, -4.340952273196308e-07, -7.215450459341355e-11, -3.4318728414639565e-11, 3.464637951533511e-11, 7.835805233293545e-15, 9.292678185648419e-15, 3.5959700994681043e-07, 1.669103188994825e-10, 1.0735728972477432e-10]"
2026/01/30 15:24:31.527675887,"{'dim': [], 'data_offset': 0}","[-5.725379423893173e-07, -2.771498586184862e-10, -1.5762700866783774e-10, 3.5443429441395224e-11, 2.6728055193907772e-14, 2.876061747699582e-14, 4.971347493665235e-07, 2.0708669501434684e-10, 1.229643054045937e-10, -4.336914685154625e-07, -7.209054186940733e-11, -3.428696909724138e-11, 3.46118203542467e-11, 2.876184228663755e-15, 6.384032689830564e-15, 3.592663517792971e-07, 1.6675402725319088e-10, 1.0725805660305454e-10]"
2026/01/30 15:24:31.527701044,"{'dim': [], 'data_offset': 0}","[-5.719977593798831e-07, -2.768906492978118e-10, -1.5747808612687209e-10, 3.5407541482124216e-11, 2.1706837106320702e-14, 2.6198175099028005e-14, 4.966687470187026e-07, 2.0689168434007144e-10, 1.2284902262127417e-10, -4.332881076152262e-07, -7.202639179526571e-11, -3.425586550531712e-11, 3.457725772371134e-11, -2.123049330535567e-15, 3.948446201208289e-15, 3.589359778288781e-07, 1.6659772172911147e-10, 1.0715864307009326e-10]"
2026/01/30 15:24:31.530580265,"{'dim': [], 'data_offset': 0}","[-5.714581448046374e-07, -2.7663124568810815e-10, -1.5733063463141406e-10, 3.537160842004283e-11, 1.8317990421496018e-14, 2.3292589509732106e-14, 4.962031994182325e-07, 2.0669677081031068e-10, 1.22732921048474e-10, -4.328851161972125e-07, -7.196056944769325e-11, -3.422602826153032e-11, 3.454274713488026e-11, -5.635811218071161e-15, 1.05648418395691e-15, 3.5860594493897224e-07, 1.6644279010602503e-10, 1.0705860503668063e-10]"
2026/01/30 15:24:31.535709838,"{'dim': [], 'data_offset': 0}","[-5.709190418201615e-07, -2.7637142574477025e-10, -1.5718398804764888e-10, 3.5335828013627335e-11, 1.684058877863149e-14, 2.0342843010698157e-14, 4.957380497216946e-07, 2.0650314791481605e-10, 1.2261540394131742e-10, -4.324825226831308e-07, -7.189623202341622e-11, -3.419697858220161e-11, 3.450825736273089e-11, -7.174352969617926e-15, -1.816368134729702e-15, 3.582761962661607e-07, 1.6628746990487997e-10, 1.0695689472983716e-10]"
2026/01/30 15:24:31.540297688,"{'dim': [], 'data_offset': 0}","[-5.703804504264554e-07, -2.761108564008907e-10, -1.5703729983052028e-10, 3.5300009443295366e-11, 1.5728487034929323e-14, 1.8319293158168895e-14, 4.952733547725074e-07, 2.0630898378559692e-10, 1.2249894154603425e-10, -4.320802702295623e-07, -7.183146438771715e-11, -3.416831748093152e-11, 3.4473798815604084e-11, -8.086950502154445e-15, -4.04007949599168e-15, 3.5794673181044345e-07, 1.66133370949062e-10, 1.0685616974592804e-10]"
2026/01/30 15:24:31.545600108,"{'dim': [], 'data_offset': 0}","[-5.698423137801001e-07, -2.7585075890179667e-10, -1.5689155530296262e-10, 3.526418393406949e-11, 1.604255329924406e-14, 1.6434748188547642e-14, 4.948091145706712e-07, 2.0611640172418788e-10, 1.223823681284486e-10, -4.316784156799258e-07, -7.176522570651045e-11, -3.4140214960620696e-11, 3.4439329860136425e-11, -7.867884912104908e-15, -5.728021765808106e-15, 3.576176084152394e-07, 1.6597892504854883e-10, 1.0675529210635304e-10]"
2026/01/30 15:24:31.550660440,"{'dim': [], 'data_offset': 0}","[-5.693047455679334e-07, -2.7559041160252207e-10, -1.5674506137486333e-10, 3.5228386180419236e-11, 1.651181632828652e-14, 1.5379653456261584e-14, 4.94345272272767e-07, 2.0592388905171788e-10, 1.222663914557387e-10, -4.3127693061251193e-07, -7.170000704270763e-11, -3.4111529573221944e-11, 3.44049233547139e-11, -7.33435834038721e-15, -6.724814373301703e-15, 3.5728874081542017e-07, 1.6582626938266287e-10, 1.0665526101183431e-10]"
2026/01/30 15:24:31.555918797,"{'dim': [], 'data_offset': 0}","[-5.687676889465365e-07, -2.7533111901512086e-10, -1.5659756824604187e-10, 3.5192692510177537e-11, 1.6283059834287447e-14, 1.5150988441820813e-14, 4.938818847222137e-07, 2.057323200688188e-10, 1.2215138622817534e-10, -4.3087581502732064e-07, -7.163395571163633e-11, -3.4081557021004016e-11, 3.4370551543760897e-11, -7.236577703989121e-15, -6.996087686088207e-15, 3.5696021427611413e-07, 1.656716153153326e-10, 1.0655545196192051e-10]"
2026/01/30 15:24:31.560973198,"{'dim': [], 'data_offset': 0}","[-5.682310870724905e-07, -2.7506966149282164e-10, -1.5645308659717472e-10, 3.515686353150471e-11, 1.9737553266590234e-14, 1.3820918015735803e-14, 4.934189519190113e-07, 2.0554022372998304e-10, 1.220349932218312e-10, -4.3047506892435194e-07, -7.15646292226424e-11, -3.4053954101054273e-11, 3.433613809944447e-11, -4.067004979319e-15, -8.338692082210213e-15, 3.5663194353219296e-07, 1.6551951476095894e-10, 1.064547339169053e-10]"
2026/01/30 15:24:31.566075961,"{'dim': [], 'data_offset': 0}","[-5.676950536326331e-07, -2.748081762149468e-10, -1.5630606531313873e-10, 3.512110741121788e-11, 2.141299968285229e-14, 1.4399954820676526e-14, 4.929564170197409e-07, 2.053487102582352e-10, 1.2192040432790208e-10, -4.300747207253153e-07, -7.149682929030732e-11, -3.402381501538265e-11, 3.430172465512804e-11, -2.526567356278043e-15, -7.902500607560349e-15, 3.5630401384878496e-07, 1.6536701175073887e-10, 1.0635593794550147e-10]"
