time,layout,data
2026/02/02 23:44:15.361192694,"{'dim': [], 'data_offset': 0}","[0.0013422697084024549, -0.013280197978019714, 0.012601123191416264, -0.0008975557284429669, -0.014733005315065384, 0.011536497622728348, -0.0008604814065620303, -0.015311425551772118, 0.014863301999866962, 0.002046166453510523, -0.012165525928139687, 0.012434792704880238, -0.00034672775655053556, -0.013989035971462727, 0.011971594765782356, -0.0006942333420738578, -0.014209595508873463, 0.014616343192756176]"
2026/02/02 23:44:15.366008732,"{'dim': [], 'data_offset': 0}","[0.0013366614002734423, -0.01318708248436451, 0.012397817336022854, -0.0009065807098522782, -0.014682488515973091, 0.011367429979145527, -0.0008683459600433707, -0.015395295806229115, 0.014980446547269821, 0.002039649523794651, -0.01208050362765789, 0.012244120240211487, -0.0003566102823242545, -0.013927622698247433, 0.011804773472249508, -0.0007013865979388356, -0.014292462728917599, 0.014749989844858646]"
2026/02/02 23:44:15.370983946,"{'dim': [], 'data_offset': 0}","[0.0013146295677870512, -0.01252293772995472, 0.012131385505199432, -0.0009357491508126259, -0.014251146465539932, 0.011178934946656227, -0.0008924277499318123, -0.015329040586948395, 0.014988775365054607, 0.002016456099227071, -0.01140640489757061, 0.011956484988331795, -0.0003871112421620637, -0.013483922928571701, 0.011621315963566303, -0.0007256949320435524, -0.014222280122339725, 0.014791800640523434]"
2026/02/02 23:44:15.376462090,"{'dim': [], 'data_offset': 0}","[0.0013146399287506938, -0.012454104609787464, 0.012080195359885693, -0.0009384833974763751, -0.014362207613885403, 0.011383634060621262, -0.0008916258811950684, -0.015393075533211231, 0.014969266951084137, 0.0020165331661701202, -0.011331884190440178, 0.01191795989871025, -0.0003897957503795624, -0.013586828485131264, 0.011831745505332947, -0.0007239532424136996, -0.014288759790360928, 0.014797586016356945]"
2026/02/02 23:44:15.381269995,"{'dim': [], 'data_offset': 0}","[0.007447177544236183, 0.019362743943929672, -0.04974941909313202, -0.0003464980982244015, 0.007162359077483416, -0.04049293324351311, -0.007578852586448193, 0.03136832267045975, -0.05612451955676079, 0.008794819004833698, 0.01970832236111164, -0.04722023755311966, 9.233799210051075e-05, 0.008136640302836895, -0.039917852729558945, -0.007613119203597307, 0.032498523592948914, -0.05628953129053116]"
2026/02/02 23:44:15.386676126,"{'dim': [], 'data_offset': 0}","[0.02005625329911709, 0.07599235326051712, -0.1459934562444687, -0.00025402018218301237, 0.038607481867074966, -0.10802100598812103, -0.022175382822752, 0.09611217677593231, -0.15341956913471222, 0.021852649748325348, 0.0762597993016243, -0.14122936129570007, 0.00014232717512641102, 0.03961462527513504, -0.10693604499101639, -0.02234504371881485, 0.09736044704914093, -0.1535458266735077]"
2026/02/02 23:44:15.391337158,"{'dim': [], 'data_offset': 0}","[0.03906156122684479, 0.14073824882507324, -0.25264203548431396, -0.00024570053210482, 0.060694701969623566, -0.158635213971138, -0.04379521682858467, 0.1688544899225235, -0.26014021039009094, 0.041090451180934906, 0.1412198692560196, -0.24647170305252075, 0.00011080165131716058, 0.061273932456970215, -0.15660126507282257, -0.044077467173337936, 0.1700088381767273, -0.26025891304016113]"
2026/02/02 23:44:15.396697226,"{'dim': [], 'data_offset': 0}","[0.0640203207731247, 0.2091968059539795, -0.36232805252075195, -0.0004010078846476972, 0.0796705111861229, -0.20598216354846954, -0.07214471697807312, 0.23467864096164703, -0.3586418628692627, 0.06631690263748169, 0.20945189893245697, -0.355520099401474, 0.00015167730452958494, 0.07970193773508072, -0.20420058071613312, -0.07229206711053848, 0.23200201988220215, -0.3557242751121521]"
2026/02/02 23:44:15.401895494,"{'dim': [], 'data_offset': 0}","[0.09504922479391098, 0.22964510321617126, -0.42373892664909363, -0.0005258971941657364, 0.08611997216939926, -0.25043556094169617, -0.1065201461315155, 0.24887385964393616, -0.40922701358795166, 0.09718645364046097, 0.23065149784088135, -0.4165274202823639, 2.0879357180092484e-05, 0.08688142150640488, -0.24995049834251404, -0.10674683749675751, 0.244843527674675, -0.4055338203907013]"
2026/02/02 23:44:15.407049872,"{'dim': [], 'data_offset': 0}","[0.1315329670906067, 0.24140559136867523, -0.485314279794693, -0.0004236245877109468, 0.10642881691455841, -0.31325578689575195, -0.14650516211986542, 0.2614745497703552, -0.4685710072517395, 0.13321445882320404, 0.24225680530071259, -0.47594326734542847, -2.553399099269882e-06, 0.1068926677107811, -0.3125988841056824, -0.14693111181259155, 0.25851479172706604, -0.46665841341018677]"
