time,layout,data
2026/02/02 23:44:15.361176423,"{'dim': [], 'data_offset': 0}","[3.57466924469918e-05, 0.008528091013431549, 0.0033096647821366787, -2.6280560632585548e-05, 0.003373572137206793, -0.0001299970899708569, -2.0273464542697184e-05, -0.0015639974735677242, -0.0006925619090907276, 5.1464230637066066e-05, 0.008087821304798126, 0.0038384089712053537, -9.726674761623144e-06, 0.0032600609119981527, -0.00013653375208377838, -1.7144277080660686e-05, -0.001295870286412537, -0.0009401898132637143]"
2026/02/02 23:44:15.366001383,"{'dim': [], 'data_offset': 0}","[-7.496559192077257e-06, -0.001228989101946354, -0.002522487426176667, 8.181900739145931e-06, -0.0007425207877531648, -0.0019231074256822467, 6.829190624557668e-06, 0.0012927434872835875, 0.0017568485345691442, -1.3292531548358966e-05, -0.0010278625413775444, -0.0023363670334219933, 3.524213070704718e-06, -0.0008561630384065211, -0.001970660872757435, 5.0172038754681125e-06, 0.0011855855118483305, 0.001973424106836319]"
2026/02/02 23:44:15.371069620,"{'dim': [], 'data_offset': 0}","[-2.8963908334844746e-05, -0.008323573507368565, -0.0032345664221793413, 2.729449261096306e-05, -0.006153353489935398, -0.0021084884647279978, 2.149135798390489e-05, -0.0010168340522795916, 0.00012498280557338148, -4.6769688196945935e-05, -0.007694050204008818, -0.0034415647387504578, 1.1807264854724053e-05, -0.005988250486552715, -0.0021334567572921515, 1.7640488295000978e-05, -0.0009991676779463887, 0.0006191281136125326]"
2026/02/02 23:44:15.376502355,"{'dim': [], 'data_offset': 0}","[646.450439453125, 38.32561492919922, 7332.32177734375, 2.5660663141024997e-06, 0.001596728223375976, 7321.1123046875, 1669.9569091796875, 39.14130783081055, 7386.62841796875, 644.5811157226562, 38.026519775390625, 7329.3818359375, 1.0464154911460355e-06, 0.0013994415057823062, 7329.5146484375, 1670.929931640625, 38.84532165527344, 7383.5849609375]"
2026/02/02 23:44:15.381324373,"{'dim': [], 'data_offset': 0}","[-7.381721496582031, -5.531389236450195, -368.4592590332031, -0.00020512190531007946, 0.15420621633529663, -316.8594970703125, -15.628376960754395, -7.380640506744385, -416.4930419921875, -8.113463401794434, -5.381776809692383, -354.8077392578125, 4.451926361070946e-05, 0.17681457102298737, -316.56640625, -16.0983943939209, -7.315717697143555, -416.2694396972656]"
2026/02/02 23:44:15.386714049,"{'dim': [], 'data_offset': 0}","[-14.398573875427246, -5.8512444496154785, -438.9549560546875, -2.349126589251682e-05, 1.2230647802352905, -343.1231384277344, -32.407737731933594, -5.233382225036621, -434.296142578125, -14.798662185668945, -5.825850486755371, -434.69482421875, 7.114818345144158e-06, 1.2567731142044067, -341.56817626953125, -32.688716888427734, -5.1546101570129395, -433.9637451171875]"
2026/02/02 23:44:15.391413284,"{'dim': [], 'data_offset': 0}","[-20.018795013427734, -2.200561046600342, -352.2222595214844, -2.0441464130271925e-06, 1.3652695417404175, -222.51792907714844, -44.431514739990234, -0.41312888264656067, -344.15350341796875, -20.087778091430664, -2.176025867462158, -354.4246826171875, -3.4930794754473027e-06, 1.3520649671554565, -219.64599609375, -44.617393493652344, -0.3287006616592407, -343.998779296875]"
2026/02/02 23:44:15.396719893,"{'dim': [], 'data_offset': 0}","[-23.584074020385742, 2.387296438217163, -251.29583740234375, 6.227952690096572e-05, 1.559792399406433, -180.7525634765625, -52.516944885253906, 4.030650615692139, -228.6034393310547, -23.596458435058594, 2.3971192836761475, -255.85275268554688, 6.199909876158927e-06, 1.515398383140564, -182.70286560058594, -52.238460540771484, 3.6215248107910156, -223.82449340820312]"
2026/02/02 23:44:15.401950077,"{'dim': [], 'data_offset': 0}","[-25.508098602294922, 1.144065499305725, -112.69834899902344, 6.56790507491678e-05, 0.5760244131088257, -147.8433074951172, -55.926902770996094, 1.0844464302062988, -97.946044921875, -25.130273818969727, 1.2084239721298218, -114.99266052246094, -2.7309772576700198e-06, 0.6473052501678467, -152.3888397216797, -56.00718307495117, 0.9252115488052368, -97.75782775878906]"
2026/02/02 23:44:15.407138783,"{'dim': [], 'data_offset': 0}","[-25.297794342041016, 0.8040398359298706, -89.21358489990234, -4.332524258643389e-05, 2.2838616371154785, -170.2871551513672, -55.61531448364258, 1.136929988861084, -91.82132720947266, -24.782115936279297, 0.8039804697036743, -89.32255554199219, 5.983317663549315e-08, 2.2612600326538086, -170.19537353515625, -55.797271728515625, 1.1886259317398071, -95.28240966796875]"
