time,layout,data
2026/02/02 23:44:15.361311316,"{'dim': [], 'data_offset': 0}","[1.0140984718631785e-09, 0.0001404238137183711, 9.11809729586821e-06, -9.012339208247511e-10, 7.060007192194462e-06, -6.593789403375183e-10, -4.501505279641549e-10, -6.512073582598532e-07, -6.001312868875175e-08, 1.302195906660586e-09, 0.00014277439913712442, 1.4607145203626715e-05, -3.0617902657681384e-10, 7.068254035402788e-06, -7.093389764456504e-10, -4.1821970886424253e-10, -4.302339391415444e-07, -1.55275088786766e-07]"
2026/02/02 23:44:15.366065193,"{'dim': [], 'data_offset': 0}","[-9.43181643897617e-12, -4.262375625785353e-07, -4.1705116018420085e-06, 2.6656683804748837e-11, -7.579679817126816e-08, -2.198796892116661e-06, 1.6895800730720723e-11, 3.637409804468916e-07, 9.64360424404731e-07, -2.2581556416434445e-11, -2.972086861063872e-07, -3.397638238311629e-06, 1.3767596437896934e-11, -1.2916159164433338e-07, -2.1936907614872325e-06, 1.0269000060014744e-11, 3.256550087371579e-07, 1.409916762895591e-06]"
2026/02/02 23:44:15.371178828,"{'dim': [], 'data_offset': 0}","[-5.623636001317323e-10, -0.00014685755013488233, -9.184351256408263e-06, 9.288859681433337e-10, -4.579460801323876e-05, -2.9966099646117073e-06, 4.985422630277014e-10, -1.7855023770607659e-07, 3.4681935101588124e-10, -1.0063710975671825e-09, -0.00013985006080474705, -1.1389380233595148e-05, 4.393753416653823e-10, -4.7156117943814024e-05, -2.872199502235162e-06, 4.169473932780221e-10, -1.9686051189182763e-07, 4.3292214257917294e-08]"
2026/02/02 23:44:15.376592212,"{'dim': [], 'data_offset': 0}","[2.770861318168727e-09, 0.007263343781232834, 0.768539309501648, 7.67373198404947e-13, 7.877985694904055e-07, 12.270683288574219, 4.295286271371879e-05, 0.006419906858354807, 0.1124541163444519, 1.52771804096119e-07, 0.008446963503956795, 0.4351423978805542, 3.0164602369750493e-13, 5.927706183683767e-07, 12.982202529907227, 0.00020275404676795006, 0.006867061834782362, 0.009886951185762882]"
2026/02/02 23:44:15.381435554,"{'dim': [], 'data_offset': 0}","[-11.104475975036621, -223.97964477539062, -56343.3359375, -2.8753711376339197e-06, 2.857792615890503, -34109.015625, -27.955415725708008, -645.5487060546875, -84203.671875, -14.91097354888916, -207.4124755859375, -49635.140625, 4.1394537220185157e-07, 3.337615966796875, -33910.859375, -30.561582565307617, -640.5789184570312, -84142.6796875]"
2026/02/02 23:44:15.386792407,"{'dim': [], 'data_offset': 0}","[-91.56848907470703, -750.5770874023438, -162640.078125, -8.036048271264917e-09, 48.37445068359375, -62586.21875, -276.1900329589844, -877.4846801757812, -164447.5625, -100.93098449707031, -745.2589721679688, -153668.375, 7.111737310161459e-10, 49.811622619628906, -61365.2890625, -283.7767333984375, -867.4320678710938, -164190.84375]"
2026/02/02 23:44:15.391484298,"{'dim': [], 'data_offset': 0}","[-289.2328796386719, -368.99285888671875, -160245.890625, -5.659572203248198e-12, 26.64160919189453, -22801.833984375, -830.7220458984375, -87.44192504882812, -156786.640625, -297.3739013671875, -367.29669189453125, -157023.59375, -1.3886500283000203e-10, 25.371532440185547, -21671.453125, -842.90869140625, -69.39250946044922, -156693.953125]"
2026/02/02 23:44:15.396769186,"{'dim': [], 'data_offset': 0}","[-587.6581420898438, 447.5296325683594, -120933.8359375, 6.008821884506688e-08, 22.46607780456543, -16207.962890625, -1688.302490234375, 698.5632934570312, -88721.703125, -600.6468505859375, 446.40216064453125, -121699.4453125, 4.1435713193926915e-10, 20.58465576171875, -16557.95703125, -1663.4058837890625, 556.72314453125, -81594.1796875]"
2026/02/02 23:44:15.402058381,"{'dim': [], 'data_offset': 0}","[-982.3607788085938, 19.134868621826172, -17000.7578125, 4.097675798675482e-08, 0.9584020972251892, -11686.162109375, -2643.485595703125, 8.740819931030273, -10025.1953125, -957.8945922851562, 21.723712921142578, -17119.62109375, -1.868873722443709e-09, 1.334611415863037, -12758.32421875, -2659.514892578125, 6.102851867675781, -9701.4501953125]"
2026/02/02 23:44:15.407200366,"{'dim': [], 'data_offset': 0}","[-1346.919189453125, 4.448236465454102, -13530.220703125, -1.8126749878888404e-08, 37.67909240722656, -26880.720703125, -3556.715087890625, 7.220761775970459, -12934.7177734375, -1286.704345703125, 4.331305027008057, -12613.2138671875, 1.3141617785303317e-12, 36.22085952758789, -26719.4609375, -3604.003173828125, 8.886316299438477, -14239.8359375]"
2026/02/02 23:44:15.412034795,"{'dim': [], 'data_offset': 0}","[-1608.8394775390625, 1.9373524188995361, -13951.4033203125, 1.3222993811012884e-09, -2.3952739238739014, -11214.5673828125, -4365.34130859375, 1.6093108654022217, -12271.9404296875, -1549.6151123046875, 2.186565637588501, -13407.0439453125, 8.514762679656673e-12, -2.063016414642334, -11600.3828125, -4357.53955078125, 1.171750783920288, -12220.181640625]"
