time,layout,data
2026/02/02 23:44:15.361149581,"{'dim': [], 'data_offset': 0}","[9.008521374198608e-06, 0.0008825959521345794, 0.0007945718825794756, 4.028047442261595e-06, 0.001086485106498003, 0.0006658966885879636, 3.702155026985565e-06, 0.0011735728476196527, 0.001105808885768056, 2.093442526529543e-05, 0.000740547722671181, 0.0007737181149423122, 6.01101078245847e-07, 0.0009794229408726096, 0.0007171088946051896, 2.409805574643542e-06, 0.0010105823166668415, 0.0010693285148590803]"
2026/02/02 23:44:15.365975831,"{'dim': [], 'data_offset': 0}","[8.933398021326866e-06, 0.0008702517952769995, 0.0007691200007684529, 4.109459496248746e-06, 0.0010790390660986304, 0.0006465096957981586, 3.7701377095800126e-06, 0.0011864801635965705, 0.0011233279947191477, 2.0801286154892296e-05, 0.0007302252925001085, 0.0007501543150283396, 6.358549171636696e-07, 0.0009708341094665229, 0.0006972488481551409, 2.4597218271082966e-06, 0.0010224157012999058, 0.0010889943223446608]"
2026/02/02 23:44:15.371043207,"{'dim': [], 'data_offset': 0}","[8.64132925926242e-06, 0.0007847346132621169, 0.0007363940239883959, 4.3781515159935225e-06, 0.0010165070416405797, 0.0006252333405427635, 3.98215252062073e-06, 0.0011762777576223016, 0.001124578877352178, 2.0330890038167126e-05, 0.0006509535014629364, 0.0007152986363507807, 7.492760687455302e-07, 0.0009099073940888047, 0.0006757309311069548, 2.633172698551789e-06, 0.0010123891988769174, 0.0010951835429295897]"
2026/02/02 23:44:15.376497392,"{'dim': [], 'data_offset': 0}","[3.2241368293762207, 0.2053830325603485, 37.086341857910156, 4.403775164973922e-06, 0.001032428815960884, 36.996253967285156, 8.339110374450684, 0.2128889411687851, 37.46178436279297, 3.210493803024292, 0.2025638073682785, 37.06534194946289, 7.597042213092209e-07, 0.0009238614584319293, 37.0541877746582, 8.345965385437012, 0.2100476622581482, 37.43939208984375]"
2026/02/02 23:44:15.381249356,"{'dim': [], 'data_offset': 0}","[3.106452703475952, 0.13488240540027618, 29.720304489135742, 6.003050430081203e-07, 0.0002565627219155431, 30.744508743286133, 8.069278717041016, 0.11298276484012604, 29.030317306518555, 3.0810470581054688, 0.13421808183193207, 29.997507095336914, 4.26315267532118e-08, 0.0003311341570224613, 30.809022903442383, 8.067914009094238, 0.11104337126016617, 29.012622833251953]"
2026/02/02 23:44:15.386709479,"{'dim': [], 'data_offset': 0}","[2.875030040740967, 0.050908442586660385, 20.551301956176758, 3.226313651794044e-07, 0.0075082313269376755, 23.860685348510742, 7.50391149520874, 0.03169456869363785, 19.94779396057129, 2.8431873321533203, 0.05061976611614227, 20.94582176208496, 1.0128512428764225e-07, 0.007908160798251629, 23.960914611816406, 7.4975266456604, 0.030664678663015366, 19.937652587890625]"
2026/02/02 23:44:15.391386160,"{'dim': [], 'data_offset': 0}","[2.551879644393921, 0.005743007175624371, 13.1206693649292, 3.018438121671352e-07, 0.01875850185751915, 19.53217315673828, 6.723724365234375, 0.00016124897229019552, 12.690542221069336, 2.5191338062286377, 0.005579585675150156, 13.483024597167969, 6.138503749752999e-08, 0.01912488043308258, 19.693449020385742, 6.713975429534912, 0.00010234690853394568, 12.683821678161621]"
2026/02/02 23:44:15.396687103,"{'dim': [], 'data_offset': 0}","[2.171328544616699, 0.006044019479304552, 7.845341682434082, 8.04037256330048e-07, 0.032744184136390686, 16.05719566345215, 5.7981486320495605, 0.018414698541164398, 7.99002742767334, 2.138674259185791, 0.006133846938610077, 8.114177703857422, 1.1503004060386957e-07, 0.03277081996202469, 16.178590774536133, 5.793612957000732, 0.016786182299256325, 8.106011390686035]"
2026/02/02 23:44:15.401923121,"{'dim': [], 'data_offset': 0}","[1.7615001201629639, 0.015417404472827911, 5.720708847045898, 1.3828413329974865e-06, 0.038458410650491714, 13.249366760253906, 4.812594890594482, 0.028396453708410263, 6.176388263702393, 1.7356681823730469, 0.015994422137737274, 5.943748474121094, 2.1797379456955923e-09, 0.03916635736823082, 13.277791023254395, 4.806562423706055, 0.025328880175948143, 6.296751022338867]"
2026/02/02 23:44:15.407104248,"{'dim': [], 'data_offset': 0}","[1.3592902421951294, 0.022859729826450348, 4.070428848266602, 8.972897376224864e-07, 0.059843044728040695, 9.947501182556152, 3.836296796798706, 0.03922265022993088, 4.476465702056885, 1.342643141746521, 0.02345852367579937, 4.293963432312012, 3.259923234133488e-11, 0.06039407104253769, 9.978330612182617, 3.8268065452575684, 0.03650836646556854, 4.524786949157715]"
