time,layout,data
2026/02/02 23:44:15.361184131,"{'dim': [], 'data_offset': 0}","[0.0067114089615643024, -0.0664595440030098, 0.06305564194917679, -0.004487796686589718, -0.07374497503042221, 0.05772087350487709, -0.004302422981709242, -0.07664687186479568, 0.07439859956502914, 0.010231046937406063, -0.0608726441860199, 0.062222033739089966, -0.0017336398595944047, -0.0700136199593544, 0.05990086868405342, -0.0034711752086877823, -0.07111971080303192, 0.07315978407859802]"
2026/02/02 23:44:15.366079910,"{'dim': [], 'data_offset': 0}","[0.006683366373181343, -0.06599274277687073, 0.062036726623773575, -0.004532922059297562, -0.07349157333374023, 0.056873869150877, -0.004341746214777231, -0.07706770300865173, 0.0749862790107727, 0.010198459960520267, -0.060446593910455704, 0.061266493052244186, -0.0017830525757744908, -0.06970565766096115, 0.059064991772174835, -0.0035069414880126715, -0.07153530418872833, 0.07383017241954803]"
2026/02/02 23:44:15.371120599,"{'dim': [], 'data_offset': 0}","[0.006573204416781664, -0.06266378611326218, 0.060701560229063034, -0.004678766243159771, -0.07132808864116669, 0.05592959746718407, -0.004462156444787979, -0.0767352506518364, 0.07502806186676025, 0.010082485154271126, -0.05706912279129028, 0.05982515960931778, -0.00193555757869035, -0.0674809068441391, 0.05814581736922264, -0.003628484206274152, -0.07118332386016846, 0.07403991371393204]"
2026/02/02 23:44:15.376527265,"{'dim': [], 'data_offset': 0}","[-6.173147201538086, -1.0983811616897583, 35.01096725463867, -0.004692437592893839, -0.07188510149717331, 34.94890594482422, 11.960171699523926, -1.1209046840667725, 35.26920700073242, -6.15529727935791, -1.089844822883606, 34.99650573730469, -0.0019489802652969956, -0.06799684464931488, 34.98882293701172, 11.967124938964844, -1.1124128103256226, 35.25382614135742]"
2026/02/02 23:44:15.381329427,"{'dim': [], 'data_offset': 0}","[-6.018488883972168, -0.8692547082901001, 29.796340942382812, -0.0017324915388599038, 0.03582097962498665, 30.539751052856445, 11.685245513916016, -0.7891808748245239, 29.29180335998535, -5.984893798828125, -0.8669041395187378, 29.998188018798828, 0.0004616899823304266, 0.04069666936993599, 30.586362838745117, 11.68384838104248, -0.781806230545044, 29.278825759887695]"
2026/02/02 23:44:15.386734617,"{'dim': [], 'data_offset': 0}","[-5.709607124328613, -0.5166241526603699, 22.804269790649414, -0.0012701012892648578, 0.19447605311870575, 25.405961990356445, 11.101178169250488, -0.4041605293750763, 22.318511962890625, -5.666585445404053, -0.515092670917511, 23.11981964111328, 0.0007116359192878008, 0.1996273249387741, 25.483243942260742, 11.094517707824707, -0.39735254645347595, 22.31031608581543]"
2026/02/02 23:44:15.391435802,"{'dim': [], 'data_offset': 0}","[-5.266633033752441, -0.16993825137615204, 16.51321792602539, -0.0012285029515624046, 0.30906325578689575, 21.981769561767578, 10.27563762664795, -0.028396740555763245, 16.12403678894043, -5.220912456512451, -0.16748948395252228, 16.838502883911133, 0.000554008292965591, 0.3121209740638733, 22.112655639648438, 10.265167236328125, -0.02262270823121071, 16.117929458618164]"
2026/02/02 23:44:15.396722770,"{'dim': [], 'data_offset': 0}","[-4.724608898162842, 0.1743607074022293, 11.455235481262207, -0.0020050411112606525, 0.4109950363636017, 19.088090896606445, 9.262411117553711, 0.3061680495738983, 11.604039192199707, -4.676927089691162, 0.17565937340259552, 11.731157302856445, 0.0007583866245113313, 0.411167174577713, 19.191753387451172, 9.257344245910645, 0.29209059476852417, 11.72281265258789]"
2026/02/02 23:44:15.401986135,"{'dim': [], 'data_offset': 0}","[-4.110376834869385, 0.27974581718444824, 9.175763130187988, -0.0026294896379113197, 0.4465678930282593, 16.62901496887207, 8.134720802307129, 0.3819759786128998, 9.681305885314941, -4.070398807525635, 0.2850112020969391, 9.424495697021484, 0.00010439678590046242, 0.45080244541168213, 16.654550552368164, 8.127638816833496, 0.36024266481399536, 9.813162803649902]"
2026/02/02 23:44:15.407144443,"{'dim': [], 'data_offset': 0}","[-3.4669950008392334, 0.34183964133262634, 7.244260787963867, -0.002118124859407544, 0.5622823238372803, 13.553528785705566, 6.9545183181762695, 0.4511376619338989, 7.736363410949707, -3.4392852783203125, 0.34638482332229614, 7.516728401184082, -1.2766994586854707e-05, 0.5649973154067993, 13.58337688446045, 6.9426751136779785, 0.4347172975540161, 7.794111251831055]"
