time,layout,data
2026/02/02 23:44:15.361267704,"{'dim': [], 'data_offset': 0}","[-0.006711611524224281, 0.06756559014320374, -0.06323936581611633, 0.004487954080104828, 0.07391531020402908, -0.0577288456261158, 0.004302521701902151, 0.07669675350189209, -0.0744214802980423, -0.010231348685920238, 0.06195623800158501, -0.06246843934059143, 0.0017336946912109852, 0.07017911970615387, -0.05990976467728615, 0.0034712613560259342, 0.07115767896175385, -0.07318749278783798]"
2026/02/02 23:44:15.366072736,"{'dim': [], 'data_offset': 0}","[-0.006683386862277985, 0.06602710485458374, -0.06214882805943489, 0.004532940685749054, 0.0735149160027504, -0.056946247816085815, 0.0043417601846158504, 0.07710765302181244, -0.07504426687955856, -0.010198519565165043, 0.060472894459962845, -0.06136477366089821, 0.001783059793524444, 0.06972969323396683, -0.05913897231221199, 0.003506950568407774, 0.07156956940889359, -0.07389898598194122]"
2026/02/02 23:44:15.371150113,"{'dim': [], 'data_offset': 0}","[-0.006573343649506569, 0.06377922743558884, -0.06088285148143768, 0.004678929690271616, 0.07187341898679733, -0.05601607635617256, 0.00446226354688406, 0.07676675915718079, -0.0750451311469078, -0.010082743130624294, 0.058113858103752136, -0.060031693428754807, 0.0019356298726052046, 0.06802457571029663, -0.05823194980621338, 0.0036285719834268093, 0.07121174782514572, -0.07406128942966461]"
2026/02/02 23:44:15.376552827,"{'dim': [], 'data_offset': 0}","[67703.9921875, 1338.4254150390625, -1535677.125, 0.004692443180829287, 0.07193540036678314, -1533704.125, -233188.0, 1367.9520263671875, -1547098.125, 67508.203125, 1327.9366455078125, -1535080.0, 0.0019489810802042484, 0.0680382028222084, -1535472.75, -233324.203125, 1357.6260986328125, -1546498.0]"
2026/02/02 23:44:15.381357458,"{'dim': [], 'data_offset': 0}","[16.675626754760742, 36.08845901489258, -4615.77978515625, 0.0017567776376381516, -0.69966721534729, -3349.007080078125, -38.15960693359375, 69.83116912841797, -5980.07666015625, 18.570104598999023, 34.297977447509766, -4256.533203125, -0.0004659828555304557, -0.8089044690132141, -3338.056640625, -39.435794830322266, 69.25409698486328, -5976.306640625]"
2026/02/02 23:44:15.386756327,"{'dim': [], 'data_offset': 0}","[43.46785354614258, 66.79237365722656, -8490.6845703125, 0.0012705358676612377, -7.886650562286377, -4681.904296875, -110.78160095214844, 68.17251586914062, -8491.1201171875, 45.74082946777344, 66.41215515136719, -8215.15234375, -0.000711707049049437, -8.112076759338379, -4626.26904296875, -112.47477722167969, 67.26730346679688, -8481.26953125]"
2026/02/02 23:44:15.391456875,"{'dim': [], 'data_offset': 0}","[82.59577941894531, 28.66559410095215, -7539.73876953125, 0.0012285064440220594, -6.341203212738037, -2291.850830078125, -206.79559326171875, 6.038787364959717, -7371.76904296875, 83.72535705566406, 28.43863296508789, -7487.73095703125, -0.0005540303536690772, -6.17025089263916, -2221.405029296875, -208.58529663085938, 4.7985382080078125, -7367.93359375]"
2026/02/02 23:44:15.396747435,"{'dim': [], 'data_offset': 0}","[123.4483413696289, -32.86074447631836, -5529.55615234375, 0.002006975933909416, -6.3332672119140625, -1744.212158203125, -310.6578063964844, -53.370113372802734, -4520.66943359375, 124.70589447021484, -32.887939453125, -5597.40966796875, -0.000758437323383987, -5.998933792114258, -1772.136474609375, -307.66070556640625, -45.19502258300781, -4290.82470703125]"
2026/02/02 23:44:15.402011674,"{'dim': [], 'data_offset': 0}","[163.16294860839844, -4.95943546295166, -1396.9234619140625, 0.0026311310939490795, -1.1928893327713013, -1341.613525390625, -395.484130859375, -3.4628775119781494, -1004.5446166992188, 159.96253967285156, -5.409526348114014, -1416.2520751953125, -0.00010446822852827609, -1.383668065071106, -1421.5953369140625, -396.9130859375, -2.7382452487945557, -987.7081298828125]"
2026/02/02 23:44:15.407170208,"{'dim': [], 'data_offset': 0}","[188.5915985107422, -2.2345476150512695, -1108.203125, 0.002119011478498578, -9.845171928405762, -2160.35009765625, -453.82666015625, -3.319770336151123, -1100.13525390625, 182.53346252441406, -2.2140614986419678, -1071.40478515625, 1.2767275620717555e-05, -9.62157917022705, -2153.406982421875, -457.4865417480469, -3.687784194946289, -1175.2410888671875]"
2026/02/02 23:44:15.412018977,"{'dim': [], 'data_offset': 0}","[197.4145050048828, -1.5233465433120728, -1028.1839599609375, 0.0023254079278558493, -1.9529163837432861, -1145.3988037109375, -486.33770751953125, -1.581910252571106, -973.9890747070312, 192.19821166992188, -1.6315406560897827, -1017.852294921875, -9.797323582461104e-05, -1.8266104459762573, -1171.279541015625, -485.4662780761719, -1.3419650793075562, -974.2826538085938]"
2026/02/02 23:44:15.416973898,"{'dim': [], 'data_offset': 0}","[193.54005432128906, -1.778434157371521, -897.3004150390625, 0.0011400490766391158, -3.681406021118164, -1413.7275390625, -483.9076843261719, -2.64304518699646, -928.4544067382812, 187.56358337402344, -2.0353713035583496, -904.9755249023438, -0.001337574445642531, -4.111563682556152, -1433.0709228515625, -483.8909912109375, -2.6995139122009277, -950.1046142578125]"
2026/02/02 23:44:15.422495636,"{'dim': [], 'data_offset': 0}","[172.6966552734375, -0.8154146075248718, -642.2163696289062, 0.002925905864685774, -4.346572399139404, -1030.937255859375, -206.9302978515625, -12.549938201904297, -553.107177734375, 168.25973510742188, -0.812815248966217, -656.60546875, -0.000328380789142102, -3.568380832672119, -993.6785888671875, -203.80899047851562, -11.631925582885742, -557.655029296875]"
2026/02/02 23:44:15.427460139,"{'dim': [], 'data_offset': 0}","[141.77789306640625, -0.49541375041007996, -448.6203308105469, 0.011113954707980156, -1.9413403272628784, -775.9261474609375, -81.53121948242188, -2.9810397624969482, -232.26620483398438, 137.85256958007812, -0.5976527333259583, -474.2910461425781, 0.0072811017744243145, -3.2572920322418213, -807.213134765625, -79.9255142211914, -3.1157548427581787, -235.3335723876953]"
2026/02/02 23:44:15.433132644,"{'dim': [], 'data_offset': 0}","[107.7688980102539, -0.532158613204956, -286.79730224609375, 0.02148362435400486, -3.3796546459198, -890.9638671875, -71.37073516845703, -12.735699653625488, -184.76060485839844, 106.2639389038086, -0.5426508784294128, -315.3665771484375, 0.015347033739089966, -1.776396632194519, -821.5429077148438, -68.4487533569336, -10.890921592712402, -183.34747314453125]"
2026/02/02 23:44:15.437598707,"{'dim': [], 'data_offset': 0}","[46.34196853637695, -7.935449123382568, -124.71326446533203, 0.014085345901548862, -0.8829426765441895, -661.9881591796875, -85.63714599609375, -1.600685715675354, -101.13235473632812, 60.487430572509766, -0.5667594075202942, -164.0294189453125, 0.078156478703022, -1.6408311128616333, -703.7374267578125, -123.15789794921875, -0.8812918663024902, -100.12578582763672]"
2026/02/02 23:44:15.442842344,"{'dim': [], 'data_offset': 0}","[21.249361038208008, -0.6437544822692871, -31.403606414794922, 0.04254421219229698, -0.7631444931030273, -542.7989501953125, -137.48614501953125, -1.7249740362167358, -161.4442901611328, 17.352445602416992, -13.286585807800293, -45.416526794433594, 0.04218234121799469, -1.358934760093689, -522.2576293945312, -117.02035522460938, -5.835412502288818, -166.1048583984375]"
2026/02/02 23:44:15.447851025,"{'dim': [], 'data_offset': 0}","[-7.348335266113281, -1.3829882144927979, 34.41411590576172, 0.058521196246147156, -4.732476711273193, -278.6123046875, -146.9040985107422, -6.027777671813965, -114.09139251708984, -13.184590339660645, -1.6870609521865845, 11.171257972717285, 0.042959488928318024, -1.2682015895843506, -264.08123779296875, -130.07057189941406, -1.530995488166809, -94.69412231445312]"
2026/02/02 23:44:15.453556440,"{'dim': [], 'data_offset': 0}","[-32.06937789916992, -25.371807098388672, 0.21591930091381073, 0.03968844562768936, -3.3241779804229736, -137.45309448242188, -115.95538330078125, -3.0057480335235596, -36.82162857055664, -15.785150527954102, -26.047565460205078, 0.169584259390831, 0.23457804322242737, -1.2517445087432861, -169.66798400878906, -108.40020751953125, -6.977879047393799, -44.262794494628906]"
2026/02/02 23:44:15.458624357,"{'dim': [], 'data_offset': 0}","[-17.042970657348633, -9.972992897033691, 0.775824248790741, 0.16690582036972046, -4.600090980529785, -56.51189422607422, -85.52667236328125, -3.373962879180908, 0.2477828711271286, -15.647039413452148, -7.0104289054870605, -1.0942909717559814, 0.11998040974140167, -0.983677327632904, -54.41764450073242, -84.76242065429688, -1.1998616456985474, -6.516169548034668]"
2026/02/02 23:44:15.464297600,"{'dim': [], 'data_offset': 0}","[-3.2983462810516357, 31.519800186157227, -1.0938547849655151, 0.31047216057777405, -11.751126289367676, 40.79027557373047, -71.46031951904297, -12.991690635681152, 0.7991313338279724, -3.6429409980773926, 22.232603073120117, -1.7152507305145264, 0.27186092734336853, -0.8836406469345093, 77.49784851074219, -76.24022674560547, -1.046889305114746, 20.96027183532715]"
2026/02/02 23:44:15.469210516,"{'dim': [], 'data_offset': 0}","[-2.036339282989502, 5.006023406982422, 1.0906604528427124, 0.3864724338054657, -8.718254089355469, 0.5013052821159363, -39.77349090576172, -58.164676666259766, -0.01254680473357439, -1.3102788925170898, 0.48608389496803284, -0.5628132224082947, 0.3993474841117859, -49.435630798339844, 0.9974954724311829, -41.446380615234375, -48.13323974609375, 1.4729771614074707]"
2026/02/02 23:44:15.474283308,"{'dim': [], 'data_offset': 0}","[-0.9609102606773376, 1.0200501680374146, 3.191420078277588, 0.3969537615776062, 84.71232604980469, -3.993741035461426, 12.137984275817871, -21.15468406677246, -2.574624538421631, -1.5581895112991333, 1.072947382926941, 1.121644139289856, 0.22711895406246185, -32.42740249633789, 1.8539040088653564, 9.784327507019043, -46.51559829711914, -2.8686091899871826]"
2026/02/02 23:44:15.479246658,"{'dim': [], 'data_offset': 0}","[-1.2065364122390747, 0.7102533578872681, 0.302166610956192, 0.16842666268348694, 0.3969844579696655, 10.359992027282715, 17.151926040649414, 12.008418083190918, -4.438650131225586, -1.9276450872421265, 2.061688184738159, 0.9371041059494019, 0.1692093163728714, 57.46385955810547, -2.0387051105499268, 16.168094635009766, 0.1961694210767746, -5.1906538009643555]"
2026/02/02 23:44:15.484624405,"{'dim': [], 'data_offset': 0}","[-1.6320178508758545, 0.44931596517562866, 0.5693997740745544, 0.21387571096420288, 19.522647857666016, 0.07127099484205246, 7.629645347595215, 0.33208972215652466, -0.6624404788017273, -1.1955289840698242, 0.4545864760875702, 1.5753815174102783, 0.17670270800590515, 0.5430552959442139, 10.857498168945312, 10.691874504089355, 0.5134003162384033, -1.6676217317581177]"
2026/02/02 23:44:15.489688170,"{'dim': [], 'data_offset': 0}","[-0.7288046479225159, 0.39483708143234253, 0.302793025970459, 0.15562263131141663, 5.169624328613281, 1.946539282798767, 4.200712203979492, 0.0698896199464798, 3.8380908966064453, -2.0942492485046387, 1.278762936592102, 0.3725442588329315, 0.2898079752922058, 27.750001907348633, 0.5718048214912415, 1.8840686082839966, 0.8050732016563416, 1.30131196975708]"
2026/02/02 23:44:15.494792450,"{'dim': [], 'data_offset': 0}","[-1.9930737018585205, 0.4192461669445038, 0.36015257239341736, 0.2891030013561249, 3.7984306812286377, 0.924420177936554, 0.6512182354927063, 1.468242883682251, 0.13473939895629883, -0.7925125956535339, 0.3956577777862549, 0.5806221961975098, 0.12166308611631393, 3.0750620365142822, 1.7159451246261597, 3.2222611904144287, 1.129907250404358, 1.1999913454055786]"
2026/02/02 23:44:15.499749572,"{'dim': [], 'data_offset': 0}","[-0.8167575001716614, 0.4302535653114319, 0.27321407198905945, 0.11145060509443283, 3.6602542400360107, 0.5269395112991333, 1.7668864727020264, 0.48527011275291443, 0.5527598857879639, -1.04216468334198, 0.44547581672668457, 0.34953346848487854, 0.20004728436470032, 1.627632975578308, 0.31049299240112305, 0.551531970500946, 1.4528148174285889, 0.688060998916626]"
2026/02/02 23:44:15.505194127,"{'dim': [], 'data_offset': 0}","[-0.7291693091392517, 0.42208272218704224, 0.28102484345436096, 0.12729431688785553, 2.6732287406921387, 0.46685653924942017, 0.6491591334342957, 0.5061177611351013, 0.38363775610923767, -0.7390950322151184, 0.4435579776763916, 0.3041379451751709, 0.09932118654251099, 1.478718638420105, 0.2171589434146881, 0.7733753323554993, 0.9054219722747803, 0.8581224083900452]"
2026/02/02 23:44:15.510126073,"{'dim': [], 'data_offset': 0}","[-0.7396602630615234, 0.4230104088783264, 0.273147314786911, 0.0992741584777832, 0.5840686559677124, 0.2546784281730652, 0.6184291243553162, 0.44779831171035767, 0.3567490577697754, -0.7496396899223328, 0.4361514449119568, 0.2958498001098633, 0.084886834025383, 1.2634588479995728, 0.18451516330242157, 0.6175438165664673, 0.902504026889801, 0.5312795639038086]"
2026/02/02 23:44:15.515125161,"{'dim': [], 'data_offset': 0}","[-0.7586431503295898, 0.4422469735145569, 0.2703498303890228, 0.08480939269065857, -0.4039381146430969, 0.352596640586853, 0.5759239792823792, 0.4556201696395874, 0.32190418243408203, -0.8131639361381531, 0.4233554005622864, 0.28754571080207825, 0.069330595433712, 0.9934043288230896, 0.16805610060691833, 0.5750169157981873, 0.6409276723861694, 0.4917486608028412]"
2026/02/02 23:44:15.520703498,"{'dim': [], 'data_offset': 0}","[-0.786979079246521, 0.45644545555114746, 0.2704916298389435, 0.07289353758096695, -0.33641090989112854, 0.6405269503593445, 0.5601881146430969, 0.4455670118331909, 0.31059694290161133, -0.8972935080528259, 0.4191044270992279, 0.2843126356601715, 0.05866948515176773, 0.6373245120048523, 0.17030669748783112, 0.5580845475196838, 0.5550970435142517, 0.3933192491531372]"
2026/02/02 23:44:15.526049577,"{'dim': [], 'data_offset': 0}","[-0.8330623507499695, 0.4506494700908661, 0.2714405357837677, 0.06308185309171677, -0.2347940057516098, 0.6036397218704224, 0.5592988133430481, 0.40834322571754456, 0.3057309687137604, -0.9828850030899048, 0.41894248127937317, 0.28370875120162964, 0.05108777806162834, 0.3067869544029236, 0.1872314065694809, 0.5587736964225769, 0.4878860414028168, 0.35804033279418945]"
2026/02/02 23:44:15.531195722,"{'dim': [], 'data_offset': 0}","[-0.893824577331543, 0.4422006905078888, 0.2718285918235779, 0.055195823311805725, -0.21576812863349915, 0.3191736936569214, 0.5684754848480225, 0.3774253726005554, 0.296804815530777, -1.0713417530059814, 0.4191683232784271, 0.2829943597316742, 0.045373186469078064, 0.09668491035699844, 0.20371948182582855, 0.5697882175445557, 0.45193883776664734, 0.3365441560745239]"
2026/02/02 23:44:15.536504453,"{'dim': [], 'data_offset': 0}","[-0.9618363976478577, 0.4381849467754364, 0.27161845564842224, 0.04885009303689003, -0.24141930043697357, 0.07972412556409836, 0.5848846435546875, 0.3564416170120239, 0.2889702022075653, -1.1688482761383057, 0.41990867257118225, 0.28158068656921387, 0.0409947969019413, -0.005958988796919584, 0.19547490775585175, 0.5862659215927124, 0.42789846658706665, 0.32499751448631287]"
2026/02/02 23:44:15.541288451,"{'dim': [], 'data_offset': 0}","[-1.0320926904678345, 0.43756571412086487, 0.2710287570953369, 0.04360375553369522, -0.26858702301979065, -0.02101908251643181, 0.6067001223564148, 0.3442618250846863, 0.2834998667240143, -1.2762465476989746, 0.4215046167373657, 0.2795923054218292, 0.03773414343595505, -0.05454344302415848, 0.15822117030620575, 0.6046412587165833, 0.4129229187965393, 0.3184055984020233]"
2026/02/02 23:44:15.546618713,"{'dim': [], 'data_offset': 0}","[-1.1023882627487183, 0.4381745755672455, 0.2701721489429474, 0.039116933941841125, -0.27274206280708313, -0.05632366985082626, 0.6325010061264038, 0.3372582197189331, 0.28039219975471497, -1.3881350755691528, 0.42343220114707947, 0.277080237865448, 0.03546220064163208, -0.08186165243387222, 0.10915892571210861, 0.6221711039543152, 0.4050775468349457, 0.3150859773159027]"
2026/02/02 23:44:15.552501406,"{'dim': [], 'data_offset': 0}","[-1.1708629131317139, 0.43932023644447327, 0.2689574956893921, 0.03517303615808487, -0.2639041244983673, -0.07166850566864014, 0.6605491638183594, 0.33301594853401184, 0.27892279624938965, -1.4942086935043335, 0.42493388056755066, 0.27388834953308105, 0.03405788168311119, -0.10013163834810257, 0.06530845910310745, 0.6370818018913269, 0.4023602306842804, 0.31391477584838867]"
2026/02/02 23:44:15.557477589,"{'dim': [], 'data_offset': 0}","[-1.2347979545593262, 0.44087693095207214, 0.26727479696273804, 0.031653739511966705, -0.2535623013973236, -0.07995273172855377, 0.6883904933929443, 0.3307054042816162, 0.2782427668571472, -1.5788650512695312, 0.42535504698753357, 0.26993057131767273, 0.03338419646024704, -0.11280593276023865, 0.032700639218091965, 0.6485680937767029, 0.4030531644821167, 0.31380417943000793]"
2026/02/02 23:44:15.562215413,"{'dim': [], 'data_offset': 0}","[-1.2915316820144653, 0.44261544942855835, 0.26508527994155884, 0.02853207476437092, -0.2454676777124405, -0.08524524420499802, 0.71221524477005, 0.3298461437225342, 0.2777544856071472, -1.6193528175354004, 0.42425665259361267, 0.26518893241882324, 0.03325282037258148, -0.12121126800775528, 0.009947912767529488, 0.6571405529975891, 0.4057648181915283, 0.31390735507011414]"
2026/02/02 23:44:15.567861851,"{'dim': [], 'data_offset': 0}","[-1.3397762775421143, 0.4442789852619171, 0.26240313053131104, 0.025903524830937386, -0.2401065230369568, -0.08911048620939255, 0.7261236906051636, 0.32995620369911194, 0.27701571583747864, -1.586746096611023, 0.42134207487106323, 0.25964486598968506, 0.033362168818712234, -0.12652641534805298, -0.0059738764539361, 0.6652203798294067, 0.4093753397464752, 0.3136116862297058]"
2026/02/02 23:44:15.572716226,"{'dim': [], 'data_offset': 0}","[-1.3795158863067627, 0.44571492075920105, 0.2592884600162506, 0.024038691073656082, -0.236996129155159, -0.09216810017824173, 0.7222447395324707, 0.3305808901786804, 0.27565985918045044, -1.4546546936035156, 0.4163340628147125, 0.2532680034637451, 0.033247560262680054, -0.12979798018932343, -0.017404943704605103, 0.6774919629096985, 0.4128774404525757, 0.31249022483825684]"
2026/02/02 23:44:15.578282905,"{'dim': [], 'data_offset': 0}","[-1.4079591035842896, 0.4468998312950134, 0.2558204233646393, 0.02341347001492977, -0.23540517687797546, -0.09465422481298447, 0.6933249235153198, 0.3313096761703491, 0.27339208126068115, -1.217645525932312, 0.40895912051200867, 0.24604813754558563, 0.03232245892286301, -0.13176746666431427, -0.025812508538365364, 0.7000862956047058, 0.4152890741825104, 0.3102606534957886]"
2026/02/02 23:44:15.582918819,"{'dim': [], 'data_offset': 0}","[-1.4094423055648804, 0.4478050470352173, 0.25200769305229187, 0.02463740110397339, -0.23459717631340027, -0.09664692729711533, 0.6384915113449097, 0.33171546459198, 0.27002549171447754, -0.9093848466873169, 0.3990724980831146, 0.23807814717292786, 0.03003840334713459, -0.13291455805301666, -0.03208237513899803, 0.7369283437728882, 0.41576051712036133, 0.30674147605895996]"
2026/02/02 23:44:15.588193973,"{'dim': [], 'data_offset': 0}","[-1.3441356420516968, 0.44809380173683167, 0.2476346492767334, 0.028164399787783623, -0.23396454751491547, -0.09815634042024612, 0.5684537291526794, 0.33121636509895325, 0.2655273675918579, -0.596712052822113, 0.38686463236808777, 0.22964739799499512, 0.02598387375473976, -0.13356393575668335, -0.03677476942539215, 0.7818463444709778, 0.4138416051864624, 0.3017994463443756]"
2026/02/02 23:44:15.592988382,"{'dim': [], 'data_offset': 0}","[-1.1564277410507202, 0.446828156709671, 0.24216392636299133, 0.03363983333110809, -0.2331325262784958, -0.09916266798973083, 0.5026634335517883, 0.32897379994392395, 0.26001742482185364, -0.3409035801887512, 0.3729752004146576, 0.22122249007225037, 0.01989121362566948, -0.1339135766029358, -0.0402812696993351, 0.8105747699737549, 0.4096613824367523, 0.2953117787837982]"
2026/02/02 23:44:15.598132648,"{'dim': [], 'data_offset': 0}","[-0.8263691663742065, 0.4425475299358368, 0.23494234681129456, 0.03920706734061241, -0.23198257386684418, -0.09963878244161606, 0.4580270051956177, 0.32407712936401367, 0.25367122888565063, -0.16110272705554962, 0.35828903317451477, 0.21322917938232422, 0.012200718745589256, -0.13400597870349884, -0.04289978742599487, 0.7872958183288574, 0.4037129878997803, 0.28720957040786743]"
2026/02/02 23:44:15.603765216,"{'dim': [], 'data_offset': 0}","[-0.428276926279068, 0.43390944600105286, 0.22577182948589325, 0.04240657389163971, -0.23052716255187988, -0.09957040846347809, 0.44033384323120117, 0.3161235451698303, 0.2465742826461792, -0.03747328743338585, 0.3433785140514374, 0.20572559535503387, 0.004757448099553585, -0.13376186788082123, -0.04485616087913513, 0.6943737864494324, 0.39624300599098206, 0.2776452302932739]"
