time,layout,data
2026/02/02 23:44:15.361168258,"{'dim': [], 'data_offset': 0}","[0.005326257087290287, -0.12832003831863403, 0.05248800665140152, 0.005856005009263754, -0.045746468007564545, -0.0022521677892655134, 0.004712104331701994, 0.02040523663163185, -0.009308802895247936, 0.005030201748013496, -0.13286463916301727, 0.06168890371918678, 0.005610550753772259, -0.04656324163079262, -0.002279328415170312, 0.0049390411004424095, 0.018220972269773483, -0.01285118330270052]"
2026/02/02 23:44:15.365994146,"{'dim': [], 'data_offset': 0}","[-0.0011216740822419524, 0.018623095005750656, -0.040661197155714035, -0.0018049947684630752, 0.010103482753038406, -0.03381355106830597, -0.0015729132574051619, -0.016774127259850502, 0.023428933694958687, -0.0013033861760050058, 0.017004474997520447, -0.03813449665904045, -0.0019765053875744343, 0.012282547540962696, -0.03336428105831146, -0.00143064942676574, -0.016573430970311165, 0.02672923542559147]"
2026/02/02 23:44:15.371004775,"{'dim': [], 'data_offset': 0}","[-0.0044063604436814785, 0.13282909989356995, -0.05328637734055519, -0.005833694711327553, 0.08626829832792282, -0.03769897297024727, -0.004816361237317324, 0.013251199387013912, 0.0016658140812069178, -0.0046387058682739735, 0.13481983542442322, -0.05752704665064812, -0.006100187543779612, 0.08873992413282394, -0.036691490560770035, -0.004861668683588505, 0.014036541804671288, 0.008362086489796638]"
2026/02/02 23:44:15.376444068,"{'dim': [], 'data_offset': 0}","[2.0703309928649105e-06, 0.013766506686806679, -0.01023793313652277, -0.0005468514282256365, -0.022212227806448936, 0.040939811617136, 0.00016037750174291432, -0.01280697900801897, -0.0039017959497869015, 1.539511140435934e-05, 0.014904143288731575, -0.007705166470259428, -0.0005369040882214904, -0.020580977201461792, 0.04208589717745781, 0.00034834182588383555, -0.013295850716531277, 0.001157171092927456]"
2026/02/02 23:44:15.381264677,"{'dim': [], 'data_offset': 0}","[1.2265074253082275, 6.363369941711426, -12.365922927856445, 0.1183970645070076, 4.304913520812988, -10.375313758850098, -1.3374453783035278, 9.352279663085938, -14.218757629394531, 1.3556571006774902, 6.208041191101074, -11.82763957977295, 0.09642674773931503, 4.344693660736084, -10.349920272827148, -1.3778332471847534, 9.357457160949707, -14.217423439025879]"
2026/02/02 23:44:15.386662232,"{'dim': [], 'data_offset': 0}","[2.521815299987793, 11.325921058654785, -19.24880599975586, 0.018495583906769753, 6.289024829864502, -13.505614280700684, -2.9193060398101807, 12.948771476745605, -19.459009170532227, 2.6115660667419434, 11.310295104980469, -18.80182647705078, 0.009997834451496601, 6.295596599578857, -13.403637886047363, -2.9463846683502197, 12.972384452819824, -19.45125961303711]"
2026/02/02 23:44:15.391362797,"{'dim': [], 'data_offset': 0}","[3.8010611534118652, 12.949179649353027, -21.329715728759766, 0.0016639329260215163, 4.417443752288818, -10.12283992767334, -4.3239665031433105, 14.5484619140625, -21.344127655029297, 3.8475606441497803, 12.992013931274414, -21.0484676361084, -0.006305103190243244, 4.33186149597168, -9.93304443359375, -4.346484661102295, 14.529678344726562, -21.34261703491211]"
2026/02/02 23:44:15.396694161,"{'dim': [], 'data_offset': 0}","[4.991751670837402, 13.691710472106934, -21.937204360961914, -0.03106147237122059, 3.795161247253418, -9.469389915466309, -5.669899940490723, 13.164831161499023, -19.700332641601562, 5.045290470123291, 13.646407127380371, -21.809677124023438, 0.008175130933523178, 3.6856017112731934, -9.51986312866211, -5.64292049407959, 12.398635864257812, -19.09307098388672]"
2026/02/02 23:44:15.401888153,"{'dim': [], 'data_offset': 0}","[6.20578145980835, 4.08966064453125, -12.282176971435547, -0.024977868422865868, 1.2898921966552734, -8.8906831741333, -6.875085353851318, 2.839043378829956, -10.11702823638916, 6.1739091873168945, 4.239917278289795, -12.201465606689453, -0.026159590110182762, 1.435895562171936, -9.149982452392578, -6.89095401763916, 2.568300724029541, -9.961908340454102]"
2026/02/02 23:44:15.407078270,"{'dim': [], 'data_offset': 0}","[7.296749591827393, 2.3520965576171875, -12.315071105957031, 0.02045452781021595, 4.061769962310791, -12.564045906066895, -7.997004508972168, 2.5201399326324463, -11.868797302246094, 7.205600738525391, 2.321061372756958, -11.883170127868652, -0.004686551168560982, 4.002249240875244, -12.529680252075195, -8.03685474395752, 2.73425030708313, -12.224923133850098]"
