time,layout,data
2026/02/02 23:42:00.7418869,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.26973497,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.48078531,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.67481462,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.86253343,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.105509262,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.130148329,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.144409476,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.166870683,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.186596090,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.204184522,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.224176871,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.245037310,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.267350990,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.285025185,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.304875040,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.324588925,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.345111701,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.364765437,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
2026/02/02 23:42:00.385005061,"{'dim': [], 'data_offset': 0}","[0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244, 0.5235987901687622, 0.0, -0.6981316804885864, 0.1745329201221466, 0.0, 0.1745329201221466, -1.0471975803375244, -1.0471975803375244, -1.0471975803375244]"
