time,layout,data
2026/02/02 23:41:59.981843984,"{'dim': [], 'data_offset': 0}","[0.0014730616239830852, -0.014423106797039509, -0.0030434897635132074, 9.66722745943116e-06, -0.015958502888679504, -0.006048313807696104, 0.00012130206596339121, -0.014543110504746437, -0.004564006347209215, 0.0010213712230324745, -0.0141298221424222, -0.002884451299905777, 1.0683239452191629e-05, -0.015975527465343475, -0.006065604276955128, 0.00013196261716075242, -0.014269644394516945, -0.0043952008709311485]"
2026/02/02 23:41:59.986889015,"{'dim': [], 'data_offset': 0}","[0.0014707385562360287, -0.014423111453652382, -0.0030434962827712297, 9.671034604252782e-06, -0.015958502888679504, -0.006048313807696104, 0.00012014189996989444, -0.014543116092681885, -0.004564009141176939, 0.0010200964752584696, -0.0141298184171319, -0.0028844454791396856, 1.068317851604661e-05, -0.015975527465343475, -0.006065604276955128, 0.00013141230738256127, -0.014269639737904072, -0.004395198542624712]"
2026/02/02 23:41:59.992588041,"{'dim': [], 'data_offset': 0}","[0.0014684200286865234, -0.01442311704158783, -0.0030435025691986084, 9.674829016148578e-06, -0.015958502888679504, -0.006048313807696104, 0.00011898552475031465, -0.014543122611939907, -0.0045640114694833755, 0.0010188230080530047, -0.014129815623164177, -0.002884439891204238, 1.0683120308385696e-05, -0.015975527465343475, -0.006065604276955128, 0.0001308628125116229, -0.014269634149968624, -0.0043951962143182755]"
2026/02/02 23:41:59.997417507,"{'dim': [], 'data_offset': 0}","[0.0014661061577498913, -0.014423121698200703, -0.0030435090884566307, 9.678613423602656e-06, -0.015958502888679504, -0.006048313807696104, 0.00011783294030465186, -0.014543128199875355, -0.004564014263451099, 0.00101755082141608, -0.014129811897873878, -0.0028844340704381466, 1.068306573870359e-05, -0.015975527465343475, -0.006065604276955128, 0.0001303141616517678, -0.014269628562033176, -0.004395194351673126]"
2026/02/02 23:42:00.2502345,"{'dim': [], 'data_offset': 0}","[0.0014637969434261322, -0.01442312728613615, -0.0030435153748840094, 9.682386917120311e-06, -0.015958502888679504, -0.006048313807696104, 0.00011668413935694844, -0.014543133787810802, -0.004564016591757536, 0.0010162799153476954, -0.01412980817258358, -0.002884428482502699, 1.068301480700029e-05, -0.015975527465343475, -0.006065604276955128, 0.0001297663402510807, -0.014269623905420303, -0.00439519202336669]"
2026/02/02 23:42:00.7647574,"{'dim': [], 'data_offset': 0}","[0.0014614923857152462, -0.014423131942749023, -0.0030435218941420317, 9.686148587206844e-06, -0.015958502888679504, -0.006048313807696104, 0.00011553909280337393, -0.014543140307068825, -0.00456401938572526, 0.0010150104062631726, -0.014129805378615856, -0.0028844226617366076, 1.0682967513275798e-05, -0.015975527465343475, -0.006065604276955128, 0.0001292193483095616, -0.014269618317484856, -0.004395189695060253]"
2026/02/02 23:42:00.12997435,"{'dim': [], 'data_offset': 0}","[0.0014591923682019114, -0.014423136599361897, -0.0030435281805694103, 9.689900252851658e-06, -0.015958502888679504, -0.006048313342034817, 0.00011439780791988596, -0.014543145895004272, -0.004564021714031696, 0.00101374217774719, -0.014129801653325558, -0.00288441707380116, 1.0682923857530113e-05, -0.015975527465343475, -0.006065604276955128, 0.00012867318582721055, -0.014269613660871983, -0.004395187832415104]"
2026/02/02 23:42:00.17642624,"{'dim': [], 'data_offset': 0}","[0.0073430705815553665, 0.01957796700298786, -0.06586753576993942, 8.660267485538498e-05, 0.0012823442230001092, -0.05802420526742935, -0.0070167784579098225, 0.026339707896113396, -0.0723814144730568, 0.007479965221136808, 0.019226517528295517, -0.06302135437726974, -0.00013668830797541887, 0.001639822730794549, -0.05787840113043785, -0.007230615243315697, 0.02697751112282276, -0.07212421298027039]"
2026/02/02 23:42:00.23356601,"{'dim': [], 'data_offset': 0}","[0.019830292090773582, 0.07959190756082535, -0.1623939722776413, 0.00014259763702284545, 0.031025169417262077, -0.13259361684322357, -0.021513812243938446, 0.09430298209190369, -0.17236970365047455, 0.020345885306596756, 0.07891234010457993, -0.15740282833576202, -0.00018825790903065354, 0.035019755363464355, -0.13022570312023163, -0.021869532763957977, 0.09495238959789276, -0.17207962274551392]"
2026/02/02 23:42:00.27972612,"{'dim': [], 'data_offset': 0}","[0.03830002620816231, 0.14431780576705933, -0.26819124817848206, 0.00010246751480735838, 0.05695477873086929, -0.19222399592399597, -0.04295635223388672, 0.16647124290466309, -0.27945077419281006, 0.039371758699417114, 0.14152845740318298, -0.26168951392173767, 7.890633423812687e-05, 0.05673987790942192, -0.18228161334991455, -0.04298072308301926, 0.16472327709197998, -0.2795588970184326]"
2026/02/02 23:42:00.32870836,"{'dim': [], 'data_offset': 0}","[0.06317851692438126, 0.2043122947216034, -0.37831488251686096, 0.0007043282967060804, 0.07453758269548416, -0.23815545439720154, -0.07009963691234589, 0.23083701729774475, -0.38550224900245667, 0.06350047141313553, 0.20467552542686462, -0.3701721727848053, -4.4341592001728714e-05, 0.07865671813488007, -0.23199866712093353, -0.07088309526443481, 0.23418352007865906, -0.38889333605766296]"
2026/02/02 23:42:00.38321613,"{'dim': [], 'data_offset': 0}","[0.09320598840713501, 0.21246792376041412, -0.44197314977645874, 0.0008130763308145106, 0.08505624532699585, -0.2847018837928772, -0.10371018946170807, 0.2383812516927719, -0.4404318928718567, 0.09366550296545029, 0.21167032420635223, -0.4316100478172302, 0.00044788315426558256, 0.08342915773391724, -0.2723020613193512, -0.10397709906101227, 0.24043938517570496, -0.4445207715034485]"
2026/02/02 23:42:00.43845524,"{'dim': [], 'data_offset': 0}","[0.12889395654201508, 0.2151067703962326, -0.5178258419036865, 0.0011746279196813703, 0.10716664791107178, -0.34307989478111267, -0.14221236109733582, 0.24566341936588287, -0.5107616186141968, 0.1285252422094345, 0.2165406048297882, -0.5047752261161804, 0.0005643584299832582, 0.10881220549345016, -0.3339080810546875, -0.14269235730171204, 0.24879847466945648, -0.515719473361969]"
2026/02/02 23:42:00.48701736,"{'dim': [], 'data_offset': 0}","[0.15362334251403809, 0.22738850116729736, -0.585279107093811, 0.00293481582775712, 0.11578074842691422, -0.3878425061702728, -0.18458057940006256, 0.24665898084640503, -0.586146891117096, 0.15377961099147797, 0.23006033897399902, -0.5738664865493774, 0.00016809040971565992, 0.10366430133581161, -0.3810666501522064, -0.18715038895606995, 0.25160908699035645, -0.5906285047531128]"
2026/02/02 23:42:00.53689027,"{'dim': [], 'data_offset': 0}","[0.17136314511299133, 0.2431151419878006, -0.6438573598861694, 0.004015667364001274, 0.13345196843147278, -0.44316279888153076, -0.2139669805765152, 0.26307979226112366, -0.6540526747703552, 0.17141909897327423, 0.2480469048023224, -0.6337422728538513, 5.7953231589635834e-05, 0.11830416321754456, -0.44153672456741333, -0.21749624609947205, 0.26992979645729065, -0.6582279205322266]"
2026/02/02 23:42:00.59300967,"{'dim': [], 'data_offset': 0}","[0.18382352590560913, 0.2550402283668518, -0.6940579414367676, 0.004117574077099562, 0.1217450201511383, -0.48929399251937866, -0.2327747344970703, 0.2735482156276703, -0.7072728276252747, 0.18318656086921692, 0.25894787907600403, -0.6833455562591553, 0.00028537653270177543, 0.12283021211624146, -0.4919300973415375, -0.2350759506225586, 0.2789342999458313, -0.7095280885696411]"
2026/02/02 23:42:00.64445901,"{'dim': [], 'data_offset': 0}","[0.1964064985513687, 0.269141286611557, -0.7425172328948975, 0.0041196211241185665, 0.12162122875452042, -0.5405017137527466, -0.24924054741859436, 0.2883872091770172, -0.7573277950286865, 0.19485735893249512, 0.27491214871406555, -0.7311387658119202, 0.00033316054032184184, 0.14079715311527252, -0.5520069003105164, -0.25099310278892517, 0.2959713041782379, -0.7590779662132263]"
2026/02/02 23:42:00.69256778,"{'dim': [], 'data_offset': 0}","[0.20751948654651642, 0.28558382391929626, -0.7877256274223328, 0.003286203136667609, 0.13651880621910095, -0.6039074063301086, -0.2626717984676361, 0.30328983068466187, -0.80245041847229, 0.2060786783695221, 0.27858519554138184, -0.7737412452697754, 0.0006965945358388126, 0.12200785428285599, -0.6011378169059753, -0.2622784674167633, 0.29760196805000305, -0.7958338260650635]"
2026/02/02 23:42:00.74431518,"{'dim': [], 'data_offset': 0}","[0.22688977420330048, 0.28119292855262756, -0.8351715803146362, 0.0037973178550601006, 0.12299694865942001, -0.6622855067253113, -0.27377986907958984, 0.30677124857902527, -0.8376985788345337, 0.22344720363616943, 0.28882715106010437, -0.8331103324890137, 0.00040614657336845994, 0.10616452991962433, -0.6394848823547363, -0.27911704778671265, 0.31577110290527344, -0.8432021141052246]"
2026/02/02 23:42:00.79944399,"{'dim': [], 'data_offset': 0}","[0.25083449482917786, 0.28491395711898804, -0.8995220065116882, 0.002032558200880885, 0.11809641867876053, -0.7141029238700867, -0.2949751615524292, 0.3210752308368683, -0.8949164152145386, 0.2495369166135788, 0.28640878200531006, -0.8973746299743652, 0.0018518868600949645, 0.09579240530729294, -0.6803050637245178, -0.3014283776283264, 0.30594465136528015, -0.883297860622406]"
2026/02/02 23:42:00.84787350,"{'dim': [], 'data_offset': 0}","[0.2756451964378357, 0.2955355942249298, -0.9582509398460388, 0.004892746452242136, 0.12636145949363708, -0.7736968994140625, -0.31873974204063416, 0.3150063753128052, -0.9473665952682495, 0.27692312002182007, 0.2839231789112091, -0.9686295986175537, -0.0015680291689932346, 0.10508676618337631, -0.7338317632675171, -0.3356179893016815, 0.30089396238327026, -0.9403643608093262]"
2026/02/02 23:42:00.90309341,"{'dim': [], 'data_offset': 0}","[0.29457101225852966, 0.30387282371520996, -1.0063955783843994, 0.005083286669105291, 0.12948700785636902, -0.84444260597229, -0.352444052696228, 0.3078804016113281, -1.013385534286499, 0.2997918725013733, 0.2926473915576935, -1.027841567993164, -0.0017800923669710755, 0.11403908580541611, -0.8020453453063965, -0.37360236048698425, 0.29835188388824463, -1.009918212890625]"
2026/02/02 23:42:00.95131074,"{'dim': [], 'data_offset': 0}","[0.31710800528526306, 0.3065831959247589, -1.0634362697601318, 0.0021445248275995255, 0.13200736045837402, -0.9242279529571533, -0.38311126828193665, 0.3141862452030182, -1.0683553218841553, 0.32219526171684265, 0.30217188596725464, -1.0778114795684814, 0.0020122085697948933, 0.11520066857337952, -0.8769373297691345, -0.40126878023147583, 0.3079952895641327, -1.0692254304885864]"
2026/02/02 23:42:00.100593533,"{'dim': [], 'data_offset': 0}","[0.3489822745323181, 0.2661508321762085, -1.050715446472168, 0.0007749721989966929, 0.12429903447628021, -1.0047119855880737, -0.4058168828487396, 0.30603790283203125, -1.080845594406128, 0.3361978232860565, 0.2894478440284729, -1.0895549058914185, 0.001277889939956367, 0.10185162723064423, -0.9560357928276062, -0.4255330264568329, 0.29410743713378906, -1.0833631753921509]"
2026/02/02 23:42:00.105512083,"{'dim': [], 'data_offset': 0}","[0.3694814145565033, 0.22582650184631348, -1.0339407920837402, 0.0008294166764244437, 0.11805491894483566, -1.0709004402160645, -0.4352347254753113, 0.27768674492836, -1.0761418342590332, 0.3566884398460388, 0.25791600346565247, -1.0805546045303345, 0.0003270793240517378, 0.07717476040124893, -1.0326801538467407, -0.45796892046928406, 0.2550922930240631, -1.0710134506225586]"
2026/02/02 23:42:00.110995459,"{'dim': [], 'data_offset': 0}","[0.3841147720813751, 0.18728208541870117, -1.0118905305862427, 0.0021596597507596016, 0.05629735812544823, -1.0440207719802856, -0.46978896856307983, 0.22591720521450043, -1.0499619245529175, 0.38399651646614075, 0.20279064774513245, -1.055219292640686, -0.00037262082332745194, 0.039274267852306366, -1.0812625885009766, -0.49849310517311096, 0.191596120595932, -1.0428237915039062]"
2026/02/02 23:42:00.115712335,"{'dim': [], 'data_offset': 0}","[0.4010678827762604, 0.16278590261936188, -1.0029382705688477, 0.0050147282890975475, -0.008091326802968979, -1.0119922161102295, -0.5108538269996643, 0.16270548105239868, -1.0190554857254028, 0.41684556007385254, 0.1381049007177353, -1.0222047567367554, -0.0010889668483287096, -0.06478283554315567, -1.0333976745605469, -0.5449987053871155, 0.12282003462314606, -1.0159194469451904]"
2026/02/02 23:42:00.121016733,"{'dim': [], 'data_offset': 0}","[0.4189249277114868, 0.1631249040365219, -1.0102949142456055, 0.0053656818345189095, 0.010428438894450665, -1.0673083066940308, -0.5603857636451721, 0.16860291361808777, -1.068153977394104, 0.4529944062232971, 0.15298253297805786, -1.051004409790039, 0.0006872765952721238, -0.055235862731933594, -1.0877716541290283, -0.5946083664894104, 0.1341022104024887, -1.0656464099884033]"
2026/02/02 23:42:00.126861401,"{'dim': [], 'data_offset': 0}","[0.4421845078468323, 0.15518608689308167, -1.012628197669983, 0.005263832397758961, -0.024657562375068665, -1.0347524881362915, -0.6168131828308105, 0.13047656416893005, -1.0484102964401245, 0.49389928579330444, 0.15034712851047516, -1.0581841468811035, 0.0026696028653532267, -0.07055828720331192, -1.0957096815109253, -0.6499527096748352, 0.10195821523666382, -1.0489416122436523]"
