time,layout,data
2026/02/02 23:41:59.981936641,"{'dim': [], 'data_offset': 0}","[-7.432422190721544e-13, 7.589071281209468e-20, 3.3414629697152984e-20, 2.1514363654377468e-23, -3.01253561307623e-26, -5.458269196110121e-27, -7.651789019568443e-15, 1.2302919621851725e-19, 3.1078734655201456e-21, -8.489729915166916e-14, -2.3284460543532896e-20, -2.2134072031321844e-20, -1.1862314102622463e-28, 2.5383708903961148e-26, 4.887437427289344e-27, -8.8370020944755095e-16, -8.454882520838429e-20, -1.8187972991807813e-21]"
2026/02/02 23:41:59.987139921,"{'dim': [], 'data_offset': 0}","[-7.376165108395616e-13, 7.513070185022037e-20, 3.3053394107537395e-20, 2.1334626430288292e-23, -2.9789144229254687e-26, -5.3970758536151276e-27, -7.504435779932296e-15, 1.216474427040357e-19, 3.0734455056452854e-21, -8.453059487188025e-14, -2.3004939735562462e-20, -2.1877217910839924e-20, -9.985379214167331e-29, 2.5092306458911626e-26, 4.831570051462559e-27, -8.760525077854695e-16, -8.356952737365247e-20, -1.7976609766048475e-21]"
2026/02/02 23:41:59.992769389,"{'dim': [], 'data_offset': 0}","[-7.320359596274528e-13, 7.437847801833143e-20, 3.2696100550528504e-20, 2.1156414863189813e-23, -2.945669790597434e-26, -5.3365696829242915e-27, -7.359445762218988e-15, 1.2028118590134245e-19, 3.039398622385632e-21, -8.416506288569034e-14, -2.2728738959152178e-20, -2.1623333239510098e-20, -8.326543854851901e-29, 2.4804236643037872e-26, 4.776339773261377e-27, -8.684518693915198e-16, -8.260157096060057e-20, -1.776770425221657e-21]"
2026/02/02 23:41:59.997681212,"{'dim': [], 'data_offset': 0}","[-7.265000775448505e-13, 7.363397023059395e-20, 3.234270702086083e-20, 2.0979716331307548e-23, -2.9127946286699305e-26, -5.276744521061791e-27, -7.216784238077683e-15, 1.189302448646785e-19, 3.005728574824959e-21, -8.380070319309943e-14, -2.245581944021083e-20, -2.1372382474415422e-20, -6.8701893346803e-29, 2.4519479426668464e-26, 4.7217385037800325e-27, -8.608980825074652e-16, -8.164481379756082e-20, -1.7561228177537258e-21]"
2026/02/02 23:42:00.2672837,"{'dim': [], 'data_offset': 0}","[-7.210085393311028e-13, 7.289708801412845e-20, 3.1993168282094623e-20, 2.0804516635145203e-23, -2.880288320845376e-26, -5.217589197633948e-27, -7.076417749706963e-15, 1.1759443864828486e-19, 2.9724309200986485e-21, -8.343751579410752e-14, -2.218614078906007e-20, -2.112433491940035e-20, -5.601144140515618e-29, 2.423797318004518e-26, 4.667762005972647e-27, -8.533911471333055e-16, -8.06991266375625e-20, -1.7357153269235693e-21]"
2026/02/02 23:42:00.7768521,"{'dim': [], 'data_offset': 0}","[-7.15561019725558e-13, 7.21677538207525e-20, 3.164744556013867e-20, 2.0630806308371915e-23, -2.8481477856358597e-26, -5.1590956237349966e-27, -6.938312415788938e-15, 1.1627362508049374e-19, 2.939502023135649e-21, -8.307550746497819e-14, -2.1919667462782953e-20, -2.0879153415960804e-20, -4.504680024034707e-29, 2.3959668599361448e-26, 4.614403346491421e-27, -8.459309044503633e-16, -7.976439315833197e-20, -1.7155449235053115e-21]"
2026/02/02 23:42:00.13161258,"{'dim': [], 'data_offset': 0}","[0.0001367066870443523, 3.8598749196872006e-11, 1.1409722056043847e-08, 2.045856799604777e-23, -2.816362237833693e-26, 2.136665817149483e-13, 8.731101115699857e-05, 5.275463399456726e-11, 1.778767910742829e-09, 4.1641884308774024e-05, 1.7622237002967722e-11, 8.960837405425082e-09, -3.566497858180153e-29, 2.3684585714288686e-26, 1.9793369688495682e-13, 1.999596497626044e-05, 4.146987267472646e-11, 1.2739455046428816e-09]"
2026/02/02 23:42:00.17843579,"{'dim': [], 'data_offset': 0}","[-9.811969757080078, -272.8876647949219, -56598.51171875, 1.5761110194745243e-09, 0.26287174224853516, -32735.923828125, -33.967430114746094, -449.5303955078125, -69947.8671875, -13.015785217285156, -258.365478515625, -50025.765625, 1.749965505837281e-08, 0.3585391044616699, -32441.44140625, -37.30463790893555, -459.27630615234375, -69723.5546875]"
2026/02/02 23:42:00.23599900,"{'dim': [], 'data_offset': 0}","[-89.02386474609375, -857.8576049804688, -156428.203125, 1.0014264972824094e-09, 32.80998229980469, -78616.6640625, -271.2142028808594, -1039.8638916015625, -168839.078125, -97.16045379638672, -850.4305419921875, -148380.078125, 1.0327488864092516e-09, 52.418479919433594, -72282.9765625, -278.9046630859375, -1031.4566650390625, -168817.28125]"
2026/02/02 23:42:00.28089229,"{'dim': [], 'data_offset': 0}","[-266.3324890136719, -329.2278137207031, -148863.328125, -2.6488519710987646e-10, 40.36132049560547, -33754.04296875, -812.9105834960938, -121.24544525146484, -148834.125, -289.7867736816406, -325.874267578125, -145579.953125, 6.018757403580821e-08, 23.630355834960938, -23134.4296875, -775.73583984375, -133.33523559570312, -150447.9375]"
