time,layout,data
2026/02/02 23:41:02.32521568,"{'dim': [], 'data_offset': 0}","[1.167893231013295e-07, 0.0015510567463934422, 5.467422306537628e-05, 1.4556060534687276e-07, 0.0020519173704087734, 4.616036676452495e-05, 2.0185621906421147e-05, 0.0015457025729119778, 3.594684585550567e-06, 7.659387080138913e-08, 0.0014652702957391739, 6.398696132237092e-05, 6.1805107698376105e-09, 0.0019526703981682658, 3.798033139901236e-05, 2.1724461475969292e-05, 0.001466223387978971, 6.384050266206032e-06]"
2026/02/02 23:41:02.37371811,"{'dim': [], 'data_offset': 0}","[1.178088595565896e-07, 0.0015510567463934422, 5.46741794096306e-05, 1.4323809693905787e-07, 0.0020519173704087734, 4.616038131644018e-05, 2.0129135009483434e-05, 0.0015457025729119778, 3.594689587771427e-06, 7.519577138737077e-08, 0.0014652700629085302, 6.398703408194706e-05, 5.6962869976473485e-09, 0.0019526699325069785, 3.798028774326667e-05, 2.1659461708622985e-05, 0.0014662229223176837, 6.384067546605365e-06]"
2026/02/02 23:41:02.42311273,"{'dim': [], 'data_offset': 0}","[1.1882915629257695e-07, 0.001551056862808764, 5.467413575388491e-05, 1.4094186440161138e-07, 0.002051917603239417, 4.616039586835541e-05, 2.007282273552846e-05, 0.0015457025729119778, 3.594694362618611e-06, 7.381504474324174e-08, 0.0014652697136625648, 6.39871068415232e-05, 5.233599331688765e-09, 0.0019526694668456912, 3.798024044954218e-05, 2.1594680220005102e-05, 0.0014662223402410746, 6.384084372257348e-06]"
2026/02/02 23:41:02.47562956,"{'dim': [], 'data_offset': 0}","[3.2467801570892334, 0.2186412215232849, 35.963871002197266, 1.38671722993422e-07, 0.002051917603239417, 35.16847610473633, 8.293875694274902, 0.21856138110160828, 35.654022216796875, 3.252171039581299, 0.21734720468521118, 35.99808883666992, 4.792209296056171e-09, 0.001952669001184404, 35.20357894897461, 8.290854454040527, 0.21736173331737518, 35.6894645690918]"
2026/02/02 23:41:02.52424297,"{'dim': [], 'data_offset': 0}","[3.134356737136841, 0.14446145296096802, 28.787059783935547, 1.5442580547642137e-08, 3.035498593817465e-05, 29.325782775878906, 8.010855674743652, 0.13020822405815125, 27.96776008605957, 3.128599166870117, 0.1447281539440155, 29.112041473388672, 1.0026912633520624e-07, 1.3167549695936032e-05, 29.372554779052734, 7.998581886291504, 0.12863022089004517, 28.006898880004883]"
2026/02/02 23:41:02.57904597,"{'dim': [], 'data_offset': 0}","[2.9044761657714844, 0.053719762712717056, 19.83025360107422, 1.1534114774391924e-09, 0.004225485026836395, 22.08339500427246, 7.455342769622803, 0.037865668535232544, 18.937734603881836, 2.892612934112549, 0.05415213480591774, 20.255096435546875, 1.799004678559868e-07, 0.005351715721189976, 22.287141799926758, 7.4376420974731445, 0.03703507408499718, 18.971202850341797]"
2026/02/02 23:41:02.62912823,"{'dim': [], 'data_offset': 0}","[2.5877041816711426, 0.007118230685591698, 12.642062187194824, 7.366030008171265e-10, 0.015234274789690971, 17.42681121826172, 6.689382076263428, 0.0010167926084250212, 11.943137168884277, 2.5694305896759033, 0.007819829508662224, 13.036823272705078, 6.948017716723598e-10, 0.014970777556300163, 18.06476402282715, 6.680675029754639, 0.0011411424493417144, 11.950067520141602]"
2026/02/02 23:41:02.67970638,"{'dim': [], 'data_offset': 0}","[2.20694637298584, 0.0024669384583830833, 7.484165191650391, 1.002252929538372e-06, 0.027793360874056816, 14.301241874694824, 5.802435874938965, 0.014843828976154327, 7.023381233215332, 2.197711229324341, 0.0026120629627257586, 7.813689708709717, 1.698958418394625e-09, 0.02999969571828842, 14.574772834777832, 5.7797746658325195, 0.0151840690523386, 7.019648551940918]"
2026/02/02 23:41:02.73283212,"{'dim': [], 'data_offset': 0}","[1.8043313026428223, 0.004230313003063202, 5.362700462341309, 1.567844833516574e-06, 0.03574050962924957, 11.70387077331543, 4.839350700378418, 0.01991536095738411, 5.223539352416992, 1.7963610887527466, 0.004243041388690472, 5.6860198974609375, 6.473599682976783e-07, 0.03454810753464699, 12.140897750854492, 4.830228328704834, 0.018926458433270454, 5.224369049072266]"
2026/02/02 23:41:02.78540403,"{'dim': [], 'data_offset': 0}","[1.403363585472107, 0.004920409061014652, 3.4671547412872314, 4.165988684690092e-06, 0.05968821048736572, 8.86854362487793, 3.892072916030884, 0.024763032793998718, 3.501809597015381, 1.4056527614593506, 0.00562644749879837, 3.7628324031829834, 9.227314876625314e-07, 0.060490142554044724, 9.107563018798828, 3.8791921138763428, 0.024453653022646904, 3.4760613441467285]"
2026/02/02 23:41:02.83461433,"{'dim': [], 'data_offset': 0}","[1.1744798421859741, 0.009577306918799877, 2.2771201133728027, 2.130856410076376e-05, 0.07094327360391617, 7.108286380767822, 3.012500286102295, 0.02547885663807392, 2.183466672897339, 1.1831271648406982, 0.01236740406602621, 2.4818172454833984, 1.6940994100878015e-06, 0.05418775603175163, 7.211627006530762, 2.9851717948913574, 0.026509515941143036, 2.166419267654419]"
2026/02/02 23:41:02.88454956,"{'dim': [], 'data_offset': 0}","[1.0267280340194702, 0.01871773786842823, 1.5305278301239014, 4.727749546873383e-05, 0.08419018238782883, 5.05990743637085, 2.5035738945007324, 0.03983667120337486, 1.376205563545227, 1.0454350709915161, 0.023525763303041458, 1.6682308912277222, 2.8193510388518916e-06, 0.07103226333856583, 5.237712383270264, 2.479576349258423, 0.042444657534360886, 1.3423349857330322]"
2026/02/02 23:41:02.94217914,"{'dim': [], 'data_offset': 0}","[0.9315708875656128, 0.03028142638504505, 1.0555065870285034, 4.71564126200974e-05, 0.10033465176820755, 3.620751142501831, 2.222583532333374, 0.05369434878230095, 0.924233615398407, 0.9569435715675354, 0.0318261943757534, 1.1610065698623657, 6.540777576446999e-06, 0.07719342410564423, 3.9244794845581055, 2.2200913429260254, 0.05109989643096924, 0.9063894152641296]"
2026/02/02 23:41:02.98970226,"{'dim': [], 'data_offset': 0}","[0.8488660454750061, 0.04075435549020767, 0.7310402393341064, 5.886554572498426e-05, 0.11202545464038849, 2.6053903102874756, 2.020841121673584, 0.0674937516450882, 0.6329786777496338, 0.8756266236305237, 0.04887543246150017, 0.7869837284088135, 5.043771579948952e-06, 0.10575301945209503, 2.724241018295288, 2.002189874649048, 0.07452913373708725, 0.5878497362136841]"
