time,layout,data
2026/02/02 23:41:02.32574573,"{'dim': [], 'data_offset': 0}","[0.0007641640258952975, -0.08813225477933884, 0.016534389927983284, -0.0008531137718819082, -0.10139327496290207, -0.015192514285445213, -0.0100463991984725, -0.0879797711968422, 0.00423951493576169, -0.0006188452243804932, -0.08565670251846313, 0.01788729429244995, -0.00017579122504685074, -0.09890591353178024, -0.013780742883682251, -0.010422316379845142, -0.08568459749221802, 0.005649819038808346]"
2026/02/02 23:41:02.37428920,"{'dim': [], 'data_offset': 0}","[0.0007674922817386687, -0.08813225477933884, 0.016534384340047836, -0.0008462804253213108, -0.10139327496290207, -0.015192516148090363, -0.010032333433628082, -0.0879797711968422, 0.004239517729729414, -0.0006131711415946484, -0.08565669506788254, 0.017887303605675697, -0.00016876443987712264, -0.09890589863061905, -0.01378073450177908, -0.01040671207010746, -0.08568458259105682, 0.005649826489388943]"
2026/02/02 23:41:02.42344013,"{'dim': [], 'data_offset': 0}","[0.0007708085468038917, -0.08813225477933884, 0.01653437688946724, -0.0008394697215408087, -0.10139327496290207, -0.015192518942058086, -0.010018290020525455, -0.0879797711968422, 0.004239520989358425, -0.000607515627052635, -0.08565668761730194, 0.017887314781546593, -0.00016176524513866752, -0.09890589118003845, -0.013780726119875908, -0.010391137562692165, -0.08568456768989563, 0.00564983393996954]"
2026/02/02 23:41:02.47625687,"{'dim': [], 'data_offset': 0}","[-6.202727317810059, -1.1379733085632324, 34.23486328125, -0.0008326816605404019, -0.10139327496290207, 33.68114471435547, 11.9142484664917, -1.137737512588501, 34.01953887939453, -6.209761142730713, -1.1341477632522583, 34.25861358642578, -0.00015479355351999402, -0.09890587627887726, 33.70564651489258, 11.911178588867188, -1.1341907978057861, 34.044193267822266]"
2026/02/02 23:41:02.52582575,"{'dim': [], 'data_offset': 0}","[-6.055301666259766, -0.9026666879653931, 29.11319351196289, -0.00027787211001850665, -0.01231988426297903, 29.508230209350586, 11.625401496887207, -0.8526189923286438, 28.508747100830078, -6.047713279724121, -0.9035845398902893, 29.351722717285156, -0.0007080577197484672, -0.008114099502563477, 29.542438507080078, 11.612814903259277, -0.8469505906105042, 28.537723541259766]"
2026/02/02 23:41:02.57923274,"{'dim': [], 'data_offset': 0}","[-5.749275207519531, -0.5313438773155212, 22.223464965820312, 7.594114867970347e-05, 0.1456582397222519, 24.021230697631836, 11.050471305847168, -0.44299519062042236, 21.49690055847168, -5.733306884765625, -0.5335773825645447, 22.56632423400879, -0.0009484210750088096, 0.16401532292366028, 24.181396484375, 11.031970024108887, -0.4379459023475647, 21.524303436279297]"
2026/02/02 23:41:02.63013624,"{'dim': [], 'data_offset': 0}","[-5.316467761993408, -0.18932174146175385, 16.079957962036133, 6.0687849327223375e-05, 0.2780551016330719, 20.24627685546875, 10.238733291625977, -0.07133811712265015, 15.439465522766113, -5.29107141494751, -0.19850073754787445, 16.437618255615234, 5.894072455703281e-05, 0.275605171918869, 20.777620315551758, 10.229369163513184, -0.0755792036652565, 15.445863723754883]"
2026/02/02 23:41:02.68017358,"{'dim': [], 'data_offset': 0}","[-4.776392459869385, 0.11119823157787323, 11.080573081970215, 0.0022385865449905396, 0.3777927756309509, 17.564775466918945, 9.267199516296387, 0.2744174897670746, 10.595562934875488, -4.762988090515137, 0.1144305020570755, 11.422586441040039, -9.21671962714754e-05, 0.392900675535202, 17.80513572692871, 9.241880416870117, 0.2775898575782776, 10.59160041809082]"
2026/02/02 23:41:02.73351854,"{'dim': [], 'data_offset': 0}","[-4.176303863525391, 0.1457417905330658, 8.771031379699707, 0.0027998636942356825, 0.4299723207950592, 15.217971801757812, 8.166104316711426, 0.3186250329017639, 8.611780166625977, -4.164069175720215, 0.14596179127693176, 9.136848449707031, 0.0017991114873439074, 0.4225107729434967, 15.621662139892578, 8.155409812927246, 0.310468465089798, 8.612732887268066]"
2026/02/02 23:41:02.78597293,"{'dim': [], 'data_offset': 0}","[-3.5398950576782227, 0.15723392367362976, 6.487767696380615, 0.004563992843031883, 0.5615174770355225, 12.492907524108887, 7.0239644050598145, 0.35610225796699524, 6.532138347625732, -3.543663501739502, 0.16819524765014648, 6.862631797790527, 0.0021479434799402952, 0.5654696226119995, 12.730659484863281, 7.007950782775879, 0.35381975769996643, 6.49918270111084]"
2026/02/02 23:41:02.83501584,"{'dim': [], 'data_offset': 0}","[-3.1535696983337402, 0.21986551582813263, 4.877744674682617, 0.010322067886590958, 0.6150704026222229, 10.68554973602295, 5.893872261047363, 0.36133283376693726, 4.742282390594482, -3.1685359477996826, 0.2501850426197052, 5.1686110496521, 0.00291041424497962, 0.5337610244750977, 10.794692993164062, 5.85742712020874, 0.36874493956565857, 4.7174530029296875]"
