time,layout,data
2026/02/02 23:43:15.366164341,"{'dim': [], 'data_offset': 0}","[1.6925807813095162e-06, -2.9936398277641274e-05, 3.15637698804494e-05, 6.697236472064105e-07, 0.000332878262270242, 5.300201155478135e-05, 1.748817197722019e-07, 0.0018417076207697392, 0.00017758761532604694, 4.410614110383904e-06, 5.321503522282001e-06, -2.9769682441838086e-05, 4.0867403185984585e-06, -4.673973671742715e-05, 6.448537988035241e-06, 5.920632702327566e-06, 0.00010793608817039058, 1.2520017662609462e-05]"
2026/02/02 23:43:15.371306093,"{'dim': [], 'data_offset': 0}","[2.215448375864071e-06, -2.1965790438116528e-05, 2.8886819563922472e-05, 7.764808174215432e-07, 0.00037563926889561117, 5.573537782765925e-05, 3.756649107344856e-07, 0.001944224932231009, 0.00018196733435615897, 5.614854671875946e-06, 9.201364264299627e-06, -3.6535006984195206e-06, 4.431399247550871e-06, -5.2198309276718646e-05, 2.4837950149958488e-06, 6.971305538172601e-06, 0.00012507881911005825, 1.4851045307295863e-05]"
2026/02/02 23:43:15.376313626,"{'dim': [], 'data_offset': 0}","[2.751557531155413e-06, -1.4743184692633804e-05, 2.5063136490643956e-05, 8.774602520134067e-07, 0.000412192806834355, 5.7072058552876115e-05, 5.854468554389314e-07, 0.0020230435766279697, 0.0001826780498959124, 6.747392035322264e-06, 1.4845652913209051e-05, 2.0543358914437704e-05, 4.674921910918783e-06, -5.588284693658352e-05, -2.112830316036707e-06, 7.969919352035504e-06, 0.0001480915816500783, 1.7762469724402763e-05]"
2026/02/02 23:43:15.382024403,"{'dim': [], 'data_offset': 0}","[3.273596803410328e-06, -8.715791409485973e-06, 2.0347017198218964e-05, 9.601682222637464e-07, 0.00044159431126900017, 5.708418757421896e-05, 7.924211331555853e-07, 0.0020766807720065117, 0.00017998763360083103, 7.747721610940062e-06, 2.309705268999096e-05, 4.1642972064437345e-05, 4.813618033949751e-06, -5.3384675993584096e-05, -6.03192256676266e-06, 8.86362340679625e-06, 0.0001751951058395207, 2.1500620277947746e-05]"
2026/02/02 23:43:15.386385749,"{'dim': [], 'data_offset': 0}","[650.4407348632812, 35.095542907714844, 7095.23974609375, 1.019117803480185e-06, 0.0004631421179510653, 7090.10888671875, 1674.684814453125, 36.84260940551758, 7065.37109375, 649.21826171875, 34.86530685424805, 7100.89990234375, 4.844375325774308e-06, -4.7164499846985564e-05, 7100.95361328125, 1677.0179443359375, 35.672691345214844, 7099.451171875]"
2026/02/02 23:43:15.391235261,"{'dim': [], 'data_offset': 0}","[-8.503070831298828, -6.837285995483398, -410.2986145019531, 1.7201089576701634e-05, 1.259893774986267, -339.32781982421875, -18.80792808532715, -7.758793830871582, -427.4958190917969, -8.30219841003418, -6.771570682525635, -401.8455505371094, -1.1465817806310952e-05, 1.3452067375183105, -339.2475891113281, -18.710174560546875, -7.454855442047119, -429.7447509765625]"
2026/02/02 23:43:15.396445635,"{'dim': [], 'data_offset': 0}","[-15.417377471923828, -3.7774250507354736, -407.18988037109375, 4.6007990022189915e-05, 0.4525960385799408, -232.2612762451172, -33.99972915649414, -3.5442960262298584, -407.0677795410156, -15.139731407165527, -3.734788417816162, -404.8302001953125, 4.017140781797934e-06, 0.3715158700942993, -225.140380859375, -33.6800422668457, -3.204035520553589, -409.6713562011719]"
2026/02/02 23:43:15.401338005,"{'dim': [], 'data_offset': 0}","[-20.614513397216797, 1.5110949277877808, -323.1502380371094, 6.375294560712064e-06, 1.3064810037612915, -292.89093017578125, -44.922569274902344, 2.8757216930389404, -315.3775329589844, -20.101266860961914, 1.5327445268630981, -325.0005187988281, 8.580417670600582e-06, 1.3565300703048706, -296.5759582519531, -44.89546585083008, 3.2147631645202637, -317.4303283691406]"
2026/02/02 23:43:15.406660955,"{'dim': [], 'data_offset': 0}","[-23.846881866455078, 1.2763909101486206, -144.28518676757812, -7.671837011002935e-06, -0.3405565917491913, -213.36013793945312, -51.929508209228516, 1.4320933818817139, -125.24332427978516, -23.442241668701172, 1.2606745958328247, -145.35494995117188, 0.00011770926357712597, -0.38234466314315796, -212.02133178710938, -51.660404205322266, 1.5122624635696411, -126.2606430053711]"
2026/02/02 23:43:15.411848938,"{'dim': [], 'data_offset': 0}","[-25.377382278442383, 0.781532883644104, -111.77355194091797, -1.178640013677068e-05, -0.007563084829598665, -217.03570556640625, -55.388675689697266, 0.6731643676757812, -100.53324890136719, -25.070518493652344, 0.7912535667419434, -112.5687026977539, 0.00024632009444758296, -0.0458608902990818, -218.11228942871094, -55.13894271850586, 0.6225151419639587, -99.79302215576172]"
