time,layout,data
2026/02/02 23:43:15.366233369,"{'dim': [], 'data_offset': 0}","[0.0003966042713727802, -0.0017624380998313427, 0.00326721603050828, 0.0003484525950625539, 0.007731360383331776, 0.004040102940052748, 6.405437306966633e-05, 0.02585410885512829, 0.010400251485407352, -0.0006395336240530014, -0.004028081428259611, -0.0009159465553238988, -0.0009875718969851732, 0.00420929491519928, 0.0025309717748314142, -0.0009433189406991005, 0.009210259653627872, 0.0018145836656913161]"
2026/02/02 23:43:15.371443513,"{'dim': [], 'data_offset': 0}","[0.0005060557159595191, -0.0013577161589637399, 0.00347498687915504, 0.0003973114653490484, 0.00880198460072279, 0.004359776619821787, 0.0001340934104518965, 0.027628738433122635, 0.010820843279361725, -0.0008123475126922131, -0.0040844157338142395, -0.00011415496555855498, -0.0010892796562984586, 0.003872426925227046, 0.0025552588049322367, -0.0011015484342351556, 0.009538538753986359, 0.002000234555453062]"
2026/02/02 23:43:15.376356599,"{'dim': [], 'data_offset': 0}","[0.0006174658192321658, -0.0009822611464187503, 0.0036467472091317177, 0.00044644754962064326, 0.009851159527897835, 0.004665623884648085, 0.00020536402007564902, 0.02936304733157158, 0.01122765988111496, -0.0009838218102231622, -0.00417338078841567, 0.0006625311798416078, -0.0011876856442540884, 0.0034698876552283764, 0.0025344165042042732, -0.0012597286840900779, 0.009912710636854172, 0.0022019490133970976]"
2026/02/02 23:43:15.382187820,"{'dim': [], 'data_offset': 0}","[0.0007296359399333596, -0.0006434720708057284, 0.003781216684728861, 0.0004949464928358793, 0.010869309306144714, 0.004953715018928051, 0.00027690728893503547, 0.03104364313185215, 0.011615010909736156, -0.001151975360698998, -0.004307508934289217, 0.0014048429438844323, -0.0012815863592550159, 0.0030292049050331116, 0.0024734626058489084, -0.0014162076404318213, 0.010337318293750286, 0.0024237821344286203]"
2026/02/02 23:43:15.386459288,"{'dim': [], 'data_offset': 0}","[68124.8203125, 1226.5164794921875, -1486067.125, 0.0005419576773419976, 0.011848297901451588, -1484944.125, -233843.203125, 1289.521240234375, -1479735.875, 67989.640625, 1217.791748046875, -1487081.5, -0.0013699884293600917, 0.002570211421698332, -1487317.375, -234184.03125, 1246.9443359375, -1486907.125]"
2026/02/02 23:43:15.391301236,"{'dim': [], 'data_offset': 0}","[19.62848472595215, 71.60932159423828, -6091.93798828125, 0.0009808263275772333, -9.393311500549316, -4024.02490234375, -47.546043395996094, 92.8143081665039, -6715.09716796875, 19.071504592895508, 70.66275024414062, -5809.64208984375, -0.0011123736621811986, -10.087607383728027, -4014.938232421875, -47.219139099121094, 89.42790985107422, -6751.822265625]"
2026/02/02 23:43:15.396510694,"{'dim': [], 'data_offset': 0}","[48.83604431152344, 51.13459396362305, -7839.9013671875, 0.0016707496251910925, -1.139338493347168, -2152.6474609375, -120.7046890258789, 53.22690200805664, -8028.52197265625, 47.352073669433594, 50.444942474365234, -7660.13037109375, -0.0011962245916947722, -0.8388941287994385, -2013.01171875, -118.56716918945312, 47.98577117919922, -8090.05517578125]"
2026/02/02 23:43:15.401332462,"{'dim': [], 'data_offset': 0}","[87.50403594970703, -22.857789993286133, -6826.50927734375, 0.0017600611317902803, -5.534465312957764, -4127.36328125, -212.1761016845703, -47.2388916015625, -6689.22900390625, 83.37045288085938, -23.137069702148438, -6792.13623046875, -0.0013546260306611657, -5.878531455993652, -4207.92333984375, -211.4959716796875, -52.701942443847656, -6741.74609375]"
2026/02/02 23:43:15.406645736,"{'dim': [], 'data_offset': 0}","[126.80731201171875, -7.105242729187012, -1656.426025390625, 0.001643361640162766, -0.6883015036582947, -2644.211669921875, -305.6395568847656, -7.151573181152344, -1259.1033935546875, 122.22321319580078, -6.937427520751953, -1648.663330078125, -0.002527084434404969, -0.7896349430084229, -2589.40185546875, -301.67205810546875, -7.473313808441162, -1273.359130859375]"
2026/02/02 23:43:15.411919009,"{'dim': [], 'data_offset': 0}","[162.5716552734375, -2.313091516494751, -1197.1712646484375, 0.00143858150113374, -0.2982412576675415, -3539.717041015625, -390.1121520996094, -1.6455110311508179, -956.2339477539062, 157.66380310058594, -2.3594493865966797, -1186.075439453125, -0.004059258848428726, -0.30196091532707214, -3536.01318359375, -384.97430419921875, -1.428126573562622, -935.6248779296875]"
2026/02/02 23:43:15.416914002,"{'dim': [], 'data_offset': 0}","[187.34848022460938, -3.8201792240142822, -1444.1065673828125, 0.0007088045822456479, -0.3743099570274353, -3208.369873046875, -445.9338684082031, -4.923952102661133, -1418.3623046875, 180.8962860107422, -4.06038761138916, -1419.095458984375, -0.00531340716406703, -0.3465072512626648, -3243.741943359375, -444.6608581542969, -5.214206218719482, -1446.12646484375]"
2026/02/02 23:43:15.422182052,"{'dim': [], 'data_offset': 0}","[196.99830627441406, -1.7874431610107422, -1166.025390625, 0.0001703768502920866, -0.33456361293792725, -2366.2607421875, -475.7474060058594, -1.1799596548080444, -1040.2969970703125, 192.1166229248047, -1.7878526449203491, -1141.2410888671875, -0.006831440143287182, -0.3942454159259796, -2412.691650390625, -473.2606506347656, -0.9995139837265015, -1032.079833984375]"
2026/02/02 23:43:15.427130042,"{'dim': [], 'data_offset': 0}","[193.32545471191406, -2.0352416038513184, -1039.68408203125, -0.0007741043227724731, -0.4083550274372101, -1672.28515625, -471.25360107421875, -2.632575035095215, -1066.7249755859375, 188.8853759765625, -2.3965485095977783, -1046.1805419921875, -0.008142851293087006, -0.5597406029701233, -1705.155029296875, -471.988525390625, -2.825918674468994, -1086.842529296875]"
2026/02/02 23:43:15.432855863,"{'dim': [], 'data_offset': 0}","[175.77294921875, -1.3298460245132446, -774.2196655273438, -0.001548628555610776, -0.6215564608573914, -1076.219970703125, -442.65167236328125, -1.22165048122406, -769.0534057617188, 173.80752563476562, -1.4047317504882812, -783.345947265625, -0.009700845927000046, -1.011145830154419, -1096.919677734375, -442.8253173828125, -1.1032534837722778, -771.2229614257812]"
2026/02/02 23:43:15.437711917,"{'dim': [], 'data_offset': 0}","[147.5287322998047, -1.1150237321853638, -554.9488525390625, -0.0025463332422077656, -0.7480006814002991, -646.0899047851562, -390.0703430175781, -1.3565198183059692, -584.306640625, 147.50074768066406, -1.3670830726623535, -581.1666870117188, -0.011199627071619034, -1.1441624164581299, -653.9151000976562, -391.944580078125, -1.436260461807251, -594.5746459960938]"
2026/02/02 23:43:15.442811290,"{'dim': [], 'data_offset': 0}","[109.3052978515625, -0.8809272050857544, -357.0038146972656, -0.0035744167398661375, -0.751782238483429, -342.27276611328125, -322.5278015136719, -1.0235862731933594, -383.5888671875, 112.02835083007812, -1.0599678754806519, -383.6893310546875, -0.01288397517055273, -0.6909134387969971, -347.9263610839844, -324.7981262207031, -1.0306507349014282, -387.63739013671875]"
2026/02/02 23:43:15.448200174,"{'dim': [], 'data_offset': 0}","[60.94655990600586, -0.728727400302887, -197.8196258544922, -0.004984431434422731, -0.5752081871032715, -123.02139282226562, -244.28468322753906, -0.886743426322937, -225.7733154296875, 66.92335510253906, -0.9785976409912109, -224.87290954589844, -0.0145120183005929, 0.2897796630859375, -128.47389221191406, -247.55422973632812, -1.0043150186538696, -228.88931274414062]"
2026/02/02 23:43:15.453216440,"{'dim': [], 'data_offset': 0}","[-2.693094491958618, -0.6480283737182617, -66.2757339477539, -0.006809890735894442, -0.30208921432495117, 68.50118255615234, -159.4311981201172, -0.7920984029769897, -95.11246490478516, 8.88997745513916, -0.9245672821998596, -93.57609558105469, -0.016199102625250816, 0.8126287460327148, 76.40360260009766, -162.91253662109375, -0.9545890688896179, -97.34022521972656]"
2026/02/02 23:43:15.458042845,"{'dim': [], 'data_offset': 0}","[-31.78206443786621, -0.7066139578819275, 45.913841247558594, 0.22350120544433594, 36.809749603271484, 0.19365069270133972, -64.97996520996094, -0.6592617630958557, 19.18293571472168, -107.52882385253906, -0.6439937949180603, 22.977548599243164, -0.2636721432209015, 70.9361572265625, 0.25962722301483154, -63.07556915283203, -0.7307085990905762, 12.354626655578613]"
2026/02/02 23:43:15.463205713,"{'dim': [], 'data_offset': 0}","[-47.72035217285156, -24.40606117248535, 0.5421158075332642, 0.12984463572502136, 3.183542251586914, 17.97209930419922, 87.17068481445312, -34.39805603027344, 0.07153905928134918, -116.5677719116211, -26.40939712524414, 0.3954324424266815, -0.058822814375162125, 8.343491554260254, 21.762008666992188, 30.439889907836914, -34.21635818481445, 0.04483767971396446]"
2026/02/02 23:43:15.468316503,"{'dim': [], 'data_offset': 0}","[-45.09423065185547, -4.33112096786499, 1.1693181991577148, 0.07120144367218018, 33.89436340332031, 4.899360656738281, 126.26229095458984, -6.835104465484619, -0.75838702917099, -91.8744125366211, -12.829233169555664, 0.4458347260951996, -0.05651604384183884, 15.909075736999512, 1.4290006160736084, 90.65718841552734, -11.052117347717285, -1.265655279159546]"
2026/02/02 23:43:15.473994662,"{'dim': [], 'data_offset': 0}","[-26.951683044433594, 25.622901916503906, 0.4484412372112274, 0.06840499490499496, 0.6153648495674133, 0.23373809456825256, 108.70124053955078, 30.362010955810547, -0.6402051448822021, -63.69619369506836, 37.43824768066406, -0.6866635680198669, -0.037693895399570465, 4.310516834259033, 8.06948471069336, 89.30123901367188, 41.523624420166016, -2.1019842624664307]"
2026/02/02 23:43:15.478746291,"{'dim': [], 'data_offset': 0}","[-12.298734664916992, 2.0537314414978027, 5.701728820800781, 0.06622806936502457, 2.7141239643096924, 0.5857038497924805, 67.41923522949219, 0.6627010107040405, 3.9546072483062744, -30.268651962280273, 3.279303789138794, 2.368488073348999, -0.025434456765651703, 2.1839354038238525, 4.241311550140381, 62.68416213989258, 0.5921013355255127, 2.5375218391418457]"
2026/02/02 23:43:15.484074935,"{'dim': [], 'data_offset': 0}","[-2.3719611167907715, 7.99424934387207, 0.22405479848384857, 0.055238015949726105, 2.731311082839966, 0.40023040771484375, 29.895734786987305, 8.472311019897461, 0.25091952085494995, -9.994463920593262, 4.070104598999023, 1.7099770307540894, -0.015456260181963444, 1.1860026121139526, 6.626315593719482, 29.511411666870117, 6.408660411834717, 0.8678226470947266]"
2026/02/02 23:43:15.489334215,"{'dim': [], 'data_offset': 0}","[-7.203440189361572, 0.5621997117996216, 5.694961071014404, 0.026247255504131317, 4.87727689743042, 0.7808494567871094, 1.6360952854156494, 0.9959431290626526, 9.075960159301758, -4.828700065612793, 1.3203349113464355, 2.4706404209136963, 0.07559771090745926, 0.5956764817237854, 1.0837640762329102, 19.005386352539062, 0.39093008637428284, 6.671315670013428]"
2026/02/02 23:43:15.494748905,"{'dim': [], 'data_offset': 0}","[-9.016704559326172, 3.150766372680664, 1.6445132493972778, 0.10354889184236526, 4.234137058258057, 0.6300079226493835, 15.517975807189941, 9.241930961608887, 2.6247127056121826, -3.353006601333618, 4.236511707305908, 0.459195613861084, -0.023761728778481483, 1.6278398036956787, -3.4276864528656006, 6.726456165313721, 12.266214370727539, 1.381253719329834]"
2026/02/02 23:43:15.499429847,"{'dim': [], 'data_offset': 0}","[-14.511964797973633, 0.4952864646911621, 0.30569007992744446, 0.07892067730426788, 0.4179181456565857, 0.9136344790458679, 1.8034749031066895, 3.26216459274292, 0.5061966776847839, -1.7842538356781006, 0.5952920913696289, 3.2432355880737305, -0.03051125258207321, 11.92212200164795, -0.33717477321624756, 9.482416152954102, 3.962564706802368, 4.00373649597168]"
2026/02/02 23:43:15.505040379,"{'dim': [], 'data_offset': 0}","[-40.75157928466797, 0.6061638593673706, 0.28878018260002136, 0.8351150155067444, -1.2214125394821167, 1.188683032989502, 6.958362579345703, 3.1682426929473877, 0.6207462549209595, -6.025600910186768, 2.153970956802368, 0.34515413641929626, -0.5090548396110535, 2.335862398147583, 1.1056320667266846, 44.17851257324219, 1.6096292734146118, 0.2677425742149353]"
2026/02/02 23:43:15.509942215,"{'dim': [], 'data_offset': 0}","[-28.353059768676758, 0.5520073175430298, 0.23138269782066345, 0.27187585830688477, -0.34863415360450745, 3.1307942867279053, 3.3503549098968506, 2.290546178817749, 0.45045003294944763, -2.830388069152832, 0.7400977611541748, 0.48413240909576416, -0.2003801465034485, -9.127285957336426, 0.04491633176803589, 37.736541748046875, 1.567086100578308, 0.2653864920139313]"
