time,layout,data
2026/02/02 23:43:15.366158866,"{'dim': [], 'data_offset': 0}","[-0.004267759155482054, -0.016990693286061287, -0.009661659598350525, -0.0019220007816329598, -0.04313580319285393, -0.013121243566274643, -0.0027302277740091085, -0.07160171121358871, -0.01708037592470646, 0.0068969386629760265, 0.0013211044715717435, -0.03253595530986786, 0.0041382405906915665, 0.011105312965810299, -0.0025478675961494446, 0.006276632193475962, -0.011720764450728893, -0.006899992935359478]"
2026/02/02 23:43:15.371301504,"{'dim': [], 'data_offset': 0}","[-0.0043779583647847176, -0.01618272252380848, -0.008313363417983055, -0.00195434526540339, -0.042754802852869034, -0.012786097824573517, -0.0028015386778861284, -0.0707237645983696, -0.016821209341287613, 0.006912217941135168, 0.0022528108675032854, -0.03203759342432022, 0.004068260081112385, 0.013481940142810345, -0.0009720338857732713, 0.006328895688056946, -0.013115299865603447, -0.007425062358379364]"
2026/02/02 23:43:15.376293722,"{'dim': [], 'data_offset': 0}","[-0.004456298891454935, -0.015012817457318306, -0.006873065605759621, -0.0019654349889606237, -0.041915733367204666, -0.012234301306307316, -0.0028507995884865522, -0.06923016905784607, -0.016274750232696533, 0.0068586706183850765, 0.003557272022590041, -0.031037256121635437, 0.003936222288757563, 0.016109274700284004, 0.0008336562314070761, 0.0063269492238759995, -0.014942959882318974, -0.008067230693995953]"
2026/02/02 23:43:15.381866418,"{'dim': [], 'data_offset': 0}","[-0.004486707039177418, -0.013547427952289581, -0.005381235387176275, -0.0019399509765207767, -0.040695108473300934, -0.011525053530931473, -0.0028617072384804487, -0.06720016896724701, -0.015499928034842014, 0.006725901272147894, 0.005362202413380146, -0.02966853231191635, 0.003756037214770913, 0.017628813162446022, 0.002438670489937067, 0.00625894870609045, -0.016952771693468094, -0.008871390484273434]"
2026/02/02 23:43:15.386322695,"{'dim': [], 'data_offset': 0}","[-0.004471070598810911, -0.011830918490886688, -0.003851113608106971, -0.0018804447026923299, -0.03914946690201759, -0.010685676708817482, -0.0028358895797282457, -0.0646948367357254, -0.014524651691317558, 0.006522366311401129, 0.007634878158569336, -0.027969464659690857, 0.003536114702001214, 0.018356624990701675, 0.0036648784298449755, 0.006131573114544153, -0.01904374547302723, -0.009792574681341648]"
2026/02/02 23:43:15.391190665,"{'dim': [], 'data_offset': 0}","[1.409499168395996, 10.37552547454834, -14.715299606323242, -0.017542744055390358, 7.318843364715576, -11.689813613891602, -1.6126595735549927, 11.87702465057373, -15.58382511138916, 1.3777589797973633, 10.337030410766602, -14.321171760559082, -0.01030861958861351, 7.3629326820373535, -11.665362358093262, -1.6018298864364624, 11.910819053649902, -15.586875915527344]"
2026/02/02 23:43:15.396382578,"{'dim': [], 'data_offset': 0}","[2.70415997505188, 13.462383270263672, -19.16134262084961, -0.027558250352740288, 2.0217466354370117, -9.059808731079102, -3.0773191452026367, 14.950589179992676, -19.633441925048828, 2.655806064605713, 13.432101249694824, -18.82749366760254, 0.0033582209143787622, 1.6512125730514526, -8.724204063415527, -3.041748523712158, 14.90947437286377, -19.658260345458984]"
2026/02/02 23:43:15.401259764,"{'dim': [], 'data_offset': 0}","[3.9309022426605225, 15.060214042663574, -21.049070358276367, -0.003622248535975814, 3.9841299057006836, -13.965686798095703, -4.399007797241211, 16.365617752075195, -21.135366439819336, 3.8248143196105957, 15.0286226272583, -20.82183265686035, 0.00633441423997283, 4.0878448486328125, -14.062864303588867, -4.385509014129639, 16.3324031829834, -21.16362953186035]"
2026/02/02 23:43:15.406480393,"{'dim': [], 'data_offset': 0}","[5.079364776611328, 5.380397319793701, -11.347031593322754, 0.004668482579290867, -1.1439417600631714, -12.257909774780273, -5.639190673828125, 4.7840375900268555, -9.900832176208496, 4.97017765045166, 5.314364910125732, -11.206722259521484, 0.04668058827519417, -1.2833739519119263, -12.075233459472656, -5.590705394744873, 4.729541301727295, -9.933027267456055]"
2026/02/02 23:43:15.411839061,"{'dim': [], 'data_offset': 0}","[6.215944766998291, 2.569044828414917, -10.574652671813965, 0.008193622343242168, -0.02546190842986107, -16.214818954467773, -6.846230983734131, 1.9216042757034302, -9.357240676879883, 6.094574451446533, 2.5952043533325195, -10.397244453430176, 0.06090619042515755, -0.15608437359333038, -16.1164608001709, -6.782895565032959, 1.7044445276260376, -9.218648910522461]"
