time,layout,data
2026/01/30 15:24:31.527487571,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527523238,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527553105,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527577841,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527605554,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527632695,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527659686,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.527684333,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.530831269,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.536086089,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.540456368,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.545829712,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.550939468,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.556312761,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.561216778,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.566446371,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.571339958,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.576970138,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.581444423,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.586614502,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.592098485,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.596912162,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.602262923,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.606790749,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.612426319,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.617090693,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.622208424,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.627194306,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.632262954,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.637372058,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.642273451,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.647337330,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.652473145,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.657885002,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.662687547,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.667881732,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.672742908,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.677841363,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.682800694,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.688003426,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.692941307,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.698087772,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.703316012,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.708159735,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.713230437,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.718358317,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.723399714,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.728673279,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.733633272,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.738957473,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.743647025,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.748720482,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.753909338,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.759001430,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.764022969,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.768676974,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.774075646,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.779087988,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.784183847,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.789262073,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.794252814,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.799444174,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.804461035,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.809556413,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
2026/01/30 15:24:31.815144874,"{'dim': [], 'data_offset': 0}","[0.059310682117938995, 0.0, 0.04338984936475754, 0.06156344339251518, 0.0, 0.044596780091524124]"
