time,layout,data
2026/01/30 15:24:31.527497189,"{'dim': [], 'data_offset': 0}","[-3.6234758249431565e-11, 2.0122764565755347e-11, 2.414441259770972e-12, 1.9825695515081516e-15, -4.669795976232523e-15, -5.897571186189697e-16, 1.7202248306369405e-11, -1.516171736770655e-11, -2.8220188772604127e-12, -1.3186247233010207e-11, 5.125345026862904e-12, 4.97401870126063e-13, 1.936525687528355e-15, -2.7584940828404535e-15, 9.486925180947814e-17, 1.3384271989325125e-11, -1.1975660914320674e-11, -2.369601043161751e-12]"
2026/01/30 15:24:31.527527366,"{'dim': [], 'data_offset': 0}","[-3.6192299157633556e-11, 2.010369995475436e-11, 2.412052111863683e-12, 1.9805534013354496e-15, -4.5351956646502364e-15, -7.860080350528906e-16, 1.7192360382556338e-11, -1.5147582840824292e-11, -2.8195228270189165e-12, -1.3169236534604778e-11, 5.120487801130169e-12, 4.968632926968808e-13, 1.9345887349362214e-15, -2.6258108185760404e-15, -1.0690978545002861e-16, 1.3375221936950954e-11, -1.1964557816712684e-11, -2.3675475642470634e-12]"
2026/01/30 15:24:31.527557192,"{'dim': [], 'data_offset': 0}","[-3.614989904643373e-11, 2.0084831367506162e-11, 2.409652989296407e-12, 1.9785429686351415e-15, -4.171219254467959e-15, -9.150441872046635e-16, 1.7182470724019794e-11, -1.513331647495786e-11, -2.817030896745676e-12, -1.3152250122328013e-11, 5.115802746702425e-12, 4.963010796603384e-13, 1.9326587703659024e-15, -2.25235992136225e-15, -2.3952588264870237e-16, 1.3366174486661997e-11, -1.1953450382296005e-11, -2.3654995063432382e-12]"
2026/01/30 15:24:31.527585356,"{'dim': [], 'data_offset': 0}","[-3.6107550976938185e-11, 2.0066087680348232e-11, 2.4072716476447598e-12, 1.9765369828578065e-15, -3.6488684354563355e-15, -9.825237022223878e-16, 1.7172579330759774e-11, -1.5118859289509068e-11, -2.8145047056837846e-12, -1.313528886354165e-11, 5.111278154196208e-12, 4.957487870736743e-13, 1.9307296528285308e-15, -1.7249744443912653e-15, -3.033656706222953e-16, 1.3357128771096516e-11, -1.1942199833192557e-11, -2.3634354022472603e-12]"
2026/01/30 15:24:31.527609341,"{'dim': [], 'data_offset': 0}","[-3.606526188804082e-11, 2.004731103344426e-11, 2.4049343246013155e-12, 1.9745341734540237e-15, -3.1572860882537242e-15, -9.775133964602602e-16, 1.7162684468052802e-11, -1.5104535677767927e-11, -2.81194121806716e-12, -1.311835189088395e-11, 5.106791725606463e-12, 4.952388867919544e-13, 1.928798205950554e-15, -1.246095897331574e-15, -3.01535417711736e-16, 1.3348085657616249e-11, -1.1930899844470044e-11, -2.3613129680744027e-12]"
2026/01/30 15:24:31.527636422,"{'dim': [], 'data_offset': 0}","[-3.602302484084774e-11, 2.002871826722874e-11, 2.4025946163130918e-12, 1.9725355992149772e-15, -2.5313401751775842e-15, -9.537922387724035e-16, 1.715278613589888e-11, -1.509016349376946e-11, -2.809364503184031e-12, -1.3101440071716652e-11, 5.102461422129556e-12, 4.947282275687137e-13, 1.926877558742655e-15, -6.267046428386431e-16, -2.818807063849696e-16, 1.3339045146221196e-11, -1.191969092873002e-11, -2.3591890160185036e-12]"
2026/01/30 15:24:31.527663513,"{'dim': [], 'data_offset': 0}","[-3.598084677425284e-11, 2.001006998986199e-11, 2.4003227790808657e-12, 1.970535542668273e-15, -2.1354130469501643e-15, -8.699242244120846e-16, 1.714288606902148e-11, -1.507588671956217e-11, -2.8067340118731465e-12, -1.3084552538678018e-11, 5.0979385643468156e-12, 4.942704232013817e-13, 1.924955852743572e-15, -2.300360960845796e-16, -1.936509223325443e-16, 1.3330006369549618e-11, -1.1908529717885585e-11, -2.3570082517687663e-12]"
2026/01/30 15:24:31.527688300,"{'dim': [], 'data_offset': 0}","[-3.593872074936222e-11, 1.999135579300315e-11, 2.398055061816895e-12, 1.9685401448027787e-15, -1.7342475493395686e-15, -7.924178510021192e-16, 1.7132984267420603e-11, -1.5061689742634776e-11, -2.8041026532005242e-12, -1.3067689291768048e-11, 5.093401828776267e-12, 4.938219971828417e-13, 1.923033511469778e-15, 1.6980064505979053e-16, -1.1977072343955408e-16, 1.3320970194963255e-11, -1.1897367639679413e-11, -2.3548238012316425e-12]"
2026/01/30 15:24:31.530656188,"{'dim': [], 'data_offset': 0}","[-3.589665370506978e-11, 1.997262598363303e-11, 2.3958096791176775e-12, 1.9665424175966794e-15, -1.4634987617056518e-15, -7.045324123125323e-16, 1.7123080731096252e-11, -1.5047499704601286e-11, -2.8014524294101006e-12, -1.305085033098674e-11, 5.0887471320093525e-12, 4.933918941810167e-13, 1.9211141348113e-15, 4.507499593099152e-16, -3.204700517716627e-17, 1.3311935755100368e-11, -1.1886302705987895e-11, -2.3526252560662764e-12]"
2026/01/30 15:24:31.535802634,"{'dim': [], 'data_offset': 0}","[-3.585463870248162e-11, 1.9953868418687293e-11, 2.3935766563232264e-12, 1.9645531607200527e-15, -1.3454632381981074e-15, -6.153112556046847e-16, 1.7113173725324948e-11, -1.50334033416355e-11, -2.798770330075806e-12, -1.3034036523695836e-11, 5.084197386012734e-12, 4.929731210918942e-13, 1.9191962404604794e-15, 5.738019825080141e-16, 5.509704476427908e-17, 1.3302904784684433e-11, -1.1875210884082499e-11, -2.3503902817079148e-12]"
2026/01/30 15:24:31.540348284,"{'dim': [], 'data_offset': 0}","[-3.5812679211044696e-11, 1.9935055342590324e-11, 2.3913427661670372e-12, 1.962561786261058e-15, -1.2566128701629203e-15, -5.541048136547665e-16, 1.7103263250106693e-11, -1.501926881475324e-11, -2.796111649508437e-12, -1.3017246135171856e-11, 5.0796177160361555e-12, 4.925599316439599e-13, 1.9172796166590797e-15, 6.467911292102723e-16, 1.2255030176063847e-16, 1.3293874681630236e-11, -1.186420666571264e-11, -2.3481767745525683e-12]"
2026/01/30 15:24:31.545664940,"{'dim': [], 'data_offset': 0}","[-3.5770775230759e-11, 1.99162752262394e-11, 2.389123621160394e-12, 1.960570200043826e-15, -1.281704950675908e-15, -4.971028314967819e-16, 1.7093352774888437e-11, -1.5005248779620395e-11, -2.793451234217592e-12, -1.3000480900138278e-11, 5.074933528970149e-12, 4.921548737123194e-13, 1.9153627810994433e-15, 6.292703585754355e-16, 1.7375172288648682e-16, 1.328484804802299e-11, -1.1853176426490641e-11, -2.3459600147907045e-12]"
2026/01/30 15:24:31.550735512,"{'dim': [], 'data_offset': 0}","[-3.5728926761624535e-11, 1.989747949737719e-11, 2.3868927667702877e-12, 1.9585798843760154e-15, -1.319196111229041e-15, -4.651893299617593e-16, 1.708343883022323e-11, -1.4991233948657978e-11, -2.790803829352817e-12, -1.2983739951233364e-11, 5.070321332928396e-12, 4.917413590037334e-13, 1.9134493336715958e-15, 5.865991150938096e-16, 2.0398807271616637e-16, 1.3275823149139221e-11, -1.1842275424167603e-11, -2.3437619033062074e-12]"
2026/01/30 15:24:31.556058140,"{'dim': [], 'data_offset': 0}","[-3.56871338036413e-11, 1.987875836162445e-11, 2.3846465167093323e-12, 1.9565954979388353e-15, -1.3009198930843719e-15, -4.582728824309543e-16, 1.7073523150834546e-11, -1.49772885066346e-11, -2.788178759052795e-12, -1.2967022421095376e-11, 5.065650589969328e-12, 4.913092502278893e-13, 1.911537580309643e-15, 5.787786187104883e-16, 2.1221677280561528e-16, 1.3266800852340666e-11, -1.1831231307157797e-11, -2.3415683454708347e-12]"
2026/01/30 15:24:31.561018414,"{'dim': [], 'data_offset': 0}","[-3.564539288736235e-11, 1.985988110075887e-11, 2.382446670501359e-12, 1.954603699963367e-15, -1.5769134028485688e-15, -4.1804215262860483e-16, 1.7063605736722387e-11, -1.4963303165971276e-11, -2.7855220300493366e-12, -1.2950330044447789e-11, 5.060748261426218e-12, 4.909113480305871e-13, 1.9096237093653217e-15, 3.25277486525478e-16, 2.529428580634309e-16, 1.3257781157627324e-11, -1.182036846875123e-11, -2.3393550551559228e-12]"
2026/01/30 15:24:31.566101950,"{'dim': [], 'data_offset': 0}","[-3.5603707482234626e-11, 1.9841002105169814e-11, 2.380207576174742e-12, 1.952615713636161e-15, -1.710771607689942e-15, -4.355563322883208e-16, 1.7053684853163276e-11, -1.494936119339485e-11, -2.782906283887998e-12, -1.2933661953928866e-11, 5.055953485738618e-12, 4.904768540099635e-13, 1.9077098384210006e-15, 2.0207387089960025e-16, 2.397115681526083e-16, 1.3248763197637459e-11, -1.1809477874769048e-11, -2.337184048725738e-12]"
