time,layout,data
2026/01/30 15:24:31.527484605,"{'dim': [], 'data_offset': 0}","[-6.293055776041001e-05, 0.07221448421478271, 0.015228006057441235, -5.559662895393558e-05, 0.07991441339254379, 0.030248168855905533, -3.4408636565785855e-05, 0.07281527668237686, 0.022826075553894043, -3.0235391022870317e-05, 0.07072988897562027, 0.01441581267863512, -5.561555371969007e-05, 0.08000002056360245, 0.030334750190377235, -3.704939445015043e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527520974,"{'dim': [], 'data_offset': 0}","[-6.291618046816438e-05, 0.07221448421478271, 0.015228006057441235, -5.5596632591914386e-05, 0.07991441339254379, 0.030248168855905533, -3.4421122109051794e-05, 0.07281527668237686, 0.022826075553894043, -3.022449709533248e-05, 0.07072988897562027, 0.01441581267863512, -5.561555371969007e-05, 0.08000002056360245, 0.030334750190377235, -3.7058420275570825e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527550720,"{'dim': [], 'data_offset': 0}","[-6.290181045187637e-05, 0.07221448421478271, 0.015228006057441235, -5.5596632591914386e-05, 0.07991441339254379, 0.030248168855905533, -3.443359673838131e-05, 0.07281527668237686, 0.022826075553894043, -3.0213614081731066e-05, 0.07072988897562027, 0.01441581267863512, -5.561555371969007e-05, 0.08000002056360245, 0.030334750190377235, -3.70674351870548e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527575818,"{'dim': [], 'data_offset': 0}","[-6.288745498750359e-05, 0.07221448421478271, 0.015228006057441235, -5.5596632591914386e-05, 0.07991441339254379, 0.030248168855905533, -3.444606045377441e-05, 0.07281527668237686, 0.022826075553894043, -3.0202741982066073e-05, 0.07072988897562027, 0.01441581267863512, -5.561555735766888e-05, 0.08000002056360245, 0.030334750190377235, -3.707643918460235e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527603350,"{'dim': [], 'data_offset': 0}","[-6.287311407504603e-05, 0.07221448421478271, 0.015228006057441235, -5.5596632591914386e-05, 0.07991441339254379, 0.030248168855905533, -3.445851325523108e-05, 0.07281527668237686, 0.022826075553894043, -3.0191878977348097e-05, 0.07072988897562027, 0.01441581267863512, -5.561555735766888e-05, 0.08000002056360245, 0.030334750190377235, -3.7085439544171095e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527630731,"{'dim': [], 'data_offset': 0}","[-6.28587877145037e-05, 0.07221448421478271, 0.015228006057441235, -5.559663622989319e-05, 0.07991441339254379, 0.030248168855905533, -3.447095150477253e-05, 0.07281527668237686, 0.022826075553894043, -3.0181026886566542e-05, 0.07072988897562027, 0.01441581267863512, -5.561555735766888e-05, 0.08000002056360245, 0.030334750190377235, -3.709442898980342e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527654055,"{'dim': [], 'data_offset': 0}","[-6.28444759058766e-05, 0.07221448421478271, 0.015228006057441235, -5.559663622989319e-05, 0.07991441339254379, 0.030248168855905533, -3.4483378840377554e-05, 0.07281527668237686, 0.022826075553894043, -3.017018570972141e-05, 0.07072988897562027, 0.01441581267863512, -5.561555735766888e-05, 0.08000002056360245, 0.030334750190377235, -3.710341115947813e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.527682339,"{'dim': [], 'data_offset': 0}","[-6.283017864916474e-05, 0.07221448421478271, 0.015228006057441235, -5.559663622989319e-05, 0.07991441339254379, 0.030248168855905533, -3.4495798900024965e-05, 0.07281527668237686, 0.022826075553894043, -3.0159353627823293e-05, 0.07072988897562027, 0.01441581267863512, -5.5615560995647684e-05, 0.08000002056360245, 0.030334750190377235, -3.7112382415216416e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.530733184,"{'dim': [], 'data_offset': 0}","[-6.281588866841048e-05, 0.07221448421478271, 0.015228006057441235, -5.559663622989319e-05, 0.07991441339254379, 0.030248168855905533, -3.450820076977834e-05, 0.07281527668237686, 0.022826075553894043, -3.0148530640872195e-05, 0.07072988897562027, 0.01441581267863512, -5.5615560995647684e-05, 0.08000002056360245, 0.030334750190377235, -3.71213500329759e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.535875411,"{'dim': [], 'data_offset': 0}","[-6.280161323957145e-05, 0.07221448421478271, 0.015228006057441235, -5.5596639867872e-05, 0.07991441339254379, 0.030248168855905533, -3.45205953635741e-05, 0.07281527668237686, 0.022826075553894043, -3.013771856785752e-05, 0.07072988897562027, 0.01441581267863512, -5.5615560995647684e-05, 0.08000002056360245, 0.030334750190377235, -3.713030673679896e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.540386145,"{'dim': [], 'data_offset': 0}","[-6.278735963860527e-05, 0.07221448421478271, 0.015228006057441235, -5.5596639867872e-05, 0.07991441339254379, 0.030248168855905533, -3.453297904343344e-05, 0.07281527668237686, 0.022826075553894043, -3.0126917408779263e-05, 0.07072988897562027, 0.01441581267863512, -5.5615560995647684e-05, 0.08000002056360245, 0.030334750190377235, -3.7139252526685596e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.545712741,"{'dim': [], 'data_offset': 0}","[-6.27731133135967e-05, 0.07221448421478271, 0.015228006057441235, -5.5596639867872e-05, 0.07991441339254379, 0.030248168855905533, -3.4545348171377555e-05, 0.07281527668237686, 0.022826075553894043, -3.0116125344648026e-05, 0.07072988897562027, 0.01441581267863512, -5.561556463362649e-05, 0.08000002056360245, 0.030334750190377235, -3.714819467859343e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.550805835,"{'dim': [], 'data_offset': 0}","[-6.275887426454574e-05, 0.07221448421478271, 0.015228006057441235, -5.5596639867872e-05, 0.07991441339254379, 0.030248168855905533, -3.4557706385385245e-05, 0.07281527668237686, 0.022826075553894043, -3.0105342375463806e-05, 0.07072988897562027, 0.01441581267863512, -5.561556463362649e-05, 0.08000002056360245, 0.030334750190377235, -3.715712591656484e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.556151066,"{'dim': [], 'data_offset': 0}","[-6.274465704336762e-05, 0.07221448421478271, 0.015228006057441235, -5.5596639867872e-05, 0.07991441339254379, 0.030248168855905533, -3.4570053685456514e-05, 0.07281527668237686, 0.022826075553894043, -3.0094570320216008e-05, 0.07072988897562027, 0.01441581267863512, -5.561556463362649e-05, 0.08000002056360245, 0.030334750190377235, -3.716604987857863e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.561076313,"{'dim': [], 'data_offset': 0}","[-6.273045437410474e-05, 0.07221448421478271, 0.015228006057441235, -5.559664350585081e-05, 0.07991441339254379, 0.030248168855905533, -3.458239007159136e-05, 0.07281527668237686, 0.022826075553894043, -3.008380917890463e-05, 0.07072988897562027, 0.01441581267863512, -5.561556463362649e-05, 0.08000002056360245, 0.030334750190377235, -3.7174966564634815e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.566199755,"{'dim': [], 'data_offset': 0}","[-6.271625898079947e-05, 0.07221448421478271, 0.015228006057441235, -5.559664350585081e-05, 0.07991441339254379, 0.030248168855905533, -3.459471190581098e-05, 0.07281527668237686, 0.022826075553894043, -3.007305713254027e-05, 0.07072988897562027, 0.01441581267863512, -5.56155682716053e-05, 0.08000002056360245, 0.030334750190377235, -3.718387597473338e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.571183513,"{'dim': [], 'data_offset': 0}","[-6.270207813940942e-05, 0.07221448421478271, 0.015228006057441235, -5.559664350585081e-05, 0.07991441339254379, 0.030248168855905533, -3.460702646407299e-05, 0.07281527668237686, 0.022826075553894043, -3.0062316000112332e-05, 0.07072988897562027, 0.01441581267863512, -5.56155682716053e-05, 0.08000002056360245, 0.030334750190377235, -3.719277447089553e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.576761854,"{'dim': [], 'data_offset': 0}","[-6.268791912589222e-05, 0.07221448421478271, 0.015228006057441235, -5.559664350585081e-05, 0.07991441339254379, 0.030248168855905533, -3.4619326470419765e-05, 0.07281527668237686, 0.022826075553894043, -3.0051583962631412e-05, 0.07072988897562027, 0.01441581267863512, -5.56155682716053e-05, 0.08000002056360245, 0.030334750190377235, -3.720166569110006e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.581321731,"{'dim': [], 'data_offset': 0}","[-6.267376011237502e-05, 0.07221448421478271, 0.015228006057441235, -5.5596647143829614e-05, 0.07991441339254379, 0.030248168855905533, -3.463161556283012e-05, 0.07281527668237686, 0.022826075553894043, -3.004086102009751e-05, 0.07072988897562027, 0.01441581267863512, -5.56155682716053e-05, 0.08000002056360245, 0.030334750190377235, -3.721054963534698e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.586453819,"{'dim': [], 'data_offset': 0}","[-6.265962292673066e-05, 0.07221448421478271, 0.015228006057441235, -5.5596647143829614e-05, 0.07991441339254379, 0.030248168855905533, -3.4643893741304055e-05, 0.07281527668237686, 0.022826075553894043, -3.0030148991500027e-05, 0.07072988897562027, 0.01441581267863512, -5.5615571909584105e-05, 0.08000002056360245, 0.030334750190377235, -3.7219422665657476e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.591969652,"{'dim': [], 'data_offset': 0}","[-6.264550029300153e-05, 0.07221448421478271, 0.015228006057441235, -5.5596647143829614e-05, 0.07991441339254379, 0.030248168855905533, -3.465616100584157e-05, 0.07281527668237686, 0.022826075553894043, -3.0019447876838967e-05, 0.07072988897562027, 0.01441581267863512, -5.5615571909584105e-05, 0.08000002056360245, 0.030334750190377235, -3.722828842001036e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.596776505,"{'dim': [], 'data_offset': 0}","[-6.263138493523002e-05, 0.07221448421478271, 0.015228006057441235, -5.5596647143829614e-05, 0.07991441339254379, 0.030248168855905533, -3.466841371846385e-05, 0.07281527668237686, 0.022826075553894043, -3.0008755857124925e-05, 0.07072988897562027, 0.01441581267863512, -5.5615571909584105e-05, 0.08000002056360245, 0.030334750190377235, -3.7237146898405626e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.602090237,"{'dim': [], 'data_offset': 0}","[-6.261729140533134e-05, 0.07221448421478271, 0.015228006057441235, -5.559665078180842e-05, 0.07991441339254379, 0.030248168855905533, -3.468065551714972e-05, 0.07281527668237686, 0.022826075553894043, -2.99980729323579e-05, 0.07072988897562027, 0.01441581267863512, -5.5615571909584105e-05, 0.08000002056360245, 0.030334750190377235, -3.724599810084328e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.606683657,"{'dim': [], 'data_offset': 0}","[-6.260320515139028e-05, 0.07221448421478271, 0.015228006057441235, -5.559665078180842e-05, 0.07991441339254379, 0.030248168855905533, -3.4692890039877966e-05, 0.07281527668237686, 0.022826075553894043, -2.9987400921527296e-05, 0.07072988897562027, 0.01441581267863512, -5.5615571909584105e-05, 0.08000002056360245, 0.030334750190377235, -3.725484202732332e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.612215621,"{'dim': [], 'data_offset': 0}","[-6.258913344936445e-05, 0.07221448421478271, 0.015228006057441235, -5.559665078180842e-05, 0.07991441339254379, 0.030248168855905533, -3.470511001069099e-05, 0.07281527668237686, 0.022826075553894043, -2.9976739824633114e-05, 0.07072988897562027, 0.01441581267863512, -5.561557554756291e-05, 0.08000002056360245, 0.030334750190377235, -3.726367503986694e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.616968963,"{'dim': [], 'data_offset': 0}","[-6.257506902329624e-05, 0.07221448421478271, 0.015228006057441235, -5.559665078180842e-05, 0.07991441339254379, 0.030248168855905533, -3.471731906756759e-05, 0.07281527668237686, 0.022826075553894043, -2.9966086003696546e-05, 0.07072988897562027, 0.01441581267863512, -5.561557554756291e-05, 0.08000002056360245, 0.030334750190377235, -3.7272500776452944e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.622064041,"{'dim': [], 'data_offset': 0}","[-6.256102642510086e-05, 0.07221448421478271, 0.015228006057441235, -5.559665441978723e-05, 0.07991441339254379, 0.030248168855905533, -3.4729517210507765e-05, 0.07281527668237686, 0.022826075553894043, -2.9955444915685803e-05, 0.07072988897562027, 0.01441581267863512, -5.561557554756291e-05, 0.08000002056360245, 0.030334750190377235, -3.7281319237081334e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.627049221,"{'dim': [], 'data_offset': 0}","[-6.25469911028631e-05, 0.07221448421478271, 0.015228006057441235, -5.559665441978723e-05, 0.07991441339254379, 0.030248168855905533, -3.4741700801532716e-05, 0.07281527668237686, 0.022826075553894043, -2.9944811103632674e-05, 0.07072988897562027, 0.01441581267863512, -5.561557554756291e-05, 0.08000002056360245, 0.030334750190377235, -3.72901267837733e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.632130694,"{'dim': [], 'data_offset': 0}","[-6.253297033254057e-05, 0.07221448421478271, 0.015228006057441235, -5.559665441978723e-05, 0.07991441339254379, 0.030248168855905533, -3.475387711660005e-05, 0.07281527668237686, 0.022826075553894043, -2.993419002450537e-05, 0.07072988897562027, 0.01441581267863512, -5.561557918554172e-05, 0.08000002056360245, 0.030334750190377235, -3.7298930692486465e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.637219430,"{'dim': [], 'data_offset': 0}","[-6.251896411413327e-05, 0.07221448421478271, 0.015228006057441235, -5.559665441978723e-05, 0.07991441339254379, 0.030248168855905533, -3.476603887975216e-05, 0.07281527668237686, 0.022826075553894043, -2.992357622133568e-05, 0.07072988897562027, 0.01441581267863512, -5.561557918554172e-05, 0.08000002056360245, 0.030334750190377235, -3.7307723687263206e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.642148354,"{'dim': [], 'data_offset': 0}","[-6.25049724476412e-05, 0.07221448421478271, 0.015228006057441235, -5.5596658057766035e-05, 0.07991441339254379, 0.030248168855905533, -3.4778189728967845e-05, 0.07281527668237686, 0.022826075553894043, -2.991297333210241e-05, 0.07072988897562027, 0.01441581267863512, -5.561557918554172e-05, 0.08000002056360245, 0.030334750190377235, -3.731650940608233e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.647209708,"{'dim': [], 'data_offset': 0}","[-6.249099533306435e-05, 0.07221448421478271, 0.015228006057441235, -5.5596658057766035e-05, 0.07991441339254379, 0.030248168855905533, -3.479032966424711e-05, 0.07281527668237686, 0.022826075553894043, -2.9902381356805563e-05, 0.07072988897562027, 0.01441581267863512, -5.561557918554172e-05, 0.08000002056360245, 0.030334750190377235, -3.7325287848943844e-05, 0.07142828404903412, 0.02197554148733616]"
2026/01/30 15:24:31.652335124,"{'dim': [], 'data_offset': 0}","[-6.247702549444512e-05, 0.07221448421478271, 0.015228006057441235, -5.5596658057766035e-05, 0.07991441339254379, 0.030248168855905533, -3.4802458685589954e-05, 0.07281527668237686, 0.022826075553894043, -2.9891798476455733e-05, 0.07072988897562027, 0.01441581267863512, -5.5615582823520526e-05, 0.08000002056360245, 0.030334750190377235, -3.7334055377868935e-05, 0.07142828404903412, 0.02197554148733616]"
