time,layout,data
2026/01/30 15:27:00.426780693,"{'dim': [], 'data_offset': 0}","[3.496159479254857e-05, -0.017599379643797874, 0.0033062819857150316, 2.3492304535466246e-05, -0.020237360149621964, -0.0030385374557226896, -6.1262044255272485e-06, -0.017568133771419525, 0.0008484875434078276, 2.4692901206435636e-05, -0.017105940729379654, 0.0035777564626187086, 2.407716056040954e-05, -0.01974230445921421, -0.0027557145804166794, -5.367271569411969e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.426837353,"{'dim': [], 'data_offset': 0}","[3.494566772133112e-05, -0.017599379643797874, 0.0033062819857150316, 2.3487980797654018e-05, -0.020237360149621964, -0.0030385374557226896, -6.104091880843043e-06, -0.017568133771419525, 0.0008484875434078276, 2.4679457055754028e-05, -0.017105940729379654, 0.0035777564626187086, 2.4071536245173775e-05, -0.01974230445921421, -0.0027557145804166794, -5.346139005268924e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.426877884,"{'dim': [], 'data_offset': 0}","[3.49297552020289e-05, -0.017599379643797874, 0.0033062819857150316, 2.3483664335799403e-05, -0.020237360149621964, -0.0030385374557226896, -6.082001164031681e-06, -0.017568133771419525, 0.0008484875434078276, 2.4666023819008842e-05, -0.017105940729379654, 0.0035777564626187086, 2.4065919205895625e-05, -0.01974230445921421, -0.0027557145804166794, -5.32502735950402e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.426912044,"{'dim': [], 'data_offset': 0}","[3.491385723464191e-05, -0.017599381506443024, 0.0033062819857150316, 2.3479351511923596e-05, -0.020237360149621964, -0.0030385374557226896, -6.059933184587862e-06, -0.017568133771419525, 0.0008484875434078276, 2.465260331518948e-05, -0.017105940729379654, 0.0035777564626187086, 2.4060311261564493e-05, -0.01974230445921421, -0.0027557145804166794, -5.303937086864607e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.426941425,"{'dim': [], 'data_offset': 0}","[3.489797018119134e-05, -0.017599381506443024, 0.0033062819857150316, 2.3475045964005403e-05, -0.020237360149621964, -0.0030385374557226896, -6.037886578269536e-06, -0.017568133771419525, 0.0008484875434078276, 2.4639191906317137e-05, -0.017105940729379654, 0.0035777564626187086, 2.4054708774201572e-05, -0.01974230445921421, -0.0027557145804166794, -5.282868187350687e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.426972199,"{'dim': [], 'data_offset': 0}","[3.4882097679656e-05, -0.017599381506443024, 0.0033062819857150316, 2.3470744054066017e-05, -0.020237360149621964, -0.0030385374557226896, -6.0158622545714024e-06, -0.017568133771419525, 0.0008484876016154885, 2.4625791411381215e-05, -0.017105940729379654, 0.0035777564626187086, 2.4049113562796265e-05, -0.01974230445921421, -0.0027557145804166794, -5.261820206214907e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.426997814,"{'dim': [], 'data_offset': 0}","[3.4866239730035886e-05, -0.017599381506443024, 0.0033062819857150316, 2.3466449420084246e-05, -0.020237360149621964, -0.0030385374557226896, -5.993860213493463e-06, -0.017568133771419525, 0.0008484876016154885, 2.4612401830381714e-05, -0.017105940729379654, 0.0035777564626187086, 2.4043525627348572e-05, -0.01974230445921421, -0.0027557145804166794, -5.240794052951969e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.427032605,"{'dim': [], 'data_offset': 0}","[3.4850396332331e-05, -0.017599381506443024, 0.0033062819857150316, 2.346215842408128e-05, -0.020237360149621964, -0.0030385374557226896, -5.9718795455410145e-06, -0.017568133771419525, 0.0008484876016154885, 2.4599023163318634e-05, -0.017105940729379654, 0.0035777564626187086, 2.403794314886909e-05, -0.01974230445921421, -0.0027557145804166794, -5.219788363319822e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.431833123,"{'dim': [], 'data_offset': 0}","[3.483456384856254e-05, -0.017599381506443024, 0.0033062819857150316, 2.345787470403593e-05, -0.020237360149621964, -0.0030385374557226896, -5.94992116020876e-06, -0.017568133771419525, 0.0008484876016154885, 2.4585655410191976e-05, -0.017105940729379654, 0.0035777564626187086, 2.4032369765336625e-05, -0.01974230445921421, -0.0027557145804166794, -5.198804501560517e-06, -0.01711035519838333, 0.001130774267949164]"
2026/01/30 15:27:00.436739757,"{'dim': [], 'data_offset': 0}","[3.4818745916709304e-05, -0.017599381506443024, 0.0033062819857150316, 2.3453594621969387e-05, -0.020237360149621964, -0.0030385374557226896, -5.9279850574966986e-06, -0.017568133771419525, 0.0008484876016154885, 2.4572296752012335e-05, -0.017105940729379654, 0.0035777564626187086, 2.4026803657761775e-05, -0.01974230445921421, -0.0027557145804166794, -5.1778415581793524e-06, -0.01711035519838333, 0.001130774267949164]"
