time,layout,data
2026/01/30 15:27:00.426775003,"{'dim': [], 'data_offset': 0}","[0.00017480796668678522, -0.08813318610191345, 0.01653231307864189, 0.00011746151722036302, -0.10139401257038116, -0.015193388797342777, -3.063102121814154e-05, -0.08797622472047806, 0.004242452792823315, 0.00012346450239419937, -0.0856548398733139, 0.017889926210045815, 0.00012038579734507948, -0.09890389442443848, -0.01377909630537033, -2.6836358301807195e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.426834197,"{'dim': [], 'data_offset': 0}","[0.0001747283386066556, -0.08813318610191345, 0.01653231307864189, 0.0001174399076262489, -0.10139401257038116, -0.015193388797342777, -3.052045940421522e-05, -0.08797622472047806, 0.004242452792823315, 0.00012339728709775954, -0.0856548398733139, 0.017889926210045815, 0.00012035768304485828, -0.09890389442443848, -0.01377909630537033, -2.6730693207355216e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.426874308,"{'dim': [], 'data_offset': 0}","[0.00017464878328610212, -0.08813318610191345, 0.01653231307864189, 0.00011741831986000761, -0.10139401257038116, -0.015193388797342777, -3.0410006729653105e-05, -0.08797622472047806, 0.004242453258484602, 0.00012333013000898063, -0.0856548398733139, 0.017889926210045815, 0.00012032959784846753, -0.09890389442443848, -0.01377909630537033, -2.662513725226745e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.426907125,"{'dim': [], 'data_offset': 0}","[0.00017456928617320955, -0.08813318610191345, 0.01653231307864189, 0.00011739676119759679, -0.10139401257038116, -0.015193388797342777, -3.029966501344461e-05, -0.08797622472047806, 0.004242453258484602, 0.0001232630165759474, -0.0856548398733139, 0.017889926210045815, 0.00012030155630782247, -0.09890389442443848, -0.01377909630537033, -2.6519684979575686e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.426939452,"{'dim': [], 'data_offset': 0}","[0.00017448986181989312, -0.08813318610191345, 0.01653231307864189, 0.0001173752243630588, -0.10139401257038116, -0.015193388797342777, -3.018943425558973e-05, -0.08797622472047806, 0.004242453258484602, 0.0001231959613505751, -0.0856548398733139, 0.017889926210045815, 0.00012027354387100786, -0.09890389442443848, -0.01377909630537033, -2.641434002725873e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.426968623,"{'dim': [], 'data_offset': 0}","[0.0001744104956742376, -0.08813318610191345, 0.01653231307864189, 0.0001173537239083089, -0.10139401257038116, -0.015193388797342777, -3.0079312637099065e-05, -0.08797622472047806, 0.004242453258484602, 0.0001231289643328637, -0.0856548398733139, 0.017889926210045815, 0.00012024556781398132, -0.09890389442443848, -0.01377909630537033, -2.6309102395316586e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.426995721,"{'dim': [], 'data_offset': 0}","[0.00017433120228815824, -0.08813318610191345, 0.01653231307864189, 0.00011733224528143182, -0.10139401257038116, -0.015193388797342777, -2.996930015797261e-05, -0.08797622472047806, 0.004242453258484602, 0.00012306201097089797, -0.0856548398733139, 0.017889926210045815, 0.00012021762813674286, -0.09890389442443848, -0.01377909630537033, -2.6203968445770442e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.427029750,"{'dim': [], 'data_offset': 0}","[0.000174251981661655, -0.08813318610191345, 0.01653231307864189, 0.00011731079575838521, -0.10139401257038116, -0.015193388797342777, -2.9859398637199774e-05, -0.08797622472047806, 0.004242453258484602, 0.00012299511581659317, -0.0856548398733139, 0.017889926210045815, 0.00012018971756333485, -0.09890389442443848, -0.01377909630537033, -2.6098943635588512e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.431967098,"{'dim': [], 'data_offset': 0}","[0.0001741728192428127, -0.08813318610191345, 0.01653231307864189, 0.00011728936806321144, -0.10139401257038116, -0.015193388797342777, -2.974960625579115e-05, -0.08797622472047806, 0.004242453258484602, 0.00012292827886994928, -0.0856548398733139, 0.017889926210045815, 0.00012016185064567253, -0.09890389442443848, -0.01377909630537033, -2.5994022507802583e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.436866238,"{'dim': [], 'data_offset': 0}","[0.00017409372958354652, -0.08813318610191345, 0.01653231307864189, 0.00011726796947186813, -0.10139401257038116, -0.015193388797342777, -2.9639924832736142e-05, -0.08797622472047806, 0.004242453258484602, 0.00012286148557905108, -0.0856548398733139, 0.017889926210045815, 0.00012013401283184066, -0.09890389442443848, -0.01377909630537033, -2.5889208700391464e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.441784633,"{'dim': [], 'data_offset': 0}","[0.00017401469813194126, -0.08813318610191345, 0.01653231307864189, 0.00011724659998435527, -0.10139401257038116, -0.015193388797342777, -2.9530352549045347e-05, -0.08797622472047806, 0.004242453258484602, 0.0001227947504958138, -0.0856548398733139, 0.017889926210045815, 0.00012010621139779687, -0.09890389442443848, -0.01377909630537033, -2.5784498575376347e-05, -0.08567701280117035, 0.005653907544910908]"
2026/01/30 15:27:00.447046039,"{'dim': [], 'data_offset': 0}","[0.00017393573943991214, -0.08813318610191345, 0.01653231307864189, 0.00011722525960067287, -0.10139401257038116, -0.015193388797342777, -2.942088758572936e-05, -0.08797622472047806, 0.004242453258484602, 0.0001227280736202374, -0.0856548398733139, 0.017889926210045815, 0.00012007844634354115, -0.09890389442443848, -0.01377909630537033, -2.567989577073604e-05, -0.08567700535058975, 0.005653907544910908]"
2026/01/30 15:27:00.452154957,"{'dim': [], 'data_offset': 0}","[0.00017385685350745916, -0.08813318610191345, 0.01653231307864189, 0.00011720394104486331, -0.10139401257038116, -0.015193388797342777, -2.931153358076699e-05, -0.08797622472047806, 0.004242453258484602, 0.00012266144040040672, -0.0856548398733139, 0.017889926210045815, 0.00012005071766907349, -0.09890389442443848, -0.01377909630537033, -2.5575398467481136e-05, -0.08567700535058975, 0.005653907544910908]"
2026/01/30 15:27:00.457437200,"{'dim': [], 'data_offset': 0}","[0.0001737780257826671, -0.08813318610191345, 0.01653231307864189, 0.00011718265159288421, -0.10139401257038116, -0.015193388797342777, -2.9202288715168834e-05, -0.08797622472047806, 0.004242453258484602, 0.00012259487994015217, -0.0856548398733139, 0.017889926210045815, 0.00012002302537439391, -0.09890389442443848, -0.01377909630537033, -2.5471004846622236e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.462708994,"{'dim': [], 'data_offset': 0}","[0.00017369925626553595, -0.08813318610191345, 0.01653231307864189, 0.00011716139124473557, -0.10139401257038116, -0.015193388797342777, -2.909315298893489e-05, -0.08797622472047806, 0.004242453258484602, 0.00012252834858372808, -0.0856548398733139, 0.017889926210045815, 0.00011999536218354478, -0.09890389442443848, -0.01377909630537033, -2.5366718546138145e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.467426075,"{'dim': [], 'data_offset': 0}","[0.00017362057405989617, -0.08813318610191345, 0.01653231307864189, 0.00011714015272445977, -0.10139401257038116, -0.015193388797342777, -2.8984126402065158e-05, -0.08797622472047806, 0.004242453724145889, 0.00012246188998688012, -0.0856548398733139, 0.017889926210045815, 0.00011996774264844134, -0.09890389442443848, -0.01377909630537033, -2.5262535928050056e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.472469549,"{'dim': [], 'data_offset': 0}","[0.0001735419500619173, -0.08813318610191345, 0.01653231307864189, 0.00011711894330801442, -0.10139401257038116, -0.015193388797342777, -2.887520895455964e-05, -0.08797622472047806, 0.004242453724145889, 0.00012239547504577786, -0.0856548398733139, 0.017889926210045815, 0.00011994015221716836, -0.09890389442443848, -0.01377909630537033, -2.5158458811347373e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.477590308,"{'dim': [], 'data_offset': 0}","[0.00017346338427159935, -0.08813318610191345, 0.01653231307864189, 0.00011709776299539953, -0.10139401257038116, -0.015193388797342777, -2.876639882742893e-05, -0.08797622472047806, 0.004242453724145889, 0.0001223291183123365, -0.0856548398733139, 0.017889926210045815, 0.00011991259816568345, -0.09890389442443848, -0.01377909630537033, -2.5054487196030095e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.482576341,"{'dim': [], 'data_offset': 0}","[0.00017338489124085754, -0.08813318610191345, 0.01653231307864189, 0.00011707660451065749, -0.10139401257038116, -0.015193388797342777, -2.8657697839662433e-05, -0.08797622472047806, 0.004242453724145889, 0.00012226280523464084, -0.0856548398733139, 0.017889926210045815, 0.00011988507321802899, -0.09890389442443848, -0.01377909630537033, -2.4950621082098223e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.487725510,"{'dim': [], 'data_offset': 0}","[0.00017330647096969187, -0.08813318610191345, 0.01653231307864189, 0.0001170554751297459, -0.10139401257038116, -0.015193388797342777, -2.854910599126015e-05, -0.08797622472047806, 0.004242453724145889, 0.00012219655036460608, -0.0856548398733139, 0.017889926210045815, 0.00011985759192612022, -0.09890389442443848, -0.01377909630537033, -2.4846858650562353e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.492833788,"{'dim': [], 'data_offset': 0}","[0.00017322810890618712, -0.08813318610191345, 0.01653231307864189, 0.00011703437485266477, -0.10139401257038116, -0.015193388797342777, -2.8440621463232674e-05, -0.08797622472047806, 0.004242453724145889, 0.00012213035370223224, -0.0856548398733139, 0.017889926210045815, 0.00011983013973804191, -0.09890389442443848, -0.01377909630537033, -2.4743199901422486e-05, -0.08567700535058975, 0.005653908010572195]"
2026/01/30 15:27:00.498507917,"{'dim': [], 'data_offset': 0}","[0.0001731498196022585, -0.08813318610191345, 0.01653231307864189, 0.00011701329640345648, -0.10139401257038116, -0.015193388797342777, -2.833224607456941e-05, -0.08797622472047806, 0.004242453724145889, 0.00012206420069560409, -0.0856548398733139, 0.017889926210045815, 0.00011980272392975166, -0.09890389442443848, -0.01377909630537033, -2.4639646653668024e-05, -0.08567700535058975, 0.005653908010572195]"
