time,layout,data
2026/01/30 15:27:00.426750170,"{'dim': [], 'data_offset': 0}","[-3.1878760182735277e-06, -1.928706083731413e-09, -1.1388651133259486e-09, -8.656372187942907e-07, -5.841835348796565e-10, -3.885640698086945e-10, 4.4269158934184816e-06, 2.3626158807132924e-09, 1.4563539263434677e-09, -2.6908080599241657e-06, -7.628347398203061e-10, -3.4222014111406907e-10, -1.1261404324613977e-06, -5.814528858394397e-10, -3.008196192144652e-10, 4.230839294905309e-06, 2.427270606730758e-09, 1.5004555375952577e-09]"
2026/01/30 15:27:00.426831192,"{'dim': [], 'data_offset': 0}","[-3.1851805033511482e-06, -1.9270611772981283e-09, -1.1378633590908294e-09, -8.645486673231062e-07, -5.834508987057063e-10, -3.88083620794788e-10, 4.422495294420514e-06, 2.360286410763024e-09, 1.4549045301848196e-09, -2.6886548312177183e-06, -7.622569797582912e-10, -3.420043970248088e-10, -1.1247182101215003e-06, -5.807169189964156e-10, -3.004347604029789e-10, 4.226571036269888e-06, 2.424803469125436e-09, 1.49893852885441e-09]"
2026/01/30 15:27:00.426870541,"{'dim': [], 'data_offset': 0}","[-3.182487262165523e-06, -1.9254193794893126e-09, -1.1368602725880805e-09, -8.634614232505555e-07, -5.827207605335616e-10, -3.876020615578568e-10, 4.418079697643407e-06, 2.357955164455916e-09, 1.4534585757175478e-09, -2.6865034215006744e-06, -7.616821617872915e-10, -3.417865157562261e-10, -1.1232976930841687e-06, -5.799830615771384e-10, -3.000483750348337e-10, 4.222307779855328e-06, 2.4223383299215584e-09, 1.4974257389610557e-09]"
2026/01/30 15:27:00.426905102,"{'dim': [], 'data_offset': 0}","[-3.179796067342977e-06, -1.923776915546682e-09, -1.1358582963083563e-09, -8.623754865766387e-07, -5.819911219617779e-10, -3.871220011220089e-10, 4.413668193592457e-06, 2.3556285810855115e-09, 1.452013842495603e-09, -2.6843533760256832e-06, -7.611049013256377e-10, -3.415691618435801e-10, -1.121878881349403e-06, -5.792502588697346e-10, -2.9966340520104495e-10, 4.218048616166925e-06, 2.419875633208335e-09, 1.4959139482684236e-09]"
2026/01/30 15:27:00.426937428,"{'dim': [], 'data_offset': 0}","[-3.177107373630861e-06, -1.9221386704515453e-09, -1.1348547657163977e-09, -8.612908573013556e-07, -5.812638703694972e-10, -3.866411080188925e-10, 4.409261237015016e-06, 2.3533035520273415e-09, 1.4505717738089174e-09, -2.68220492216642e-06, -7.605310270442089e-10, -3.413494487070068e-10, -1.120461774917203e-06, -5.785188994522628e-10, -2.9927729738865594e-10, 4.21379354520468e-06, 2.4174127144505064e-09, 1.4944044890441432e-09]"
2026/01/30 15:27:00.426966700,"{'dim': [], 'data_offset': 0}","[-3.174420498908148e-06, -1.9205024237578527e-09, -1.133851235124439e-09, -8.602075922681252e-07, -5.805380620671485e-10, -3.861597985821419e-10, 4.404858373163734e-06, 2.350977190701542e-09, 1.449132147612886e-09, -2.680058059922885e-06, -7.59960705476459e-10, -3.411291249477699e-10, -1.1190464874744066e-06, -5.77791148259621e-10, -2.98891689176628e-10, 4.209543021715945e-06, 2.4149517940941223e-09, 1.492897916399727e-09]"
2026/01/30 15:27:00.426993747,"{'dim': [], 'data_offset': 0}","[-3.1717361252958653e-06, -1.9188703959116538e-09, -1.1328519233799739e-09, -8.591256346335285e-07, -5.798130309209171e-10, -3.856812091918016e-10, 4.400460511533311e-06, 2.348654826178631e-09, 1.447692410394552e-09, -2.6779130166687537e-06, -7.593892181745332e-10, -3.409112159236116e-10, -1.117632905334176e-06, -5.770630640000718e-10, -2.9850802385489317e-10, 4.205297045700718e-06, 2.4124926500945776e-09, 1.4913906776214958e-09]"
2026/01/30 15:27:00.427027506,"{'dim': [], 'data_offset': 0}","[-3.1690537980466615e-06, -1.9172365917086154e-09, -1.1318543879923482e-09, -8.580449843975657e-07, -5.790891099977102e-10, -3.852042018692714e-10, 4.396066742629046e-06, 2.3463342380125596e-09, 1.4462523401093108e-09, -2.675769337656675e-06, -7.588161210492217e-10, -3.4069411181114617e-10, -1.116221142183349e-06, -5.763368116085132e-10, -2.981264402013295e-10, 4.201055617159e-06, 2.4100372808533166e-09, 1.4898836608878696e-09]"
2026/01/30 15:27:00.431862675,"{'dim': [], 'data_offset': 0}","[-3.1663735171605367e-06, -1.9156034536393918e-09, -1.130858184872352e-09, -8.569656415602367e-07, -5.783646339629911e-10, -3.8472777741382913e-10, 4.39167797594564e-06, 2.344016536426352e-09, 1.4448137131140015e-09, -2.6736274776339997e-06, -7.582434125019688e-10, -3.404781734328566e-10, -1.11481097064825e-06, -5.756090049047202e-10, -2.9774485654776583e-10, 4.19681828134344e-06, 2.4075850202365245e-09, 1.488378198466478e-09]"
2026/01/30 15:27:00.436776491,"{'dim': [], 'data_offset': 0}","[-3.1636957373848418e-06, -1.913973646239242e-09, -1.129861759707751e-09, -8.558876061215415e-07, -5.776431000192872e-10, -3.8425190806989917e-10, 4.387292847241042e-06, 2.3416995009739594e-09, 1.4433763073640193e-09, -2.6714872092270525e-06, -7.576718141777405e-10, -3.402610138092399e-10, -1.1134026181025547e-06, -5.748843623365474e-10, -2.973634949388071e-10, 4.1925850382540375e-06, 2.405134758021177e-09, 1.486874845468833e-09]"
