time,layout,data
2025/08/01 14:21:32.581928331,"{'dim': [], 'data_offset': 0}",[5.088477905701438e-07]
2025/08/01 14:21:32.582141440,"{'dim': [], 'data_offset': 0}",[2.203101757913828e-06]
2025/08/01 14:21:32.583166509,"{'dim': [], 'data_offset': 0}",[2.5382209969393443e-06]
2025/08/01 14:21:32.586036691,"{'dim': [], 'data_offset': 0}",[3.2556540645600762e-06]
2025/08/01 14:21:32.586446868,"{'dim': [], 'data_offset': 0}",[4.730494765681215e-06]
2025/08/01 14:21:32.587154282,"{'dim': [], 'data_offset': 0}",[4.929741862724768e-06]
2025/08/01 14:21:32.588086838,"{'dim': [], 'data_offset': 0}",[5.614175279333722e-06]
2025/08/01 14:21:32.589085948,"{'dim': [], 'data_offset': 0}",[6.361676241795067e-06]
2025/08/01 14:21:32.590103963,"{'dim': [], 'data_offset': 0}",[7.17252032700344e-06]
2025/08/01 14:21:32.591114214,"{'dim': [], 'data_offset': 0}",[8.069154318945948e-06]
2025/08/01 14:21:32.592201880,"{'dim': [], 'data_offset': 0}",[9.01563271327177e-06]
2025/08/01 14:21:32.593118766,"{'dim': [], 'data_offset': 0}",[1.0005053809436504e-05]
2025/08/01 14:21:32.594091065,"{'dim': [], 'data_offset': 0}",[1.1023751540051308e-05]
2025/08/01 14:21:32.595084835,"{'dim': [], 'data_offset': 0}",[1.212574261444388e-05]
2025/08/01 14:21:32.596131033,"{'dim': [], 'data_offset': 0}",[1.3287271031003911e-05]
2025/08/01 14:21:32.597104045,"{'dim': [], 'data_offset': 0}",[1.4502716112474445e-05]
2025/08/01 14:21:32.598125687,"{'dim': [], 'data_offset': 0}",[1.582388904353138e-05]
2025/08/01 14:21:32.599085453,"{'dim': [], 'data_offset': 0}",[1.7137452232418582e-05]
2025/08/01 14:21:32.600061971,"{'dim': [], 'data_offset': 0}",[1.849839281931054e-05]
2025/08/01 14:21:32.601069627,"{'dim': [], 'data_offset': 0}",[1.9938308469136246e-05]
2025/08/01 14:21:32.602061403,"{'dim': [], 'data_offset': 0}",[2.143984238500707e-05]
2025/08/01 14:21:32.603073437,"{'dim': [], 'data_offset': 0}",[1.9611796233220957e-05]
2025/08/01 14:21:32.604136867,"{'dim': [], 'data_offset': 0}",[2.464020326442551e-05]
2025/08/01 14:21:32.605100852,"{'dim': [], 'data_offset': 0}",[2.6329002139391378e-05]
2025/08/01 14:21:32.606086887,"{'dim': [], 'data_offset': 0}",[2.430417407595087e-05]
2025/08/01 14:21:32.607162149,"{'dim': [], 'data_offset': 0}",[2.888988092308864e-05]
2025/08/01 14:21:32.608107559,"{'dim': [], 'data_offset': 0}",[2.837135616573505e-05]
2025/08/01 14:21:32.610963314,"{'dim': [], 'data_offset': 0}",[2.89938943751622e-05]
2025/08/01 14:21:32.611290917,"{'dim': [], 'data_offset': 0}",[4.113771137781441e-05]
2025/08/01 14:21:32.612075235,"{'dim': [], 'data_offset': 0}",[3.517520599416457e-05]
2025/08/01 14:21:32.613062633,"{'dim': [], 'data_offset': 0}",[4.1586194129195064e-05]
2025/08/01 14:21:32.614087742,"{'dim': [], 'data_offset': 0}",[4.3698775698430836e-05]
2025/08/01 14:21:32.615183993,"{'dim': [], 'data_offset': 0}",[4.597125735017471e-05]
2025/08/01 14:21:32.616287018,"{'dim': [], 'data_offset': 0}",[4.7721059672767296e-05]
2025/08/01 14:21:32.617075544,"{'dim': [], 'data_offset': 0}",[5.1096743845846504e-05]
2025/08/01 14:21:32.618076998,"{'dim': [], 'data_offset': 0}",[5.260355828795582e-05]
2025/08/01 14:21:32.619118848,"{'dim': [], 'data_offset': 0}",[5.5242777307284996e-05]
2025/08/01 14:21:32.620134739,"{'dim': [], 'data_offset': 0}",[5.7540019042789936e-05]
2025/08/01 14:21:32.621176439,"{'dim': [], 'data_offset': 0}",[6.005152681609616e-05]
2025/08/01 14:21:32.622190417,"{'dim': [], 'data_offset': 0}",[6.245363329071552e-05]
2025/08/01 14:21:32.623067769,"{'dim': [], 'data_offset': 0}",[6.499719165731221e-05]
2025/08/01 14:21:32.624100111,"{'dim': [], 'data_offset': 0}",[6.751050386810675e-05]
2025/08/01 14:21:32.625101395,"{'dim': [], 'data_offset': 0}",[7.014541188254952e-05]
2025/08/01 14:21:32.626118729,"{'dim': [], 'data_offset': 0}",[7.276699761860073e-05]
2025/08/01 14:21:32.627138718,"{'dim': [], 'data_offset': 0}",[7.53666608943604e-05]
2025/08/01 14:21:32.628285865,"{'dim': [], 'data_offset': 0}",[7.252820796566084e-05]
2025/08/01 14:21:32.629155282,"{'dim': [], 'data_offset': 0}",[8.082166459644213e-05]
2025/08/01 14:21:32.630098327,"{'dim': [], 'data_offset': 0}",[8.349834388354793e-05]
2025/08/01 14:21:32.631154133,"{'dim': [], 'data_offset': 0}",[8.038865053094923e-05]
2025/08/01 14:21:32.632124079,"{'dim': [], 'data_offset': 0}",[8.311383135151118e-05]
