time,layout,data
2025/08/01 14:25:37.721254873,"{'dim': [], 'data_offset': 0}",[2.2758665636501973e-06]
2025/08/01 14:25:37.721470567,"{'dim': [], 'data_offset': 0}",[5.75975582250976e-06]
2025/08/01 14:25:37.722213437,"{'dim': [], 'data_offset': 0}",[1.0687186659197323e-05]
2025/08/01 14:25:37.723140763,"{'dim': [], 'data_offset': 0}",[1.8944754629046656e-05]
2025/08/01 14:25:37.724196659,"{'dim': [], 'data_offset': 0}",[2.9530203391914256e-05]
2025/08/01 14:25:37.726393270,"{'dim': [], 'data_offset': 0}",[4.979825462214649e-05]
2025/08/01 14:25:37.726834075,"{'dim': [], 'data_offset': 0}",[6.842035509180278e-05]
2025/08/01 14:25:37.727122755,"{'dim': [], 'data_offset': 0}",[7.566504064016044e-05]
2025/08/01 14:25:37.728125592,"{'dim': [], 'data_offset': 0}",[9.50614339672029e-05]
2025/08/01 14:25:37.729116848,"{'dim': [], 'data_offset': 0}",[0.00011712517152773216]
2025/08/01 14:25:37.730167905,"{'dim': [], 'data_offset': 0}",[0.00014276409638114274]
2025/08/01 14:25:37.731260540,"{'dim': [], 'data_offset': 0}",[0.0001696268009254709]
2025/08/01 14:25:37.732128955,"{'dim': [], 'data_offset': 0}",[0.00019702178542502224]
2025/08/01 14:25:37.733127534,"{'dim': [], 'data_offset': 0}",[0.00022788088244851679]
2025/08/01 14:25:37.734136262,"{'dim': [], 'data_offset': 0}",[0.0002612241660244763]
2025/08/01 14:25:37.735136985,"{'dim': [], 'data_offset': 0}",[0.00029636052204295993]
2025/08/01 14:25:37.736207679,"{'dim': [], 'data_offset': 0}",[0.00033580619492568076]
2025/08/01 14:25:37.737263495,"{'dim': [], 'data_offset': 0}",[0.000375437579350546]
2025/08/01 14:25:37.738123084,"{'dim': [], 'data_offset': 0}",[0.0004148694279137999]
2025/08/01 14:25:37.739125981,"{'dim': [], 'data_offset': 0}",[0.00045848896843381226]
2025/08/01 14:25:37.740122226,"{'dim': [], 'data_offset': 0}",[0.0005040710675530136]
2025/08/01 14:25:37.741122959,"{'dim': [], 'data_offset': 0}",[0.0005516349337995052]
2025/08/01 14:25:37.742271568,"{'dim': [], 'data_offset': 0}",[0.0006038435967639089]
2025/08/01 14:25:37.743092134,"{'dim': [], 'data_offset': 0}",[0.0006524122436530888]
2025/08/01 14:25:37.744108567,"{'dim': [], 'data_offset': 0}",[0.0007059695199131966]
2025/08/01 14:25:37.745174662,"{'dim': [], 'data_offset': 0}",[0.0007600647513754666]
2025/08/01 14:25:37.746287054,"{'dim': [], 'data_offset': 0}",[0.0008186175255104899]
2025/08/01 14:25:37.747050563,"{'dim': [], 'data_offset': 0}",[0.0008738349424675107]
2025/08/01 14:25:37.748077545,"{'dim': [], 'data_offset': 0}",[0.0009339781245216727]
2025/08/01 14:25:37.749033003,"{'dim': [], 'data_offset': 0}",[0.0009957284200936556]
2025/08/01 14:25:37.751964991,"{'dim': [], 'data_offset': 0}",[0.001094887382350862]
2025/08/01 14:25:37.752968419,"{'dim': [], 'data_offset': 0}",[0.001249111955985427]
2025/08/01 14:25:37.753377565,"{'dim': [], 'data_offset': 0}",[0.0012729907175526023]
2025/08/01 14:25:37.754045996,"{'dim': [], 'data_offset': 0}",[0.0013275598175823689]
2025/08/01 14:25:37.755091843,"{'dim': [], 'data_offset': 0}",[0.001397973275743425]
2025/08/01 14:25:37.756076145,"{'dim': [], 'data_offset': 0}",[0.0014698054874315858]
2025/08/01 14:25:37.757077149,"{'dim': [], 'data_offset': 0}",[0.0015429210616275668]
2025/08/01 14:25:37.758076569,"{'dim': [], 'data_offset': 0}",[0.0016170889139175415]
2025/08/01 14:25:37.759071552,"{'dim': [], 'data_offset': 0}",[0.0016926267417147756]
2025/08/01 14:25:37.760113612,"{'dim': [], 'data_offset': 0}",[0.0017689738888293505]
2025/08/01 14:25:37.761038313,"{'dim': [], 'data_offset': 0}",[0.001846359227783978]
2025/08/01 14:25:37.762073811,"{'dim': [], 'data_offset': 0}",[0.0019247811287641525]
2025/08/01 14:25:37.763075646,"{'dim': [], 'data_offset': 0}",[0.0020040306262671947]
2025/08/01 14:25:37.764073654,"{'dim': [], 'data_offset': 0}",[0.0020841213408857584]
2025/08/01 14:25:37.765075980,"{'dim': [], 'data_offset': 0}",[0.002164972946047783]
2025/08/01 14:25:37.766077414,"{'dim': [], 'data_offset': 0}",[0.002246815711259842]
2025/08/01 14:25:37.767057408,"{'dim': [], 'data_offset': 0}",[0.0023287662770599127]
2025/08/01 14:25:37.768030409,"{'dim': [], 'data_offset': 0}",[0.002411521738395095]
2025/08/01 14:25:37.769026203,"{'dim': [], 'data_offset': 0}",[0.0024947829078882933]
2025/08/01 14:25:37.770077701,"{'dim': [], 'data_offset': 0}",[0.0025785646867007017]
2025/08/01 14:25:37.771074356,"{'dim': [], 'data_offset': 0}",[0.0026626011822372675]
2025/08/01 14:25:37.772100567,"{'dim': [], 'data_offset': 0}",[0.0027469452470541]
2025/08/01 14:25:37.773047760,"{'dim': [], 'data_offset': 0}",[0.002831650897860527]
2025/08/01 14:25:37.774090181,"{'dim': [], 'data_offset': 0}",[0.0029165709856897593]
2025/08/01 14:25:37.775074162,"{'dim': [], 'data_offset': 0}",[0.003001353470608592]
2025/08/01 14:25:37.776100173,"{'dim': [], 'data_offset': 0}",[0.003086355049163103]
2025/08/01 14:25:37.777072913,"{'dim': [], 'data_offset': 0}",[0.003171183168888092]
2025/08/01 14:25:37.778115074,"{'dim': [], 'data_offset': 0}",[0.0032559307292103767]
2025/08/01 14:25:37.779086732,"{'dim': [], 'data_offset': 0}",[0.003340589115396142]
2025/08/01 14:25:37.780070874,"{'dim': [], 'data_offset': 0}",[0.0034249674063175917]
2025/08/01 14:25:37.781099169,"{'dim': [], 'data_offset': 0}",[0.0035093361511826515]
2025/08/01 14:25:37.782051682,"{'dim': [], 'data_offset': 0}",[0.003592765424400568]
2025/08/01 14:25:37.783045061,"{'dim': [], 'data_offset': 0}",[0.0036761038936674595]
2025/08/01 14:25:37.784122588,"{'dim': [], 'data_offset': 0}",[0.0037588037084788084]
2025/08/01 14:25:37.785041668,"{'dim': [], 'data_offset': 0}",[0.003841089317575097]
2025/08/01 14:25:37.786034947,"{'dim': [], 'data_offset': 0}",[0.003922518342733383]
2025/08/01 14:25:37.787253387,"{'dim': [], 'data_offset': 0}",[0.004012602381408215]
2025/08/01 14:25:37.788073352,"{'dim': [], 'data_offset': 0}",[0.0040832883678376675]
2025/08/01 14:25:37.789071039,"{'dim': [], 'data_offset': 0}",[0.004162222146987915]
2025/08/01 14:25:37.790115324,"{'dim': [], 'data_offset': 0}",[0.004240681417286396]
2025/08/01 14:25:37.791098143,"{'dim': [], 'data_offset': 0}",[0.004317628685384989]
2025/08/01 14:25:37.792095370,"{'dim': [], 'data_offset': 0}",[0.004393608309328556]
2025/08/01 14:25:37.793168167,"{'dim': [], 'data_offset': 0}",[0.00447129225358367]
2025/08/01 14:25:37.794104360,"{'dim': [], 'data_offset': 0}",[0.00454496406018734]
2025/08/01 14:25:37.795188378,"{'dim': [], 'data_offset': 0}",[0.004617704544216394]
2025/08/01 14:25:37.796280052,"{'dim': [], 'data_offset': 0}",[0.004693775903433561]
2025/08/01 14:25:37.797207327,"{'dim': [], 'data_offset': 0}",[0.004763290751725435]
2025/08/01 14:25:37.798180529,"{'dim': [], 'data_offset': 0}",[0.004825932905077934]
2025/08/01 14:25:37.799161725,"{'dim': [], 'data_offset': 0}",[0.004892395809292793]
2025/08/01 14:25:37.800125349,"{'dim': [], 'data_offset': 0}",[0.0049575092270970345]
2025/08/01 14:25:37.801185773,"{'dim': [], 'data_offset': 0}",[0.005020769778639078]
2025/08/01 14:25:37.802174374,"{'dim': [], 'data_offset': 0}",[0.005082514137029648]
2025/08/01 14:25:37.803226403,"{'dim': [], 'data_offset': 0}",[0.005146370269358158]
2025/08/01 14:25:37.804154840,"{'dim': [], 'data_offset': 0}",[0.005199317820370197]
2025/08/01 14:25:37.805167345,"{'dim': [], 'data_offset': 0}",[0.005255056545138359]
2025/08/01 14:25:37.806152840,"{'dim': [], 'data_offset': 0}",[0.005308862775564194]
2025/08/01 14:25:37.807173781,"{'dim': [], 'data_offset': 0}",[0.005360582377761602]
2025/08/01 14:25:37.808265374,"{'dim': [], 'data_offset': 0}",[0.005414158571511507]
2025/08/01 14:25:37.809319386,"{'dim': [], 'data_offset': 0}",[0.005461364984512329]
2025/08/01 14:25:37.810151233,"{'dim': [], 'data_offset': 0}",[0.005502651911228895]
2025/08/01 14:25:37.811154010,"{'dim': [], 'data_offset': 0}",[0.005545449908822775]
2025/08/01 14:25:37.812167647,"{'dim': [], 'data_offset': 0}",[0.005585911218076944]
2025/08/01 14:25:37.813186684,"{'dim': [], 'data_offset': 0}",[0.005624115001410246]
2025/08/01 14:25:37.814164264,"{'dim': [], 'data_offset': 0}",[0.005659449379891157]
2025/08/01 14:25:37.815111707,"{'dim': [], 'data_offset': 0}",[0.005692525301128626]
2025/08/01 14:25:37.816127358,"{'dim': [], 'data_offset': 0}",[0.0057229106314480305]
2025/08/01 14:25:37.817141616,"{'dim': [], 'data_offset': 0}",[0.005750707816332579]
2025/08/01 14:25:37.818109829,"{'dim': [], 'data_offset': 0}",[0.005775820463895798]
2025/08/01 14:25:37.819153713,"{'dim': [], 'data_offset': 0}",[0.005798365455120802]
2025/08/01 14:25:37.820108720,"{'dim': [], 'data_offset': 0}",[0.005817803088575602]
2025/08/01 14:25:37.821198199,"{'dim': [], 'data_offset': 0}",[0.005835919640958309]
2025/08/01 14:25:37.822186208,"{'dim': [], 'data_offset': 0}",[0.005848477594554424]
2025/08/01 14:25:37.823142869,"{'dim': [], 'data_offset': 0}",[0.005859453231096268]
2025/08/01 14:25:37.824218141,"{'dim': [], 'data_offset': 0}",[0.005867558531463146]
2025/08/01 14:25:37.825101965,"{'dim': [], 'data_offset': 0}",[0.005872500129044056]
2025/08/01 14:25:37.826087780,"{'dim': [], 'data_offset': 0}",[0.0058744833804667]
2025/08/01 14:25:37.827197407,"{'dim': [], 'data_offset': 0}",[0.005873134825378656]
2025/08/01 14:25:37.828124643,"{'dim': [], 'data_offset': 0}",[0.005869177170097828]
2025/08/01 14:25:37.829113694,"{'dim': [], 'data_offset': 0}",[0.005861811805516481]
2025/08/01 14:25:37.830094069,"{'dim': [], 'data_offset': 0}",[0.00585127854719758]
2025/08/01 14:25:37.831166586,"{'dim': [], 'data_offset': 0}",[0.005837518721818924]
2025/08/01 14:25:37.832121573,"{'dim': [], 'data_offset': 0}",[0.0058205206878483295]
2025/08/01 14:25:37.833283308,"{'dim': [], 'data_offset': 0}",[0.005798451602458954]
2025/08/01 14:25:37.834124061,"{'dim': [], 'data_offset': 0}",[0.0057766614481806755]
2025/08/01 14:25:37.835122179,"{'dim': [], 'data_offset': 0}",[0.00574974250048399]
2025/08/01 14:25:37.836173858,"{'dim': [], 'data_offset': 0}",[0.0057194773107767105]
2025/08/01 14:25:37.837140046,"{'dim': [], 'data_offset': 0}",[0.005685837008059025]
2025/08/01 14:25:37.838172378,"{'dim': [], 'data_offset': 0}",[0.005647941958159208]
2025/08/01 14:25:37.839109262,"{'dim': [], 'data_offset': 0}",[0.005608392413705587]
2025/08/01 14:25:37.840127337,"{'dim': [], 'data_offset': 0}",[0.005564503837376833]
2025/08/01 14:25:37.841152175,"{'dim': [], 'data_offset': 0}",[0.005517190787941217]
