time,layout,data
2025/08/01 14:30:11.781593953,"{'dim': [], 'data_offset': 0}",[-0.006105006206780672]
2025/08/01 14:30:11.782052882,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.783162870,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.784127666,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.784891004,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.785902317,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.787170521,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.788116060,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.788891492,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.789836621,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.790895813,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.791867852,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.792855240,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.793998079,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.794953818,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.795961935,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.796935828,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.797947752,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.798911716,"{'dim': [], 'data_offset': 0}",[-0.02442002482712269]
2025/08/01 14:30:11.799964987,"{'dim': [], 'data_offset': 0}",[-0.02442002482712269]
2025/08/01 14:30:11.800834034,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.801857750,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.802922012,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 14:30:11.803944405,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
