time,layout,data
2025/08/01 14:33:39.281467114,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.281699458,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 14:33:39.282248095,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 14:33:39.283215255,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 14:33:39.284188838,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.285337097,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.286248863,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.287255998,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.288247724,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 14:33:39.289267673,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.290265311,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.291290069,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.292244745,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.293246480,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.294218560,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 14:33:39.295220224,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.296319251,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.297289788,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.298368507,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 14:33:39.299232183,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 14:33:39.300249608,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
