time,layout,data
2025/08/01 14:38:24.72627838,"{'dim': [], 'data_offset': 0}",[0.0034152637235820293]
2025/08/01 14:38:24.72866454,"{'dim': [], 'data_offset': 0}",[0.007211864925920963]
2025/08/01 14:38:24.73576383,"{'dim': [], 'data_offset': 0}",[0.009307291358709335]
2025/08/01 14:38:24.74561837,"{'dim': [], 'data_offset': 0}",[0.012407831847667694]
2025/08/01 14:38:24.75549015,"{'dim': [], 'data_offset': 0}",[0.01593123935163021]
2025/08/01 14:38:24.76603439,"{'dim': [], 'data_offset': 0}",[0.019423019140958786]
2025/08/01 14:38:24.77614301,"{'dim': [], 'data_offset': 0}",[0.02293315902352333]
2025/08/01 14:38:24.78681438,"{'dim': [], 'data_offset': 0}",[0.026534758508205414]
2025/08/01 14:38:24.79616959,"{'dim': [], 'data_offset': 0}",[0.03005913645029068]
2025/08/01 14:38:24.80584510,"{'dim': [], 'data_offset': 0}",[0.03340652957558632]
2025/08/01 14:38:24.81554064,"{'dim': [], 'data_offset': 0}",[0.03692197799682617]
2025/08/01 14:38:24.82604320,"{'dim': [], 'data_offset': 0}",[0.040350548923015594]
2025/08/01 14:38:24.83609561,"{'dim': [], 'data_offset': 0}",[0.04381992667913437]
2025/08/01 14:38:24.84680155,"{'dim': [], 'data_offset': 0}",[0.0473770871758461]
2025/08/01 14:38:24.85768492,"{'dim': [], 'data_offset': 0}",[0.05094514414668083]
2025/08/01 14:38:24.86551578,"{'dim': [], 'data_offset': 0}",[0.05423491448163986]
2025/08/01 14:38:24.87582187,"{'dim': [], 'data_offset': 0}",[0.05751746892929077]
2025/08/01 14:38:24.88619939,"{'dim': [], 'data_offset': 0}",[0.06093241274356842]
2025/08/01 14:38:24.89608049,"{'dim': [], 'data_offset': 0}",[0.06428837776184082]
2025/08/01 14:38:24.90599484,"{'dim': [], 'data_offset': 0}",[0.06729038804769516]
2025/08/01 14:38:24.91526509,"{'dim': [], 'data_offset': 0}",[0.07150842249393463]
2025/08/01 14:38:24.92606450,"{'dim': [], 'data_offset': 0}",[0.07438911497592926]
2025/08/01 14:38:24.93618695,"{'dim': [], 'data_offset': 0}",[0.07771724462509155]
2025/08/01 14:38:24.94561189,"{'dim': [], 'data_offset': 0}",[0.08117799460887909]
2025/08/01 14:38:24.95556732,"{'dim': [], 'data_offset': 0}",[0.08425860106945038]
2025/08/01 14:38:24.96618249,"{'dim': [], 'data_offset': 0}",[0.08753963559865952]
2025/08/01 14:38:24.97636495,"{'dim': [], 'data_offset': 0}",[0.08923328667879105]
2025/08/01 14:38:24.98538032,"{'dim': [], 'data_offset': 0}",[0.0955234095454216]
2025/08/01 14:38:24.99532834,"{'dim': [], 'data_offset': 0}",[0.09734474122524261]
2025/08/01 14:38:24.100554917,"{'dim': [], 'data_offset': 0}",[0.10051214694976807]
2025/08/01 14:38:24.103395694,"{'dim': [], 'data_offset': 0}",[0.09119689464569092]
2025/08/01 14:38:24.104279959,"{'dim': [], 'data_offset': 0}",[0.12211960554122925]
2025/08/01 14:38:24.104906792,"{'dim': [], 'data_offset': 0}",[0.11427832394838333]
2025/08/01 14:38:24.105431554,"{'dim': [], 'data_offset': 0}",[0.12063009291887283]
2025/08/01 14:38:24.106507047,"{'dim': [], 'data_offset': 0}",[0.11882562190294266]
2025/08/01 14:38:24.107547405,"{'dim': [], 'data_offset': 0}",[0.1223059743642807]
2025/08/01 14:38:24.108640721,"{'dim': [], 'data_offset': 0}",[0.12543658912181854]
2025/08/01 14:38:24.109513344,"{'dim': [], 'data_offset': 0}",[0.1284627765417099]
2025/08/01 14:38:24.110540166,"{'dim': [], 'data_offset': 0}",[0.1312272548675537]
2025/08/01 14:38:24.111548273,"{'dim': [], 'data_offset': 0}",[0.13427650928497314]
2025/08/01 14:38:24.112550188,"{'dim': [], 'data_offset': 0}",[0.13713008165359497]
2025/08/01 14:38:24.113542575,"{'dim': [], 'data_offset': 0}",[0.14004388451576233]
2025/08/01 14:38:24.114615794,"{'dim': [], 'data_offset': 0}",[0.14298172295093536]
2025/08/01 14:38:24.115689814,"{'dim': [], 'data_offset': 0}",[0.14602406322956085]
2025/08/01 14:38:24.116539625,"{'dim': [], 'data_offset': 0}",[0.14865347743034363]
2025/08/01 14:38:24.117542462,"{'dim': [], 'data_offset': 0}",[0.1513245552778244]
2025/08/01 14:38:24.118542393,"{'dim': [], 'data_offset': 0}",[0.15403500199317932]
2025/08/01 14:38:24.119547104,"{'dim': [], 'data_offset': 0}",[0.1568356156349182]
2025/08/01 14:38:24.120696755,"{'dim': [], 'data_offset': 0}",[0.15962563455104828]
2025/08/01 14:38:24.121691497,"{'dim': [], 'data_offset': 0}",[0.1623007208108902]
2025/08/01 14:38:24.122539514,"{'dim': [], 'data_offset': 0}",[0.16477416455745697]
2025/08/01 14:38:24.123558532,"{'dim': [], 'data_offset': 0}",[0.16739051043987274]
2025/08/01 14:38:24.124569223,"{'dim': [], 'data_offset': 0}",[0.16995170712471008]
2025/08/01 14:38:24.125534380,"{'dim': [], 'data_offset': 0}",[0.1723957657814026]
2025/08/01 14:38:24.126653474,"{'dim': [], 'data_offset': 0}",[0.17506788671016693]
2025/08/01 14:38:24.127694503,"{'dim': [], 'data_offset': 0}",[0.1775853931903839]
2025/08/01 14:38:24.128546016,"{'dim': [], 'data_offset': 0}",[0.17991018295288086]
2025/08/01 14:38:24.129562739,"{'dim': [], 'data_offset': 0}",[0.18228964507579803]
2025/08/01 14:38:24.130593278,"{'dim': [], 'data_offset': 0}",[0.1844700574874878]
2025/08/01 14:38:24.131598109,"{'dim': [], 'data_offset': 0}",[0.1869228482246399]
2025/08/01 14:38:24.132684292,"{'dim': [], 'data_offset': 0}",[0.18917080760002136]
2025/08/01 14:38:24.133771497,"{'dim': [], 'data_offset': 0}",[0.1916370391845703]
2025/08/01 14:38:24.134601961,"{'dim': [], 'data_offset': 0}",[0.1937076598405838]
2025/08/01 14:38:24.135601321,"{'dim': [], 'data_offset': 0}",[0.19583560526371002]
2025/08/01 14:38:24.136600642,"{'dim': [], 'data_offset': 0}",[0.19787649810314178]
