time,layout,data
2025/08/01 14:39:48.313771970,"{'dim': [], 'data_offset': 0}",[-0.0004815791908185929]
2025/08/01 14:39:48.314015406,"{'dim': [], 'data_offset': 0}",[-0.00038541422691196203]
2025/08/01 14:39:48.314386610,"{'dim': [], 'data_offset': 0}",[-0.000550326716620475]
2025/08/01 14:39:48.315310359,"{'dim': [], 'data_offset': 0}",[-0.0008382864180020988]
2025/08/01 14:39:48.316301274,"{'dim': [], 'data_offset': 0}",[-0.0010885043302550912]
2025/08/01 14:39:48.317367479,"{'dim': [], 'data_offset': 0}",[-0.0009887925116345286]
2025/08/01 14:39:48.318505519,"{'dim': [], 'data_offset': 0}",[-0.001311808591708541]
2025/08/01 14:39:48.319376139,"{'dim': [], 'data_offset': 0}",[-0.0019798080902546644]
2025/08/01 14:39:48.320376661,"{'dim': [], 'data_offset': 0}",[-0.0018996817525476217]
2025/08/01 14:39:48.321376633,"{'dim': [], 'data_offset': 0}",[-0.0025924670044332743]
2025/08/01 14:39:48.322367678,"{'dim': [], 'data_offset': 0}",[-0.0029031294398009777]
2025/08/01 14:39:48.323372018,"{'dim': [], 'data_offset': 0}",[-0.003219812409952283]
2025/08/01 14:39:48.324518924,"{'dim': [], 'data_offset': 0}",[-0.0035486631095409393]
2025/08/01 14:39:48.325369286,"{'dim': [], 'data_offset': 0}",[-0.003867444349452853]
2025/08/01 14:39:48.326371131,"{'dim': [], 'data_offset': 0}",[-0.004190417472273111]
2025/08/01 14:39:48.327368848,"{'dim': [], 'data_offset': 0}",[-0.004139288794249296]
2025/08/01 14:39:48.328361446,"{'dim': [], 'data_offset': 0}",[-0.004853816702961922]
2025/08/01 14:39:48.329360185,"{'dim': [], 'data_offset': 0}",[-0.005170028656721115]
2025/08/01 14:39:48.330455155,"{'dim': [], 'data_offset': 0}",[-0.005558391101658344]
2025/08/01 14:39:48.331367502,"{'dim': [], 'data_offset': 0}",[-0.005876840092241764]
2025/08/01 14:39:48.332344190,"{'dim': [], 'data_offset': 0}",[-0.0062217735685408115]
2025/08/01 14:39:48.333341317,"{'dim': [], 'data_offset': 0}",[-0.00656737107783556]
2025/08/01 14:39:48.334320079,"{'dim': [], 'data_offset': 0}",[-0.006914901081472635]
2025/08/01 14:39:48.335331031,"{'dim': [], 'data_offset': 0}",[-0.007267555221915245]
2025/08/01 14:39:48.336428174,"{'dim': [], 'data_offset': 0}",[-0.0072475457563996315]
2025/08/01 14:39:48.337352584,"{'dim': [], 'data_offset': 0}",[-0.007981325499713421]
2025/08/01 14:39:48.338406096,"{'dim': [], 'data_offset': 0}",[-0.008305063471198082]
2025/08/01 14:39:48.339361054,"{'dim': [], 'data_offset': 0}",[-0.008657163940370083]
2025/08/01 14:39:48.340299510,"{'dim': [], 'data_offset': 0}",[-0.009133853949606419]
2025/08/01 14:39:48.341326081,"{'dim': [], 'data_offset': 0}",[-0.009414381347596645]
2025/08/01 14:39:48.342282361,"{'dim': [], 'data_offset': 0}",[-0.009758674539625645]
2025/08/01 14:39:48.344600670,"{'dim': [], 'data_offset': 0}",[-0.009783717803657055]
2025/08/01 14:39:48.344896003,"{'dim': [], 'data_offset': 0}",[-0.011266474612057209]
2025/08/01 14:39:48.345271576,"{'dim': [], 'data_offset': 0}",[-0.010825668461620808]
2025/08/01 14:39:48.346343242,"{'dim': [], 'data_offset': 0}",[-0.011259375140070915]
2025/08/01 14:39:48.347407153,"{'dim': [], 'data_offset': 0}",[-0.011191530153155327]
2025/08/01 14:39:48.348488126,"{'dim': [], 'data_offset': 0}",[-0.011657007038593292]
2025/08/01 14:39:48.349311718,"{'dim': [], 'data_offset': 0}",[-0.01234454195946455]
2025/08/01 14:39:48.350340563,"{'dim': [], 'data_offset': 0}",[-0.012709090486168861]
2025/08/01 14:39:48.351342949,"{'dim': [], 'data_offset': 0}",[-0.013069232925772667]
2025/08/01 14:39:48.352585395,"{'dim': [], 'data_offset': 0}",[-0.012927793897688389]
2025/08/01 14:39:48.353606796,"{'dim': [], 'data_offset': 0}",[-0.01390104554593563]
2025/08/01 14:39:48.354302418,"{'dim': [], 'data_offset': 0}",[-0.013944819569587708]
2025/08/01 14:39:48.355294175,"{'dim': [], 'data_offset': 0}",[-0.014533907175064087]
2025/08/01 14:39:48.356326397,"{'dim': [], 'data_offset': 0}",[-0.014515434391796589]
2025/08/01 14:39:48.357311280,"{'dim': [], 'data_offset': 0}",[-0.015258180908858776]
2025/08/01 14:39:48.358318866,"{'dim': [], 'data_offset': 0}",[-0.01562238298356533]
2025/08/01 14:39:48.359376365,"{'dim': [], 'data_offset': 0}",[-0.015607324428856373]
2025/08/01 14:39:48.360457528,"{'dim': [], 'data_offset': 0}",[-0.016354382038116455]
2025/08/01 14:39:48.361373052,"{'dim': [], 'data_offset': 0}",[-0.01669822633266449]
2025/08/01 14:39:48.362319333,"{'dim': [], 'data_offset': 0}",[-0.017039194703102112]
2025/08/01 14:39:48.363355082,"{'dim': [], 'data_offset': 0}",[-0.01739400252699852]
2025/08/01 14:39:48.364331509,"{'dim': [], 'data_offset': 0}",[-0.017743004485964775]
2025/08/01 14:39:48.365376916,"{'dim': [], 'data_offset': 0}",[-0.018103504553437233]
2025/08/01 14:39:48.366457979,"{'dim': [], 'data_offset': 0}",[-0.01807141862809658]
2025/08/01 14:39:48.367353275,"{'dim': [], 'data_offset': 0}",[-0.018773972988128662]
2025/08/01 14:39:48.368351383,"{'dim': [], 'data_offset': 0}",[-0.019115043804049492]
2025/08/01 14:39:48.369314205,"{'dim': [], 'data_offset': 0}",[-0.01906788907945156]
2025/08/01 14:39:48.370347990,"{'dim': [], 'data_offset': 0}",[-0.020386386662721634]
2025/08/01 14:39:48.371381454,"{'dim': [], 'data_offset': 0}",[-0.02072927914559841]
2025/08/01 14:39:48.372430107,"{'dim': [], 'data_offset': 0}",[-0.020446110516786575]
2025/08/01 14:39:48.373317097,"{'dim': [], 'data_offset': 0}",[-0.02076054736971855]
2025/08/01 14:39:48.374312530,"{'dim': [], 'data_offset': 0}",[-0.02068488486111164]
2025/08/01 14:39:48.375313744,"{'dim': [], 'data_offset': 0}",[-0.021385518833994865]
2025/08/01 14:39:48.376330307,"{'dim': [], 'data_offset': 0}",[-0.021307537332177162]
2025/08/01 14:39:48.377370894,"{'dim': [], 'data_offset': 0}",[-0.021630922332406044]
2025/08/01 14:39:48.378430117,"{'dim': [], 'data_offset': 0}",[-0.022316142916679382]
2025/08/01 14:39:48.379375917,"{'dim': [], 'data_offset': 0}",[-0.02259708009660244]
2025/08/01 14:39:48.380356853,"{'dim': [], 'data_offset': 0}",[-0.022877734154462814]
2025/08/01 14:39:48.381322540,"{'dim': [], 'data_offset': 0}",[-0.022790193557739258]
2025/08/01 14:39:48.382332010,"{'dim': [], 'data_offset': 0}",[-0.02345094084739685]
2025/08/01 14:39:48.383327122,"{'dim': [], 'data_offset': 0}",[-0.02334747277200222]
2025/08/01 14:39:48.384430567,"{'dim': [], 'data_offset': 0}",[-0.02401246502995491]
2025/08/01 14:39:48.385328388,"{'dim': [], 'data_offset': 0}",[-0.024258846417069435]
2025/08/01 14:39:48.386320044,"{'dim': [], 'data_offset': 0}",[-0.02414141595363617]
2025/08/01 14:39:48.387353097,"{'dim': [], 'data_offset': 0}",[-0.024777522310614586]
2025/08/01 14:39:48.388314928,"{'dim': [], 'data_offset': 0}",[-0.024638138711452484]
2025/08/01 14:39:48.389353391,"{'dim': [], 'data_offset': 0}",[-0.025267045944929123]
2025/08/01 14:39:48.390322966,"{'dim': [], 'data_offset': 0}",[-0.025118131190538406]
2025/08/01 14:39:48.391309422,"{'dim': [], 'data_offset': 0}",[-0.02533821575343609]
2025/08/01 14:39:48.392308853,"{'dim': [], 'data_offset': 0}",[-0.0255593229085207]
2025/08/01 14:39:48.393322279,"{'dim': [], 'data_offset': 0}",[-0.02608935721218586]
2025/08/01 14:39:48.394334574,"{'dim': [], 'data_offset': 0}",[-0.0264746081084013]
2025/08/01 14:39:48.395394237,"{'dim': [], 'data_offset': 0}",[-0.026595862582325935]
2025/08/01 14:39:48.396371797,"{'dim': [], 'data_offset': 0}",[-0.02677757665514946]
2025/08/01 14:39:48.397316195,"{'dim': [], 'data_offset': 0}",[-0.026589330285787582]
2025/08/01 14:39:48.398364807,"{'dim': [], 'data_offset': 0}",[-0.027145251631736755]
2025/08/01 14:39:48.399321688,"{'dim': [], 'data_offset': 0}",[-0.026941541582345963]
2025/08/01 14:39:48.400376823,"{'dim': [], 'data_offset': 0}",[-0.027109311893582344]
2025/08/01 14:39:48.401433901,"{'dim': [], 'data_offset': 0}",[-0.02766364812850952]
2025/08/01 14:39:48.402395822,"{'dim': [], 'data_offset': 0}",[-0.02781129628419876]
2025/08/01 14:39:48.403301216,"{'dim': [], 'data_offset': 0}",[-0.02793939597904682]
2025/08/01 14:39:48.404344159,"{'dim': [], 'data_offset': 0}",[-0.028085412457585335]
2025/08/01 14:39:48.405395566,"{'dim': [], 'data_offset': 0}",[-0.028082987293601036]
2025/08/01 14:39:48.406596654,"{'dim': [], 'data_offset': 0}",[-0.027909794822335243]
2025/08/01 14:39:48.407363369,"{'dim': [], 'data_offset': 0}",[-0.028649356216192245]
2025/08/01 14:39:48.408434725,"{'dim': [], 'data_offset': 0}",[-0.028555965051054955]
2025/08/01 14:39:48.409490811,"{'dim': [], 'data_offset': 0}",[-0.02863922156393528]
2025/08/01 14:39:48.410377270,"{'dim': [], 'data_offset': 0}",[-0.028734836727380753]
2025/08/01 14:39:48.411362113,"{'dim': [], 'data_offset': 0}",[-0.028806494548916817]
2025/08/01 14:39:48.412356855,"{'dim': [], 'data_offset': 0}",[-0.028880469501018524]
2025/08/01 14:39:48.413362668,"{'dim': [], 'data_offset': 0}",[-0.02893809974193573]
2025/08/01 14:39:48.414516107,"{'dim': [], 'data_offset': 0}",[-0.029002545401453972]
2025/08/01 14:39:48.415358974,"{'dim': [], 'data_offset': 0}",[-0.028650199994444847]
2025/08/01 14:39:48.416348276,"{'dim': [], 'data_offset': 0}",[-0.029072536155581474]
2025/08/01 14:39:48.417345833,"{'dim': [], 'data_offset': 0}",[-0.028716178610920906]
2025/08/01 14:39:48.418364850,"{'dim': [], 'data_offset': 0}",[-0.02873503603041172]
2025/08/01 14:39:48.419365303,"{'dim': [], 'data_offset': 0}",[-0.029117412865161896]
2025/08/01 14:39:48.420522518,"{'dim': [], 'data_offset': 0}",[-0.02912885881960392]
2025/08/01 14:39:48.421376637,"{'dim': [], 'data_offset': 0}",[-0.02910657599568367]
2025/08/01 14:39:48.422370507,"{'dim': [], 'data_offset': 0}",[-0.029084647074341774]
2025/08/01 14:39:48.423362945,"{'dim': [], 'data_offset': 0}",[-0.0286762323230505]
2025/08/01 14:39:48.424365812,"{'dim': [], 'data_offset': 0}",[-0.028997717425227165]
2025/08/01 14:39:48.425363439,"{'dim': [], 'data_offset': 0}",[-0.02860945090651512]
2025/08/01 14:39:48.426467916,"{'dim': [], 'data_offset': 0}",[-0.028534339740872383]
2025/08/01 14:39:48.427344086,"{'dim': [], 'data_offset': 0}",[-0.028830230236053467]
2025/08/01 14:39:48.428356270,"{'dim': [], 'data_offset': 0}",[-0.02876158431172371]
2025/08/01 14:39:48.429363175,"{'dim': [], 'data_offset': 0}",[-0.02867528796195984]
