time,layout,data
2025/08/01 15:08:23.538986944,"{'dim': [], 'data_offset': 0}",[-0.00011858285870403051]
2025/08/01 15:08:23.539224868,"{'dim': [], 'data_offset': 0}",[-0.0005065273144282401]
2025/08/01 15:08:23.540563550,"{'dim': [], 'data_offset': 0}",[-0.0005787174450233579]
2025/08/01 15:08:23.541412598,"{'dim': [], 'data_offset': 0}",[-0.0006849877536296844]
2025/08/01 15:08:23.542265274,"{'dim': [], 'data_offset': 0}",[-0.0007794277044013143]
2025/08/01 15:08:23.543304455,"{'dim': [], 'data_offset': 0}",[-0.000945381703786552]
2025/08/01 15:08:23.544276148,"{'dim': [], 'data_offset': 0}",[-0.0009684523101896048]
2025/08/01 15:08:23.545152849,"{'dim': [], 'data_offset': 0}",[-0.0010639388347044587]
2025/08/01 15:08:23.546132056,"{'dim': [], 'data_offset': 0}",[-0.0011713197454810143]
2025/08/01 15:08:23.547150457,"{'dim': [], 'data_offset': 0}",[-0.0012706185225397348]
2025/08/01 15:08:23.548164110,"{'dim': [], 'data_offset': 0}",[-0.00137413723859936]
2025/08/01 15:08:23.549160379,"{'dim': [], 'data_offset': 0}",[-0.0014812616864219308]
2025/08/01 15:08:23.550219117,"{'dim': [], 'data_offset': 0}",[-0.001591161242686212]
2025/08/01 15:08:23.551182584,"{'dim': [], 'data_offset': 0}",[-0.0016974008176475763]
2025/08/01 15:08:23.552145400,"{'dim': [], 'data_offset': 0}",[-0.0018091771053150296]
2025/08/01 15:08:23.553126400,"{'dim': [], 'data_offset': 0}",[-0.0019208143930882215]
2025/08/01 15:08:23.554156063,"{'dim': [], 'data_offset': 0}",[-0.002034832490608096]
2025/08/01 15:08:23.555216324,"{'dim': [], 'data_offset': 0}",[-0.0021465157624334097]
2025/08/01 15:08:23.556305661,"{'dim': [], 'data_offset': 0}",[-0.0022616367787122726]
2025/08/01 15:08:23.557174738,"{'dim': [], 'data_offset': 0}",[-0.0023805180098861456]
2025/08/01 15:08:23.558171558,"{'dim': [], 'data_offset': 0}",[-0.0024973475374281406]
2025/08/01 15:08:23.559211460,"{'dim': [], 'data_offset': 0}",[-0.002616677898913622]
2025/08/01 15:08:23.560149619,"{'dim': [], 'data_offset': 0}",[-0.002736903028562665]
2025/08/01 15:08:23.561135338,"{'dim': [], 'data_offset': 0}",[-0.0028567584231495857]
2025/08/01 15:08:23.562273588,"{'dim': [], 'data_offset': 0}",[-0.0029790978878736496]
2025/08/01 15:08:23.563209172,"{'dim': [], 'data_offset': 0}",[-0.0031793436501175165]
2025/08/01 15:08:23.564232483,"{'dim': [], 'data_offset': 0}",[-0.003212727140635252]
2025/08/01 15:08:23.565140504,"{'dim': [], 'data_offset': 0}",[-0.0033674328587949276]
2025/08/01 15:08:23.566556163,"{'dim': [], 'data_offset': 0}",[-0.0034416678827255964]
2025/08/01 15:08:23.567495664,"{'dim': [], 'data_offset': 0}",[-0.003631213214248419]
2025/08/01 15:08:23.568222539,"{'dim': [], 'data_offset': 0}",[-0.0037754655349999666]
2025/08/01 15:08:23.569193150,"{'dim': [], 'data_offset': 0}",[-0.0038631828501820564]
2025/08/01 15:08:23.570226420,"{'dim': [], 'data_offset': 0}",[-0.003991198725998402]
2025/08/01 15:08:23.571312280,"{'dim': [], 'data_offset': 0}",[-0.00411401828750968]
2025/08/01 15:08:23.572248344,"{'dim': [], 'data_offset': 0}",[-0.0042580110020935535]
2025/08/01 15:08:23.573255354,"{'dim': [], 'data_offset': 0}",[-0.004383270628750324]
2025/08/01 15:08:23.574345733,"{'dim': [], 'data_offset': 0}",[-0.004514075815677643]
2025/08/01 15:08:23.575275325,"{'dim': [], 'data_offset': 0}",[-0.004646428395062685]
2025/08/01 15:08:23.576211880,"{'dim': [], 'data_offset': 0}",[-0.004773159045726061]
2025/08/01 15:08:23.577279506,"{'dim': [], 'data_offset': 0}",[-0.004904543980956078]
2025/08/01 15:08:23.578205280,"{'dim': [], 'data_offset': 0}",[-0.005051740445196629]
2025/08/01 15:08:23.579355724,"{'dim': [], 'data_offset': 0}",[-0.005140896420925856]
2025/08/01 15:08:23.580216745,"{'dim': [], 'data_offset': 0}",[-0.005358696915209293]
2025/08/01 15:08:23.581189780,"{'dim': [], 'data_offset': 0}",[-0.005446500610560179]
2025/08/01 15:08:23.582214434,"{'dim': [], 'data_offset': 0}",[-0.005581354722380638]
2025/08/01 15:08:23.583221634,"{'dim': [], 'data_offset': 0}",[-0.005717297550290823]
2025/08/01 15:08:23.584219516,"{'dim': [], 'data_offset': 0}",[-0.005851308815181255]
2025/08/01 15:08:23.585285859,"{'dim': [], 'data_offset': 0}",[-0.005985765252262354]
2025/08/01 15:08:23.586323207,"{'dim': [], 'data_offset': 0}",[-0.006126761436462402]
2025/08/01 15:08:23.587195971,"{'dim': [], 'data_offset': 0}",[-0.006259220186620951]
2025/08/01 15:08:23.588197229,"{'dim': [], 'data_offset': 0}",[-0.006394537631422281]
2025/08/01 15:08:23.589192397,"{'dim': [], 'data_offset': 0}",[-0.006530364975333214]
2025/08/01 15:08:23.590270502,"{'dim': [], 'data_offset': 0}",[-0.006665274500846863]
2025/08/01 15:08:23.591307509,"{'dim': [], 'data_offset': 0}",[-0.006802881136536598]
2025/08/01 15:08:23.592213967,"{'dim': [], 'data_offset': 0}",[-0.006939020473510027]
2025/08/01 15:08:23.593235124,"{'dim': [], 'data_offset': 0}",[-0.006843206472694874]
2025/08/01 15:08:23.594183341,"{'dim': [], 'data_offset': 0}",[-0.0071132066659629345]
2025/08/01 15:08:23.595208055,"{'dim': [], 'data_offset': 0}",[-0.007344909943640232]
2025/08/01 15:08:23.596201389,"{'dim': [], 'data_offset': 0}",[-0.007478491403162479]
2025/08/01 15:08:23.597237634,"{'dim': [], 'data_offset': 0}",[-0.007616223767399788]
2025/08/01 15:08:23.598272447,"{'dim': [], 'data_offset': 0}",[-0.007752060424536467]
2025/08/01 15:08:23.599209914,"{'dim': [], 'data_offset': 0}",[-0.007881104946136475]
2025/08/01 15:08:23.600192237,"{'dim': [], 'data_offset': 0}",[-0.008015284314751625]
2025/08/01 15:08:23.601206330,"{'dim': [], 'data_offset': 0}",[-0.00814802572131157]
2025/08/01 15:08:23.602228559,"{'dim': [], 'data_offset': 0}",[-0.008236887864768505]
2025/08/01 15:08:23.603241209,"{'dim': [], 'data_offset': 0}",[-0.008456329815089703]
2025/08/01 15:08:23.604277946,"{'dim': [], 'data_offset': 0}",[-0.008633178658783436]
2025/08/01 15:08:23.605214982,"{'dim': [], 'data_offset': 0}",[-0.008674556389451027]
2025/08/01 15:08:23.606226901,"{'dim': [], 'data_offset': 0}",[-0.008805760182440281]
2025/08/01 15:08:23.607230344,"{'dim': [], 'data_offset': 0}",[-0.008937905542552471]
2025/08/01 15:08:23.608191106,"{'dim': [], 'data_offset': 0}",[-0.00906249787658453]
2025/08/01 15:08:23.609212693,"{'dim': [], 'data_offset': 0}",[-0.009191619232296944]
2025/08/01 15:08:23.610209794,"{'dim': [], 'data_offset': 0}",[-0.00931780319660902]
2025/08/01 15:08:23.611204310,"{'dim': [], 'data_offset': 0}",[-0.009446130134165287]
2025/08/01 15:08:23.612227050,"{'dim': [], 'data_offset': 0}",[-0.009570354595780373]
2025/08/01 15:08:23.613243157,"{'dim': [], 'data_offset': 0}",[-0.009695909917354584]
2025/08/01 15:08:23.614211573,"{'dim': [], 'data_offset': 0}",[-0.009816871024668217]
2025/08/01 15:08:23.615197072,"{'dim': [], 'data_offset': 0}",[-0.009941620752215385]
2025/08/01 15:08:23.616267823,"{'dim': [], 'data_offset': 0}",[-0.010050511918962002]
2025/08/01 15:08:23.617254825,"{'dim': [], 'data_offset': 0}",[-0.010189607739448547]
2025/08/01 15:08:23.618250263,"{'dim': [], 'data_offset': 0}",[-0.010247474536299706]
2025/08/01 15:08:23.619213810,"{'dim': [], 'data_offset': 0}",[-0.01046459749341011]
2025/08/01 15:08:23.620180984,"{'dim': [], 'data_offset': 0}",[-0.01055117417126894]
2025/08/01 15:08:23.621213181,"{'dim': [], 'data_offset': 0}",[-0.01064945850521326]
2025/08/01 15:08:23.622267171,"{'dim': [], 'data_offset': 0}",[-0.01077428087592125]
2025/08/01 15:08:23.623207163,"{'dim': [], 'data_offset': 0}",[-0.010795933194458485]
2025/08/01 15:08:23.624169167,"{'dim': [], 'data_offset': 0}",[-0.010987644083797932]
2025/08/01 15:08:23.625191806,"{'dim': [], 'data_offset': 0}",[-0.011098594404757023]
2025/08/01 15:08:23.626212873,"{'dim': [], 'data_offset': 0}",[-0.011204059235751629]
2025/08/01 15:08:23.627198762,"{'dim': [], 'data_offset': 0}",[-0.011304587125778198]
2025/08/01 15:08:23.628227403,"{'dim': [], 'data_offset': 0}",[-0.011404032818973064]
2025/08/01 15:08:23.629193094,"{'dim': [], 'data_offset': 0}",[-0.011543083935976028]
2025/08/01 15:08:23.630182380,"{'dim': [], 'data_offset': 0}",[-0.011620628647506237]
2025/08/01 15:08:23.631198638,"{'dim': [], 'data_offset': 0}",[-0.011721779592335224]
2025/08/01 15:08:23.632208413,"{'dim': [], 'data_offset': 0}",[-0.011820069514214993]
2025/08/01 15:08:23.633231132,"{'dim': [], 'data_offset': 0}",[-0.011920448392629623]
2025/08/01 15:08:23.634211131,"{'dim': [], 'data_offset': 0}",[-0.01200643740594387]
2025/08/01 15:08:23.635267254,"{'dim': [], 'data_offset': 0}",[-0.012106496840715408]
2025/08/01 15:08:23.636192398,"{'dim': [], 'data_offset': 0}",[-0.012198276817798615]
2025/08/01 15:08:23.637195110,"{'dim': [], 'data_offset': 0}",[-0.012283372692763805]
2025/08/01 15:08:23.638209934,"{'dim': [], 'data_offset': 0}",[-0.01236892119050026]
2025/08/01 15:08:23.639253945,"{'dim': [], 'data_offset': 0}",[-0.012458871118724346]
2025/08/01 15:08:23.640259532,"{'dim': [], 'data_offset': 0}",[-0.012543567456305027]
2025/08/01 15:08:23.641193021,"{'dim': [], 'data_offset': 0}",[-0.012616651132702827]
2025/08/01 15:08:23.642190874,"{'dim': [], 'data_offset': 0}",[-0.012611577287316322]
2025/08/01 15:08:23.643194186,"{'dim': [], 'data_offset': 0}",[-0.012775404378771782]
2025/08/01 15:08:23.644191698,"{'dim': [], 'data_offset': 0}",[-0.01263576839119196]
2025/08/01 15:08:23.645184531,"{'dim': [], 'data_offset': 0}",[-0.012793011032044888]
2025/08/01 15:08:23.646410488,"{'dim': [], 'data_offset': 0}",[-0.012983158230781555]
