time,layout,data
2025/08/01 15:14:55.357500767,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.357736058,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.358463430,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.359385696,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
2025/08/01 15:14:55.360383116,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.361407097,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.362511832,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.363439127,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.364463008,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.365412806,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.366391500,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.367423056,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.368404184,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.369381686,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.370393223,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.371412695,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.372458507,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.373356607,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.374412498,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.375375773,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.376375888,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.377423183,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
2025/08/01 15:14:55.378451061,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.379424826,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.380415983,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.381413433,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
2025/08/01 15:14:55.382427305,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.383372044,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.385474639,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.386250575,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.386530441,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.387419884,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.388403367,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.389452766,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.390514439,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.391500968,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.392465295,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.393444049,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
2025/08/01 15:14:55.394406872,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.395389904,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.396443432,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.397441473,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.398469691,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.399485116,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.400451496,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.401464315,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.402449542,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.403464555,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
2025/08/01 15:14:55.404415997,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.405454916,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.406454450,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
2025/08/01 15:14:55.407473211,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.408481401,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.409446459,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.410407239,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.411400941,"{'dim': [], 'data_offset': 0}",[-0.0009536888683214784]
2025/08/01 15:14:55.412398401,"{'dim': [], 'data_offset': 0}",[-0.0013351644156500697]
