time,layout,data
2025/08/01 15:26:04.494952990,"{'dim': [], 'data_offset': 0}",[1.0782033044165473e-09]
2025/08/01 15:26:04.495324278,"{'dim': [], 'data_offset': 0}",[2.740133879797213e-07]
2025/08/01 15:26:04.496180007,"{'dim': [], 'data_offset': 0}",[2.668611500666884e-07]
2025/08/01 15:26:04.497221164,"{'dim': [], 'data_offset': 0}",[-2.1723464271872217e-07]
2025/08/01 15:26:04.498214090,"{'dim': [], 'data_offset': 0}",[-3.783412410029996e-07]
2025/08/01 15:26:04.499181809,"{'dim': [], 'data_offset': 0}",[-6.862852615086013e-07]
2025/08/01 15:26:04.500195625,"{'dim': [], 'data_offset': 0}",[-9.753011909197085e-07]
2025/08/01 15:26:04.501213578,"{'dim': [], 'data_offset': 0}",[-1.2508403415267821e-06]
2025/08/01 15:26:04.502294219,"{'dim': [], 'data_offset': 0}",[-1.3726614724873798e-06]
2025/08/01 15:26:04.503387775,"{'dim': [], 'data_offset': 0}",[-1.7070882449843339e-06]
2025/08/01 15:26:04.504218366,"{'dim': [], 'data_offset': 0}",[-1.8820086324922158e-06]
2025/08/01 15:26:04.505120431,"{'dim': [], 'data_offset': 0}",[-1.7009022030833876e-06]
2025/08/01 15:26:04.506193929,"{'dim': [], 'data_offset': 0}",[-1.7137883787654573e-06]
2025/08/01 15:26:04.507163832,"{'dim': [], 'data_offset': 0}",[-2.1110711259098025e-06]
2025/08/01 15:26:04.508150156,"{'dim': [], 'data_offset': 0}",[-2.083095978377969e-06]
2025/08/01 15:26:04.509229024,"{'dim': [], 'data_offset': 0}",[-1.9833285023196368e-06]
2025/08/01 15:26:04.510136640,"{'dim': [], 'data_offset': 0}",[-1.1579592182897613e-06]
2025/08/01 15:26:04.511139826,"{'dim': [], 'data_offset': 0}",[-1.5613477444276214e-06]
2025/08/01 15:26:04.512140587,"{'dim': [], 'data_offset': 0}",[-1.2273435459064785e-06]
2025/08/01 15:26:04.513216399,"{'dim': [], 'data_offset': 0}",[7.407625446376187e-08]
2025/08/01 15:26:04.514195600,"{'dim': [], 'data_offset': 0}",[-2.8495247761384235e-07]
2025/08/01 15:26:04.515221548,"{'dim': [], 'data_offset': 0}",[1.3758834711552481e-06]
2025/08/01 15:26:04.516141207,"{'dim': [], 'data_offset': 0}",[1.0743370921773021e-06]
2025/08/01 15:26:04.517135325,"{'dim': [], 'data_offset': 0}",[3.1161500828602584e-06]
2025/08/01 15:26:04.518130887,"{'dim': [], 'data_offset': 0}",[2.8840308914368507e-06]
2025/08/01 15:26:04.519198984,"{'dim': [], 'data_offset': 0}",[3.9784208638593554e-06]
2025/08/01 15:26:04.520528253,"{'dim': [], 'data_offset': 0}",[5.2729874369106255e-06]
2025/08/01 15:26:04.521248266,"{'dim': [], 'data_offset': 0}",[6.759905318176607e-06]
2025/08/01 15:26:04.522164518,"{'dim': [], 'data_offset': 0}",[8.131959475576878e-06]
2025/08/01 15:26:04.523197160,"{'dim': [], 'data_offset': 0}",[9.793611752684228e-06]
2025/08/01 15:26:04.524211636,"{'dim': [], 'data_offset': 0}",[1.1610954970819876e-05]
2025/08/01 15:26:04.525232385,"{'dim': [], 'data_offset': 0}",[1.3603812476503663e-05]
2025/08/01 15:26:04.527811573,"{'dim': [], 'data_offset': 0}",[1.8235192328575067e-05]
2025/08/01 15:26:04.528202849,"{'dim': [], 'data_offset': 0}",[2.1799927708343603e-05]
2025/08/01 15:26:04.529193270,"{'dim': [], 'data_offset': 0}",[2.32285528909415e-05]
2025/08/01 15:26:04.530212737,"{'dim': [], 'data_offset': 0}",[2.8490387194324285e-05]
2025/08/01 15:26:04.531202227,"{'dim': [], 'data_offset': 0}",[3.164881854900159e-05]
2025/08/01 15:26:04.532216313,"{'dim': [], 'data_offset': 0}",[3.243524770368822e-05]
2025/08/01 15:26:04.533281755,"{'dim': [], 'data_offset': 0}",[3.867760460707359e-05]
2025/08/01 15:26:04.534217945,"{'dim': [], 'data_offset': 0}",[3.9589704101672396e-05]
2025/08/01 15:26:04.535278338,"{'dim': [], 'data_offset': 0}",[4.3476527935126796e-05]
2025/08/01 15:26:04.536566069,"{'dim': [], 'data_offset': 0}",[4.732707020593807e-05]
2025/08/01 15:26:04.537171697,"{'dim': [], 'data_offset': 0}",[5.256696022115648e-05]
2025/08/01 15:26:04.538183399,"{'dim': [], 'data_offset': 0}",[5.633211912936531e-05]
2025/08/01 15:26:04.539222743,"{'dim': [], 'data_offset': 0}",[6.10832721577026e-05]
2025/08/01 15:26:04.540150637,"{'dim': [], 'data_offset': 0}",[6.947101064724848e-05]
2025/08/01 15:26:04.541141419,"{'dim': [], 'data_offset': 0}",[7.133053441066295e-05]
2025/08/01 15:26:04.542203706,"{'dim': [], 'data_offset': 0}",[7.677289249841124e-05]
2025/08/01 15:26:04.543218954,"{'dim': [], 'data_offset': 0}",[8.249231905210763e-05]
2025/08/01 15:26:04.544438356,"{'dim': [], 'data_offset': 0}",[8.772878936724737e-05]
2025/08/01 15:26:04.545208454,"{'dim': [], 'data_offset': 0}",[9.606799721950665e-05]
2025/08/01 15:26:04.546119126,"{'dim': [], 'data_offset': 0}",[0.00010114404722116888]
2025/08/01 15:26:04.547111010,"{'dim': [], 'data_offset': 0}",[0.00010787963401526213]
2025/08/01 15:26:04.548122512,"{'dim': [], 'data_offset': 0}",[0.00011476850340841338]
2025/08/01 15:26:04.549136858,"{'dim': [], 'data_offset': 0}",[0.00012202344078104943]
2025/08/01 15:26:04.550260761,"{'dim': [], 'data_offset': 0}",[0.00012942706234753132]
2025/08/01 15:26:04.551217309,"{'dim': [], 'data_offset': 0}",[0.00013734263484366238]
2025/08/01 15:26:04.552146455,"{'dim': [], 'data_offset': 0}",[0.00014518728130497038]
2025/08/01 15:26:04.553178135,"{'dim': [], 'data_offset': 0}",[0.00015351567708421499]
2025/08/01 15:26:04.554170300,"{'dim': [], 'data_offset': 0}",[0.0001619706890778616]
2025/08/01 15:26:04.555167404,"{'dim': [], 'data_offset': 0}",[0.00017080815450754017]
2025/08/01 15:26:04.556154028,"{'dim': [], 'data_offset': 0}",[0.00017970766930375248]
2025/08/01 15:26:04.557191779,"{'dim': [], 'data_offset': 0}",[0.00018908653873950243]
2025/08/01 15:26:04.558117579,"{'dim': [], 'data_offset': 0}",[0.00019859876192640513]
2025/08/01 15:26:04.559126255,"{'dim': [], 'data_offset': 0}",[0.00020841926743742079]
2025/08/01 15:26:04.560104915,"{'dim': [], 'data_offset': 0}",[0.00021838791144546121]
2025/08/01 15:26:04.561148176,"{'dim': [], 'data_offset': 0}",[0.00022880792676005512]
2025/08/01 15:26:04.562190535,"{'dim': [], 'data_offset': 0}",[0.00023923306434880942]
2025/08/01 15:26:04.563199822,"{'dim': [], 'data_offset': 0}",[0.0002501589769963175]
2025/08/01 15:26:04.564154276,"{'dim': [], 'data_offset': 0}",[0.0002610839146655053]
2025/08/01 15:26:04.565171669,"{'dim': [], 'data_offset': 0}",[0.0002723600482568145]
2025/08/01 15:26:04.566114371,"{'dim': [], 'data_offset': 0}",[0.0002837775682564825]
2025/08/01 15:26:04.567101536,"{'dim': [], 'data_offset': 0}",[0.0002957100223284215]
2025/08/01 15:26:04.568190944,"{'dim': [], 'data_offset': 0}",[0.0003077991132158786]
2025/08/01 15:26:04.569198338,"{'dim': [], 'data_offset': 0}",[0.00031981494976207614]
2025/08/01 15:26:04.570113197,"{'dim': [], 'data_offset': 0}",[0.00033219013130292296]
2025/08/01 15:26:04.571110853,"{'dim': [], 'data_offset': 0}",[0.00034491581027396023]
2025/08/01 15:26:04.572180283,"{'dim': [], 'data_offset': 0}",[0.00035758785088546574]
