time,layout,data
2025/08/01 16:49:40.735162844,"{'dim': [], 'data_offset': 0}",[-0.006105006206780672]
2025/08/01 16:49:40.735528579,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.736526741,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.738951468,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.739627010,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.740430715,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.741418218,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.742420097,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.743428517,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.744455699,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.745494461,"{'dim': [], 'data_offset': 0}",[-0.02442002482712269]
2025/08/01 16:49:40.746419186,"{'dim': [], 'data_offset': 0}",[-0.02442002482712269]
2025/08/01 16:49:40.747423409,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.748428893,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.749429640,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.750471488,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.751451949,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.752395476,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.753392997,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.754404442,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.755401492,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.756452877,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.757450938,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.758392582,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.759440210,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.760464417,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.761401564,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.762396650,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.763451571,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.764395899,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
2025/08/01 16:49:40.765397447,"{'dim': [], 'data_offset': 0}",[-0.012210012413561344]
