time,layout,data
2025/08/01 16:55:02.385418361,"{'dim': [], 'data_offset': 0}",[6.086277721806255e-07]
2025/08/01 16:55:02.385644762,"{'dim': [], 'data_offset': 0}",[-7.501678919652477e-05]
2025/08/01 16:55:02.386660125,"{'dim': [], 'data_offset': 0}",[-8.29957498353906e-05]
2025/08/01 16:55:02.387742643,"{'dim': [], 'data_offset': 0}",[-9.485502232564613e-05]
2025/08/01 16:55:02.388616350,"{'dim': [], 'data_offset': 0}",[-0.00010289606871083379]
2025/08/01 16:55:02.389617557,"{'dim': [], 'data_offset': 0}",[-0.00011473697668407112]
2025/08/01 16:55:02.390614681,"{'dim': [], 'data_offset': 0}",[-0.00012465949112083763]
2025/08/01 16:55:02.391615628,"{'dim': [], 'data_offset': 0}",[-0.00013211595069151372]
2025/08/01 16:55:02.392696794,"{'dim': [], 'data_offset': 0}",[-0.0001443380315322429]
2025/08/01 16:55:02.393806302,"{'dim': [], 'data_offset': 0}",[-0.00015406553575303406]
2025/08/01 16:55:02.394562799,"{'dim': [], 'data_offset': 0}",[-0.00016306096222251654]
2025/08/01 16:55:02.395560002,"{'dim': [], 'data_offset': 0}",[-0.00017173880769405514]
2025/08/01 16:55:02.396604307,"{'dim': [], 'data_offset': 0}",[-0.00018079364963341504]
2025/08/01 16:55:02.397602732,"{'dim': [], 'data_offset': 0}",[-0.0001860405463958159]
2025/08/01 16:55:02.398611488,"{'dim': [], 'data_offset': 0}",[-0.00019811760284937918]
2025/08/01 16:55:02.399748836,"{'dim': [], 'data_offset': 0}",[-0.0002029477182077244]
2025/08/01 16:55:02.400600328,"{'dim': [], 'data_offset': 0}",[-0.0002109499037032947]
2025/08/01 16:55:02.401596891,"{'dim': [], 'data_offset': 0}",[-0.00021853751968592405]
2025/08/01 16:55:02.402610552,"{'dim': [], 'data_offset': 0}",[-0.00022596870257984847]
2025/08/01 16:55:02.403580966,"{'dim': [], 'data_offset': 0}",[-0.00023795897141098976]
2025/08/01 16:55:02.404676448,"{'dim': [], 'data_offset': 0}",[-0.00024090705846901983]
2025/08/01 16:55:02.405732726,"{'dim': [], 'data_offset': 0}",[-0.00024815561482682824]
2025/08/01 16:55:02.406555427,"{'dim': [], 'data_offset': 0}",[-0.00025472132256254554]
2025/08/01 16:55:02.407548906,"{'dim': [], 'data_offset': 0}",[-0.0002610027731861919]
2025/08/01 16:55:02.408618669,"{'dim': [], 'data_offset': 0}",[-0.0002726656384766102]
2025/08/01 16:55:02.409692477,"{'dim': [], 'data_offset': 0}",[-0.0002780646027531475]
2025/08/01 16:55:02.410859688,"{'dim': [], 'data_offset': 0}",[-0.00027730027795769274]
2025/08/01 16:55:02.411565089,"{'dim': [], 'data_offset': 0}",[-0.0002897570375353098]
2025/08/01 16:55:02.413949857,"{'dim': [], 'data_offset': 0}",[-0.0002760618517640978]
2025/08/01 16:55:02.414394089,"{'dim': [], 'data_offset': 0}",[-0.0003340139228384942]
