time,layout,data
2025/08/01 17:06:03.891335441,"{'dim': [], 'data_offset': 0}",[3.231341028087087e-10]
2025/08/01 17:06:03.891586414,"{'dim': [], 'data_offset': 0}",[3.847592597594485e-05]
2025/08/01 17:06:03.892500268,"{'dim': [], 'data_offset': 0}",[3.900575757143088e-05]
2025/08/01 17:06:03.893463350,"{'dim': [], 'data_offset': 0}",[3.973738057538867e-05]
2025/08/01 17:06:03.894463406,"{'dim': [], 'data_offset': 0}",[4.048854680149816e-05]
2025/08/01 17:06:03.896808810,"{'dim': [], 'data_offset': 0}",[3.915847992175259e-05]
2025/08/01 17:06:03.897212363,"{'dim': [], 'data_offset': 0}",[4.298412022762932e-05]
2025/08/01 17:06:03.897547324,"{'dim': [], 'data_offset': 0}",[4.327465649112128e-05]
2025/08/01 17:06:03.898465987,"{'dim': [], 'data_offset': 0}",[4.37408743891865e-05]
2025/08/01 17:06:03.899511194,"{'dim': [], 'data_offset': 0}",[4.4637967221206054e-05]
2025/08/01 17:06:03.901715127,"{'dim': [], 'data_offset': 0}",[4.537953282124363e-05]
2025/08/01 17:06:03.902102451,"{'dim': [], 'data_offset': 0}",[4.764345794683322e-05]
2025/08/01 17:06:03.902768798,"{'dim': [], 'data_offset': 0}",[4.772683678311296e-05]
2025/08/01 17:06:03.903453638,"{'dim': [], 'data_offset': 0}",[4.8506750317756087e-05]
2025/08/01 17:06:03.904472809,"{'dim': [], 'data_offset': 0}",[4.9474463594378904e-05]
2025/08/01 17:06:03.905532501,"{'dim': [], 'data_offset': 0}",[5.051348853157833e-05]
2025/08/01 17:06:03.906530123,"{'dim': [], 'data_offset': 0}",[5.1595503464341164e-05]
2025/08/01 17:06:03.907515794,"{'dim': [], 'data_offset': 0}",[5.270007750368677e-05]
2025/08/01 17:06:03.908505743,"{'dim': [], 'data_offset': 0}",[5.3836116421734914e-05]
2025/08/01 17:06:03.909568440,"{'dim': [], 'data_offset': 0}",[5.503095962922089e-05]
2025/08/01 17:06:03.910662643,"{'dim': [], 'data_offset': 0}",[5.622974276775494e-05]
2025/08/01 17:06:03.911518285,"{'dim': [], 'data_offset': 0}",[5.742002758779563e-05]
2025/08/01 17:06:03.912511850,"{'dim': [], 'data_offset': 0}",[5.602921009995043e-05]
2025/08/01 17:06:03.913523017,"{'dim': [], 'data_offset': 0}",[5.9923913795500994e-05]
2025/08/01 17:06:03.914514959,"{'dim': [], 'data_offset': 0}",[6.123611819930375e-05]
2025/08/01 17:06:03.915539889,"{'dim': [], 'data_offset': 0}",[6.255980406422168e-05]
2025/08/01 17:06:03.916442734,"{'dim': [], 'data_offset': 0}",[6.390207272488624e-05]
2025/08/01 17:06:03.917503138,"{'dim': [], 'data_offset': 0}",[6.252506136661395e-05]
2025/08/01 17:06:03.920257323,"{'dim': [], 'data_offset': 0}",[6.513772677863017e-05]
2025/08/01 17:06:03.920621937,"{'dim': [], 'data_offset': 0}",[7.204260327853262e-05]
2025/08/01 17:06:03.921435494,"{'dim': [], 'data_offset': 0}",[7.107130659278482e-05]
2025/08/01 17:06:03.922491390,"{'dim': [], 'data_offset': 0}",[7.25518330000341e-05]
2025/08/01 17:06:03.923453710,"{'dim': [], 'data_offset': 0}",[7.110124715836719e-05]
2025/08/01 17:06:03.924459897,"{'dim': [], 'data_offset': 0}",[7.56251611164771e-05]
2025/08/01 17:06:03.925516764,"{'dim': [], 'data_offset': 0}",[7.717961852904409e-05]
2025/08/01 17:06:03.926512423,"{'dim': [], 'data_offset': 0}",[7.569993613287807e-05]
2025/08/01 17:06:03.927594034,"{'dim': [], 'data_offset': 0}",[8.041419641813263e-05]
2025/08/01 17:06:03.928570068,"{'dim': [], 'data_offset': 0}",[8.204740151995793e-05]
2025/08/01 17:06:03.929508246,"{'dim': [], 'data_offset': 0}",[8.046436414588243e-05]
2025/08/01 17:06:03.930509534,"{'dim': [], 'data_offset': 0}",[8.525334123987705e-05]
2025/08/01 17:06:03.931461406,"{'dim': [], 'data_offset': 0}",[8.690969843883067e-05]
2025/08/01 17:06:03.932506081,"{'dim': [], 'data_offset': 0}",[8.858204819262028e-05]
2025/08/01 17:06:03.933573126,"{'dim': [], 'data_offset': 0}",[9.034050162881613e-05]
2025/08/01 17:06:03.934464842,"{'dim': [], 'data_offset': 0}",[9.197601320920512e-05]
2025/08/01 17:06:03.935452907,"{'dim': [], 'data_offset': 0}",[9.364679135615006e-05]
2025/08/01 17:06:03.936458975,"{'dim': [], 'data_offset': 0}",[9.171405690722167e-05]
2025/08/01 17:06:03.937511764,"{'dim': [], 'data_offset': 0}",[9.394524386152625e-05]
2025/08/01 17:06:03.938479885,"{'dim': [], 'data_offset': 0}",[9.532741387374699e-05]
2025/08/01 17:06:03.939527285,"{'dim': [], 'data_offset': 0}",[0.00010055915481643751]
2025/08/01 17:06:03.940648405,"{'dim': [], 'data_offset': 0}",[0.00010227927850792184]
2025/08/01 17:06:03.941478261,"{'dim': [], 'data_offset': 0}",[0.00010036565799964592]
2025/08/01 17:06:03.942476915,"{'dim': [], 'data_offset': 0}",[0.00010560274677118286]
2025/08/01 17:06:03.943487681,"{'dim': [], 'data_offset': 0}",[0.00010729899076977745]
2025/08/01 17:06:03.944485734,"{'dim': [], 'data_offset': 0}",[0.00010536610352573916]
2025/08/01 17:06:03.945559441,"{'dim': [], 'data_offset': 0}",[0.00011072221241192892]
2025/08/01 17:06:03.946575035,"{'dim': [], 'data_offset': 0}",[0.00011237632133997977]
2025/08/01 17:06:03.947481677,"{'dim': [], 'data_offset': 0}",[0.00011395104229450226]
2025/08/01 17:06:03.948488025,"{'dim': [], 'data_offset': 0}",[0.00011185055336682126]
2025/08/01 17:06:03.949483824,"{'dim': [], 'data_offset': 0}",[0.00011341248318785802]
2025/08/01 17:06:03.950492285,"{'dim': [], 'data_offset': 0}",[0.00011873840412590653]
2025/08/01 17:06:03.951548461,"{'dim': [], 'data_offset': 0}",[0.00012038177374051884]
2025/08/01 17:06:03.952575245,"{'dim': [], 'data_offset': 0}",[0.00012188746768515557]
2025/08/01 17:06:03.953483600,"{'dim': [], 'data_offset': 0}",[0.00011948524479521438]
2025/08/01 17:06:03.954483636,"{'dim': [], 'data_offset': 0}",[0.0001209223919431679]
2025/08/01 17:06:03.955483723,"{'dim': [], 'data_offset': 0}",[0.00012233185407239944]
