time,layout,data
2025/08/01 16:57:25.101039539,"{'dim': [], 'data_offset': 0}",[3.1287506772059714e-06]
2025/08/01 16:57:25.101404318,"{'dim': [], 'data_offset': 0}",[9.186117495119106e-06]
2025/08/01 16:57:25.102399901,"{'dim': [], 'data_offset': 0}",[2.1207526515354402e-05]
2025/08/01 16:57:25.103278178,"{'dim': [], 'data_offset': 0}",[3.705293056555092e-05]
2025/08/01 16:57:25.104350389,"{'dim': [], 'data_offset': 0}",[5.80248270125594e-05]
2025/08/01 16:57:25.105269634,"{'dim': [], 'data_offset': 0}",[8.37005500216037e-05]
2025/08/01 16:57:25.106340733,"{'dim': [], 'data_offset': 0}",[0.00011399522190913558]
2025/08/01 16:57:25.107342085,"{'dim': [], 'data_offset': 0}",[0.00014901910617481917]
2025/08/01 16:57:25.108298022,"{'dim': [], 'data_offset': 0}",[0.00018871233623940498]
2025/08/01 16:57:25.109279010,"{'dim': [], 'data_offset': 0}",[0.00023292315017897636]
2025/08/01 16:57:25.110319397,"{'dim': [], 'data_offset': 0}",[0.0002818937646225095]
2025/08/01 16:57:25.111344329,"{'dim': [], 'data_offset': 0}",[0.0003355051449034363]
2025/08/01 16:57:25.112282125,"{'dim': [], 'data_offset': 0}",[0.00039363218820653856]
2025/08/01 16:57:25.113318857,"{'dim': [], 'data_offset': 0}",[0.0004564242553897202]
2025/08/01 16:57:25.114281585,"{'dim': [], 'data_offset': 0}",[0.0005240326281636953]
2025/08/01 16:57:25.115312607,"{'dim': [], 'data_offset': 0}",[0.0005956912063993514]
2025/08/01 16:57:25.116324507,"{'dim': [], 'data_offset': 0}",[0.0006722592515870929]
2025/08/01 16:57:25.117347185,"{'dim': [], 'data_offset': 0}",[0.0007532319868914783]
2025/08/01 16:57:25.118286974,"{'dim': [], 'data_offset': 0}",[0.0008387572597712278]
2025/08/01 16:57:25.119279882,"{'dim': [], 'data_offset': 0}",[0.0009287128923460841]
2025/08/01 16:57:25.120315271,"{'dim': [], 'data_offset': 0}",[0.0010232082568109035]
2025/08/01 16:57:25.121280013,"{'dim': [], 'data_offset': 0}",[0.001122353132814169]
2025/08/01 16:57:25.122285762,"{'dim': [], 'data_offset': 0}",[0.0012256737099960446]
2025/08/01 16:57:25.123385319,"{'dim': [], 'data_offset': 0}",[0.001333480468019843]
2025/08/01 16:57:25.124276026,"{'dim': [], 'data_offset': 0}",[0.0014454873744398355]
2025/08/01 16:57:25.125320210,"{'dim': [], 'data_offset': 0}",[0.001562782097607851]
2025/08/01 16:57:25.126597023,"{'dim': [], 'data_offset': 0}",[0.001700273947790265]
