time,layout,data
2025/08/01 17:02:35.888694387,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.888950860,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.890000348,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.890929324,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.891942222,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.893057676,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.893964921,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.894955425,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.895992659,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.896997671,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.898024706,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.899089293,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.900136106,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.901023532,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.902016631,"{'dim': [], 'data_offset': 0}",[0.00019073777366429567]
2025/08/01 17:02:35.902984342,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.904028520,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.905110540,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.906198391,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.906985956,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.907999715,"{'dim': [], 'data_offset': 0}",[-0.000572213320992887]
2025/08/01 17:02:35.908986011,"{'dim': [], 'data_offset': 0}",[-0.000572213320992887]
2025/08/01 17:02:35.910017765,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.911126436,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.912198618,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.913016170,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.914130783,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.914987370,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.916018743,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.917070455,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.918143989,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.919014994,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.920009425,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.920987706,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.922042554,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.923133763,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.924203589,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.925024608,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.925985936,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.926995287,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.928032721,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.929010562,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.930151325,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.931005587,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
2025/08/01 17:02:35.932016451,"{'dim': [], 'data_offset': 0}",[-0.000572213320992887]
2025/08/01 17:02:35.933018588,"{'dim': [], 'data_offset': 0}",[-0.000572213320992887]
2025/08/01 17:02:35.934026956,"{'dim': [], 'data_offset': 0}",[-0.00019073777366429567]
