time,layout,data
2025/08/01 17:02:35.888765634,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.888998682,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.890026258,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.890957619,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.891970646,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.893080650,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.893988827,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.894969051,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.895994944,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.897000006,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.898038653,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.899100424,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.900141506,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.901036567,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.902022292,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.902986566,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.904041785,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.905123715,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.906201768,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.906988441,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.908001939,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.908988346,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.910031551,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.911139111,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.912200912,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.913018614,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.914133077,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.914989654,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.916031908,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.917072759,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.918149359,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.919028570,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.920015778,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.920990011,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.922055800,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.923146868,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.924205864,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.925028566,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.925990425,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.927000948,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.928046618,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.929015922,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.930158779,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.931011068,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.932032211,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.933031042,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.934037437,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.935019585,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.936165488,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.936992107,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.937990597,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.938991311,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.939981295,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.941056482,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.942158992,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.942970472,"{'dim': [], 'data_offset': 0}",[-0.002765029203146696]
2025/08/01 17:02:35.944015651,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.945041293,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.945983455,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.947015679,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.948063073,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.949046835,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.950024474,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.950991684,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.952008970,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.953018210,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.954117123,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.955017043,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.955990325,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.957034452,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.958004878,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.958949725,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.959936953,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.960928980,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.961919044,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.962936019,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.963948065,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.964926736,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.965951837,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.966961318,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.967933898,"{'dim': [], 'data_offset': 0}",[0.002765029203146696]
2025/08/01 17:02:35.968955923,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.969985413,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.971001256,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.972006579,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.972967797,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.973972098,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.975015554,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.976025776,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.977023264,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.978069656,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.979028219,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.979983726,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.980976004,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.982019881,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.983091361,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.983956164,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.984970093,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.985978883,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.986997812,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.987982224,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
2025/08/01 17:02:35.989073422,"{'dim': [], 'data_offset': 0}",[0.008295087143778801]
