time,layout,data
2025/08/01 17:09:05.618088460,"{'dim': [], 'data_offset': 0}",[0.008580532856285572]
2025/08/01 17:09:05.618380644,"{'dim': [], 'data_offset': 0}",[0.01834879070520401]
2025/08/01 17:09:05.619245335,"{'dim': [], 'data_offset': 0}",[0.024224121123552322]
2025/08/01 17:09:05.620182369,"{'dim': [], 'data_offset': 0}",[0.0330469124019146]
2025/08/01 17:09:05.621236807,"{'dim': [], 'data_offset': 0}",[0.0424630232155323]
2025/08/01 17:09:05.622356023,"{'dim': [], 'data_offset': 0}",[0.05175234004855156]
2025/08/01 17:09:05.623249046,"{'dim': [], 'data_offset': 0}",[0.060986872762441635]
2025/08/01 17:09:05.624241351,"{'dim': [], 'data_offset': 0}",[0.07021921873092651]
2025/08/01 17:09:05.625242451,"{'dim': [], 'data_offset': 0}",[0.07934415340423584]
2025/08/01 17:09:05.626237280,"{'dim': [], 'data_offset': 0}",[0.08840709924697876]
2025/08/01 17:09:05.627268115,"{'dim': [], 'data_offset': 0}",[0.097525954246521]
2025/08/01 17:09:05.628200370,"{'dim': [], 'data_offset': 0}",[0.1063605397939682]
2025/08/01 17:09:05.629244629,"{'dim': [], 'data_offset': 0}",[0.1153620034456253]
2025/08/01 17:09:05.630238807,"{'dim': [], 'data_offset': 0}",[0.1240750402212143]
2025/08/01 17:09:05.631249224,"{'dim': [], 'data_offset': 0}",[0.1326550543308258]
2025/08/01 17:09:05.632244514,"{'dim': [], 'data_offset': 0}",[0.14142857491970062]
2025/08/01 17:09:05.633268376,"{'dim': [], 'data_offset': 0}",[0.14975999295711517]
2025/08/01 17:09:05.634378727,"{'dim': [], 'data_offset': 0}",[0.15824350714683533]
2025/08/01 17:09:05.635249028,"{'dim': [], 'data_offset': 0}",[0.16626064479351044]
2025/08/01 17:09:05.636245049,"{'dim': [], 'data_offset': 0}",[0.17455114424228668]
2025/08/01 17:09:05.637244697,"{'dim': [], 'data_offset': 0}",[0.18249355256557465]
2025/08/01 17:09:05.638227624,"{'dim': [], 'data_offset': 0}",[0.1901920884847641]
2025/08/01 17:09:05.639255664,"{'dim': [], 'data_offset': 0}",[0.19783253967761993]
2025/08/01 17:09:05.640195623,"{'dim': [], 'data_offset': 0}",[0.20542101562023163]
2025/08/01 17:09:05.641202263,"{'dim': [], 'data_offset': 0}",[0.21331411600112915]
2025/08/01 17:09:05.642271809,"{'dim': [], 'data_offset': 0}",[0.2196786254644394]
2025/08/01 17:09:05.643258403,"{'dim': [], 'data_offset': 0}",[0.22657658159732819]
2025/08/01 17:09:05.644180609,"{'dim': [], 'data_offset': 0}",[0.2340487539768219]
2025/08/01 17:09:05.646723819,"{'dim': [], 'data_offset': 0}",[0.2251676619052887]
2025/08/01 17:09:05.647320450,"{'dim': [], 'data_offset': 0}",[0.2661789655685425]
2025/08/01 17:09:05.648163431,"{'dim': [], 'data_offset': 0}",[0.2594905495643616]
2025/08/01 17:09:05.649187033,"{'dim': [], 'data_offset': 0}",[0.2657679319381714]
2025/08/01 17:09:05.650186440,"{'dim': [], 'data_offset': 0}",[0.2713988721370697]
2025/08/01 17:09:05.651279820,"{'dim': [], 'data_offset': 0}",[0.2773895263671875]
2025/08/01 17:09:05.652366857,"{'dim': [], 'data_offset': 0}",[0.27924877405166626]
2025/08/01 17:09:05.653250854,"{'dim': [], 'data_offset': 0}",[0.29119598865509033]
2025/08/01 17:09:05.654222500,"{'dim': [], 'data_offset': 0}",[0.29235199093818665]
2025/08/01 17:09:05.655162208,"{'dim': [], 'data_offset': 0}",[0.29753878712654114]
2025/08/01 17:09:05.656243095,"{'dim': [], 'data_offset': 0}",[0.30164390802383423]
2025/08/01 17:09:05.657246329,"{'dim': [], 'data_offset': 0}",[0.3060302436351776]
2025/08/01 17:09:05.658356770,"{'dim': [], 'data_offset': 0}",[0.31006547808647156]
2025/08/01 17:09:05.659244773,"{'dim': [], 'data_offset': 0}",[0.3136019706726074]
2025/08/01 17:09:05.660242958,"{'dim': [], 'data_offset': 0}",[0.31740087270736694]
2025/08/01 17:09:05.661241635,"{'dim': [], 'data_offset': 0}",[0.3204590380191803]
2025/08/01 17:09:05.662244037,"{'dim': [], 'data_offset': 0}",[0.32341206073760986]
2025/08/01 17:09:05.663244787,"{'dim': [], 'data_offset': 0}",[0.3264220952987671]
2025/08/01 17:09:05.664367009,"{'dim': [], 'data_offset': 0}",[0.3289697766304016]
2025/08/01 17:09:05.665244514,"{'dim': [], 'data_offset': 0}",[0.33108028769493103]
2025/08/01 17:09:05.666245063,"{'dim': [], 'data_offset': 0}",[0.3331550359725952]
2025/08/01 17:09:05.667243419,"{'dim': [], 'data_offset': 0}",[0.33498507738113403]
2025/08/01 17:09:05.668244900,"{'dim': [], 'data_offset': 0}",[0.3363107442855835]
2025/08/01 17:09:05.669286194,"{'dim': [], 'data_offset': 0}",[0.33769989013671875]
2025/08/01 17:09:05.670400491,"{'dim': [], 'data_offset': 0}",[0.3386581540107727]
2025/08/01 17:09:05.671201937,"{'dim': [], 'data_offset': 0}",[0.3382609188556671]
2025/08/01 17:09:05.672192107,"{'dim': [], 'data_offset': 0}",[0.3405446708202362]
2025/08/01 17:09:05.673243429,"{'dim': [], 'data_offset': 0}",[0.3397882282733917]
2025/08/01 17:09:05.674245311,"{'dim': [], 'data_offset': 0}",[0.33964887261390686]
2025/08/01 17:09:05.675245069,"{'dim': [], 'data_offset': 0}",[0.3391522169113159]
2025/08/01 17:09:05.676352875,"{'dim': [], 'data_offset': 0}",[0.3385305106639862]
2025/08/01 17:09:05.677244315,"{'dim': [], 'data_offset': 0}",[0.3375566899776459]
2025/08/01 17:09:05.678244714,"{'dim': [], 'data_offset': 0}",[0.3363170027732849]
2025/08/01 17:09:05.679229134,"{'dim': [], 'data_offset': 0}",[0.3348657190799713]
