time,layout,data
2025/08/01 16:59:14.872235804,"{'dim': [], 'data_offset': 0}",[-0.0005537954275496304]
2025/08/01 16:59:14.872449037,"{'dim': [], 'data_offset': 0}",[-0.0012438890989869833]
2025/08/01 16:59:14.873462030,"{'dim': [], 'data_offset': 0}",[-0.0015180737245827913]
2025/08/01 16:59:14.874454117,"{'dim': [], 'data_offset': 0}",[-0.0019115251488983631]
2025/08/01 16:59:14.875448852,"{'dim': [], 'data_offset': 0}",[-0.0022911406122148037]
2025/08/01 16:59:14.876460180,"{'dim': [], 'data_offset': 0}",[-0.0030627851374447346]
2025/08/01 16:59:14.877471769,"{'dim': [], 'data_offset': 0}",[-0.0030672228895127773]
2025/08/01 16:59:14.878482597,"{'dim': [], 'data_offset': 0}",[-0.0034985162783414125]
2025/08/01 16:59:14.879501966,"{'dim': [], 'data_offset': 0}",[-0.0038990669418126345]
2025/08/01 16:59:14.880438647,"{'dim': [], 'data_offset': 0}",[-0.004308016039431095]
2025/08/01 16:59:14.881484958,"{'dim': [], 'data_offset': 0}",[-0.004725029692053795]
2025/08/01 16:59:14.882485428,"{'dim': [], 'data_offset': 0}",[-0.005152223631739616]
2025/08/01 16:59:14.883475019,"{'dim': [], 'data_offset': 0}",[-0.005973367486149073]
2025/08/01 16:59:14.884476130,"{'dim': [], 'data_offset': 0}",[-0.006409437861293554]
2025/08/01 16:59:14.885461470,"{'dim': [], 'data_offset': 0}",[-0.006474497728049755]
2025/08/01 16:59:14.886457959,"{'dim': [], 'data_offset': 0}",[-0.006923535838723183]
2025/08/01 16:59:14.887478803,"{'dim': [], 'data_offset': 0}",[-0.007379048503935337]
2025/08/01 16:59:14.888432730,"{'dim': [], 'data_offset': 0}",[-0.007841059938073158]
2025/08/01 16:59:14.889453804,"{'dim': [], 'data_offset': 0}",[-0.008308219723403454]
2025/08/01 16:59:14.890485516,"{'dim': [], 'data_offset': 0}",[-0.008780771866440773]
2025/08/01 16:59:14.891567792,"{'dim': [], 'data_offset': 0}",[-0.00926914531737566]
2025/08/01 16:59:14.892430989,"{'dim': [], 'data_offset': 0}",[-0.010739034973084927]
2025/08/01 16:59:14.893481311,"{'dim': [], 'data_offset': 0}",[-0.010837985202670097]
2025/08/01 16:59:14.894471473,"{'dim': [], 'data_offset': 0}",[-0.010724411346018314]
2025/08/01 16:59:14.895440961,"{'dim': [], 'data_offset': 0}",[-0.010839076712727547]
2025/08/01 16:59:14.896508077,"{'dim': [], 'data_offset': 0}",[-0.011332093738019466]
2025/08/01 16:59:14.897610145,"{'dim': [], 'data_offset': 0}",[-0.012113993056118488]
2025/08/01 16:59:14.898470294,"{'dim': [], 'data_offset': 0}",[-0.01288247387856245]
2025/08/01 16:59:14.899479487,"{'dim': [], 'data_offset': 0}",[-0.013257384300231934]
2025/08/01 16:59:14.900484910,"{'dim': [], 'data_offset': 0}",[-0.013777988031506538]
2025/08/01 16:59:14.901464294,"{'dim': [], 'data_offset': 0}",[-0.014313090592622757]
2025/08/01 16:59:14.902484285,"{'dim': [], 'data_offset': 0}",[-0.014835040085017681]
2025/08/01 16:59:14.904457972,"{'dim': [], 'data_offset': 0}",[-0.015363427810370922]
2025/08/01 16:59:14.905564261,"{'dim': [], 'data_offset': 0}",[-0.01636100560426712]
2025/08/01 16:59:14.906427910,"{'dim': [], 'data_offset': 0}",[-0.0169850941747427]
2025/08/01 16:59:14.907458339,"{'dim': [], 'data_offset': 0}",[-0.017160886898636818]
2025/08/01 16:59:14.908491415,"{'dim': [], 'data_offset': 0}",[-0.017705727368593216]
2025/08/01 16:59:14.909567063,"{'dim': [], 'data_offset': 0}",[-0.018689630553126335]
2025/08/01 16:59:14.910444638,"{'dim': [], 'data_offset': 0}",[-0.01921910233795643]
2025/08/01 16:59:14.911441689,"{'dim': [], 'data_offset': 0}",[-0.019767357036471367]
2025/08/01 16:59:14.912458291,"{'dim': [], 'data_offset': 0}",[-0.02033970318734646]
2025/08/01 16:59:14.913472407,"{'dim': [], 'data_offset': 0}",[-0.02129553258419037]
2025/08/01 16:59:14.914453255,"{'dim': [], 'data_offset': 0}",[-0.021481823176145554]
2025/08/01 16:59:14.915544404,"{'dim': [], 'data_offset': 0}",[-0.021701304242014885]
2025/08/01 16:59:14.916453352,"{'dim': [], 'data_offset': 0}",[-0.022642333060503006]
2025/08/01 16:59:14.917454183,"{'dim': [], 'data_offset': 0}",[-0.022814279422163963]
2025/08/01 16:59:14.918454502,"{'dim': [], 'data_offset': 0}",[-0.023815665394067764]
2025/08/01 16:59:14.919452145,"{'dim': [], 'data_offset': 0}",[-0.02438625693321228]
2025/08/01 16:59:14.920554583,"{'dim': [], 'data_offset': 0}",[-0.024997394531965256]
2025/08/01 16:59:14.921577573,"{'dim': [], 'data_offset': 0}",[-0.02521919272840023]
