time,layout,data
2025/08/01 16:37:14.798577944,"{'dim': [], 'data_offset': 0}",[-0.00021974046831019223]
2025/08/01 16:37:14.798767956,"{'dim': [], 'data_offset': 0}",[-0.005698340013623238]
2025/08/01 16:37:14.799642362,"{'dim': [], 'data_offset': 0}",[-0.005829212721437216]
2025/08/01 16:37:14.800665833,"{'dim': [], 'data_offset': 0}",[-0.006026463117450476]
2025/08/01 16:37:14.801665668,"{'dim': [], 'data_offset': 0}",[-0.006157515104860067]
2025/08/01 16:37:14.802686353,"{'dim': [], 'data_offset': 0}",[-0.006365572568029165]
2025/08/01 16:37:14.803702440,"{'dim': [], 'data_offset': 0}",[-0.006580830086022615]
2025/08/01 16:37:14.804634837,"{'dim': [], 'data_offset': 0}",[-0.006873990409076214]
2025/08/01 16:37:14.805639722,"{'dim': [], 'data_offset': 0}",[-0.007013652473688126]
2025/08/01 16:37:14.806675045,"{'dim': [], 'data_offset': 0}",[-0.007235242053866386]
2025/08/01 16:37:14.807683396,"{'dim': [], 'data_offset': 0}",[-0.007536942604929209]
2025/08/01 16:37:14.808637094,"{'dim': [], 'data_offset': 0}",[-0.007686292286962271]
2025/08/01 16:37:14.809705319,"{'dim': [], 'data_offset': 0}",[-0.007920530624687672]
2025/08/01 16:37:14.810800837,"{'dim': [], 'data_offset': 0}",[-0.00803586095571518]
2025/08/01 16:37:14.811648342,"{'dim': [], 'data_offset': 0}",[-0.00833570770919323]
2025/08/01 16:37:14.812636045,"{'dim': [], 'data_offset': 0}",[-0.008688432164490223]
2025/08/01 16:37:14.813633506,"{'dim': [], 'data_offset': 0}",[-0.008926928043365479]
2025/08/01 16:37:14.814649732,"{'dim': [], 'data_offset': 0}",[-0.009082828648388386]
2025/08/01 16:37:14.815727546,"{'dim': [], 'data_offset': 0}",[-0.009411057457327843]
2025/08/01 16:37:14.816731229,"{'dim': [], 'data_offset': 0}",[-0.009655557572841644]
2025/08/01 16:37:14.817730954,"{'dim': [], 'data_offset': 0}",[-0.009897151030600071]
2025/08/01 16:37:14.818649895,"{'dim': [], 'data_offset': 0}",[-0.010127556510269642]
2025/08/01 16:37:14.819642908,"{'dim': [], 'data_offset': 0}",[-0.010362141765654087]
2025/08/01 16:37:14.820635559,"{'dim': [], 'data_offset': 0}",[-0.010607672855257988]
2025/08/01 16:37:14.821647288,"{'dim': [], 'data_offset': 0}",[-0.010851471684873104]
2025/08/01 16:37:14.822652794,"{'dim': [], 'data_offset': 0}",[-0.011088957078754902]
2025/08/01 16:37:14.823652118,"{'dim': [], 'data_offset': 0}",[-0.011338015086948872]
2025/08/01 16:37:14.824656071,"{'dim': [], 'data_offset': 0}",[-0.011576834134757519]
2025/08/01 16:37:14.827097354,"{'dim': [], 'data_offset': 0}",[-0.011417695321142673]
2025/08/01 16:37:14.827352199,"{'dim': [], 'data_offset': 0}",[-0.013305149041116238]
2025/08/01 16:37:14.827692288,"{'dim': [], 'data_offset': 0}",[-0.012364719994366169]
2025/08/01 16:37:14.828624424,"{'dim': [], 'data_offset': 0}",[-0.012521123513579369]
2025/08/01 16:37:14.829679214,"{'dim': [], 'data_offset': 0}",[-0.012777667492628098]
2025/08/01 16:37:14.830640746,"{'dim': [], 'data_offset': 0}",[-0.013017654418945312]
2025/08/01 16:37:14.831627677,"{'dim': [], 'data_offset': 0}",[-0.013256196863949299]
2025/08/01 16:37:14.832647321,"{'dim': [], 'data_offset': 0}",[-0.013484695926308632]
2025/08/01 16:37:14.833649390,"{'dim': [], 'data_offset': 0}",[-0.013719898648560047]
2025/08/01 16:37:14.834728036,"{'dim': [], 'data_offset': 0}",[-0.013962450437247753]
2025/08/01 16:37:14.835645584,"{'dim': [], 'data_offset': 0}",[-0.01418332476168871]
2025/08/01 16:37:14.836647404,"{'dim': [], 'data_offset': 0}",[-0.014321398921310902]
2025/08/01 16:37:14.837655645,"{'dim': [], 'data_offset': 0}",[-0.014627635478973389]
2025/08/01 16:37:14.838636875,"{'dim': [], 'data_offset': 0}",[-0.014763751067221165]
2025/08/01 16:37:14.839629677,"{'dim': [], 'data_offset': 0}",[-0.015059887431561947]
2025/08/01 16:37:14.840745173,"{'dim': [], 'data_offset': 0}",[-0.015293453820049763]
2025/08/01 16:37:14.841657692,"{'dim': [], 'data_offset': 0}",[-0.015489243902266026]
2025/08/01 16:37:14.842641807,"{'dim': [], 'data_offset': 0}",[-0.01560825202614069]
2025/08/01 16:37:14.843628297,"{'dim': [], 'data_offset': 0}",[-0.01589718833565712]
2025/08/01 16:37:14.844711231,"{'dim': [], 'data_offset': 0}",[-0.016092542558908463]
2025/08/01 16:37:14.845744410,"{'dim': [], 'data_offset': 0}",[-0.016304153949022293]
2025/08/01 16:37:14.846746089,"{'dim': [], 'data_offset': 0}",[-0.016495870426297188]
2025/08/01 16:37:14.847644781,"{'dim': [], 'data_offset': 0}",[-0.016661548987030983]
2025/08/01 16:37:14.848637163,"{'dim': [], 'data_offset': 0}",[-0.016844378784298897]
2025/08/01 16:37:14.849639683,"{'dim': [], 'data_offset': 0}",[-0.017019977793097496]
2025/08/01 16:37:14.850653024,"{'dim': [], 'data_offset': 0}",[-0.017106009647250175]
2025/08/01 16:37:14.851713706,"{'dim': [], 'data_offset': 0}",[-0.01728409342467785]
2025/08/01 16:37:14.852757936,"{'dim': [], 'data_offset': 0}",[-0.017429310828447342]
2025/08/01 16:37:14.853643554,"{'dim': [], 'data_offset': 0}",[-0.01768597774207592]
2025/08/01 16:37:14.854634903,"{'dim': [], 'data_offset': 0}",[-0.017729569226503372]
2025/08/01 16:37:14.855639778,"{'dim': [], 'data_offset': 0}",[-0.017872726544737816]
2025/08/01 16:37:14.856646837,"{'dim': [], 'data_offset': 0}",[-0.018004510551691055]
2025/08/01 16:37:14.857651351,"{'dim': [], 'data_offset': 0}",[-0.018138566985726357]
2025/08/01 16:37:14.858739225,"{'dim': [], 'data_offset': 0}",[-0.018355892971158028]
2025/08/01 16:37:14.859651223,"{'dim': [], 'data_offset': 0}",[-0.01837480627000332]
2025/08/01 16:37:14.860628204,"{'dim': [], 'data_offset': 0}",[-0.018482811748981476]
2025/08/01 16:37:14.861644100,"{'dim': [], 'data_offset': 0}",[-0.018447531387209892]
2025/08/01 16:37:14.862649757,"{'dim': [], 'data_offset': 0}",[-0.01854325458407402]
2025/08/01 16:37:14.863660794,"{'dim': [], 'data_offset': 0}",[-0.01876312866806984]
2025/08/01 16:37:14.864644799,"{'dim': [], 'data_offset': 0}",[-0.01884538307785988]
2025/08/01 16:37:14.865626009,"{'dim': [], 'data_offset': 0}",[-0.018999692052602768]
2025/08/01 16:37:14.866654489,"{'dim': [], 'data_offset': 0}",[-0.019066672772169113]
2025/08/01 16:37:14.867640618,"{'dim': [], 'data_offset': 0}",[-0.019033098593354225]
2025/08/01 16:37:14.868639932,"{'dim': [], 'data_offset': 0}",[-0.019168391823768616]
2025/08/01 16:37:14.869745219,"{'dim': [], 'data_offset': 0}",[-0.019131088629364967]
2025/08/01 16:37:14.870776995,"{'dim': [], 'data_offset': 0}",[-0.019155368208885193]
2025/08/01 16:37:14.871663364,"{'dim': [], 'data_offset': 0}",[-0.0192535649985075]
2025/08/01 16:37:14.872629075,"{'dim': [], 'data_offset': 0}",[-0.019190646708011627]
2025/08/01 16:37:14.873631255,"{'dim': [], 'data_offset': 0}",[-0.019195212051272392]
2025/08/01 16:37:14.874656789,"{'dim': [], 'data_offset': 0}",[-0.019190635532140732]
2025/08/01 16:37:14.875654190,"{'dim': [], 'data_offset': 0}",[-0.019180206581950188]
2025/08/01 16:37:14.876652071,"{'dim': [], 'data_offset': 0}",[-0.019140752032399178]
